FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
19001,Iowa,Adair,,2.8848109013,3.1189644599,,60.898282695,16.5,2.0565087257,31.4,26.0,3,,51531,,100.0,0.249031544,0.4427227449,1.6325401217,96.9839513,1514,22.84843869,,,16.68984701,,,9.7116843703,0.0141502759,9.1,14.752322535,
19003,Iowa,Adams,,2.9270797019,3.1097904898,,69.620253165,20.2,1.7690427136,25.2,26.1,1,,48162,,100.0,0.3161222339,0.6849315068,1.0800842993,96.838777661,790,,,,24.886877828,,,10.888252149,0.0821692687,9.1,15.125956781,
19005,Iowa,Allamakee,,3.1367512765,3.1588045054,95.502873563,61.3462873,17.0,6.4491056056,23.5,27.2,7,3.0,47756,,73.963712491,1.2746651303,0.4248883768,5.537951894,91.891113352,2882,20.161900057,,,32.322559147,15.6,,8.1911262799,1.995447648,9.4,15.457707205,
19007,Iowa,Appanoose,,3.3177261211,3.3661129188,86.78,69.239209949,25.2,5.9551006287,31.1,27.3,7,7.0,41018,,58.252502522,0.6704445686,0.4310000798,1.6681299385,95.825684412,2734,25.795742581,,,44.254658385,,,11.833785005,0.5784223321,9.2,17.184281042,
19009,Iowa,Audubon,,2.954299875,3.1791245093,,63.336388634,15.3,1.4523048494,29.9,28.0,2,,50948,,100.0,0.2598302442,0.6062705699,1.0046769444,97.211155378,1091,31.220730565,,,26.548672566,,,5.9590316574,0.1431383074,9.3,14.930669808,
19011,Iowa,Benton,,2.9386450722,2.9719795314,88.346938776,68.834355828,10.3,3.0157948378,26.1,27.7,3,1.0,65127,,80.656542414,0.506664588,0.3117935926,1.4966092447,96.574167901,5705,19.873143103,,,16.900456312,8.5,,8.5813492063,0.3256389118,10.1,15.090309895,8.65
19013,Iowa,Black Hawk,,3.2799164472,3.4364253124,86.352685624,66.923754958,16.8,8.9769530259,23.8,30.6,128,158.0,50335,,13.480814707,8.8389344723,1.9722003672,4.1796860365,82.5409314,31766,7.5761511421,5.5151943605,,24.005431093,7.1,,15.485413678,1.2773355441,10.0,16.823664402,8.58
19015,Iowa,Boone,,3.1008385429,3.1535461629,93.983333333,64.747972651,11.4,3.9834213455,22.0,26.6,12,18.0,58010,,50.634836159,1.1147393312,0.5104530271,2.5410051421,94.422550013,6289,16.797069724,,,24.830296534,,,11.773049645,0.2564205297,9.7,16.346730085,
19017,Iowa,Bremer,,2.6883489227,2.9882717845,93.976261128,77.677585572,7.1,1.9659678226,23.7,26.4,16,27.0,65295,,64.48755973,0.8818056792,0.8939406197,1.4845077259,95.659736267,5434,7.5896453884,,,9.4528025563,,,8.6393088553,0.3441452293,9.9,14.894747009,
19019,Iowa,Buchanan,,2.8778173429,3.0765284937,93.64010989,64.154411765,14.4,3.3123970669,25.8,27.7,8,23.0,55848,,68.537074148,0.4035704112,0.4178140727,1.5050802393,96.43433672,4896,10.209985366,,,23.052294557,,,11.05681124,0.5918367347,9.9,15.449709114,
19021,Iowa,Buena Vista,,3.1093743376,3.0224825507,68.261245675,50.685229497,19.1,3.8957660593,25.1,26.8,10,7.0,51991,,43.909180652,2.6643244035,8.319914117,24.632801444,62.4554726,4597,13.99580126,,,45.57688857,,,13.39461589,11.702969253,9.4,15.598869827,
19023,Iowa,Butler,,2.8281159559,3.0354948536,,66.367851623,11.8,13.367354645,25.9,27.2,3,9.0,54947,,100.0,0.3285283272,0.5363727791,1.1867247737,96.868923902,3235,17.235931171,,,16.289893617,,,8.4006462036,0.0284697509,9.9,14.481406375,9.4
19025,Iowa,Calhoun,,3.146254968,3.2102242829,96.557017544,65.206812652,16.5,15.057904496,25.2,29.0,7,2.0,49206,,100.0,1.9555917702,0.3463027093,1.8944795274,94.51008352,2055,18.978379246,,,26.002166847,,,8.3811710677,0.1069633116,9.4,16.492877934,
19027,Iowa,Carroll,,2.7609232029,3.0265163307,93.212669683,70.439535413,10.5,0.8706377096,26.9,26.7,19,17.0,58575,,52.036894696,0.8927700263,0.5024880476,2.2977851498,95.248316909,4391,14.511882468,,,24.994749002,,,9.5652173913,0.2333661775,9.4,15.526407124,
