FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
23001,Maine,Androscoggin,,3.8933244622,4.0737960987,82.278350515,62.724945411,21.8,2.9042179768,22.8,33.0,88,463,48930,,43.366882695,3.6695793273,0.8635401416,1.7802355618,91.306780562,26562,11.556608786,18.617524676,,32.145264577,8.6,,15.782297466,0.7936586672,8.0,18.266524657,12.75
23003,Maine,Aroostook,,4.120986272,3.765485202,89.347153465,61.334333856,21.8,4.2977784751,27.4,34.5,59,330,37104,,80.265757618,0.7941365041,0.488138952,1.1540479105,94.443958734,14659,13.546080937,8.6484408783,,23.712650985,13.1,,13.237457101,0.770996145,6.8,20.084221173,11.51
23005,Maine,Cumberland,,2.8703385913,3.5679908314,90.664521739,74.541816174,12.2,4.501536434,15.2,27.4,455,1809,63191,,36.098468442,2.792635278,2.2829396814,1.9822261766,90.914106981,72460,6.6225331691,18.998412937,,12.231165891,6.4,,16.935071575,1.3278014404,8.6,12.986415881,8.22
23007,Maine,Franklin,,3.7180649345,3.9229919987,88.663967611,60.988835726,21.4,0.589282564,20.5,33.6,36,79,42859,,82.998569943,0.5434963822,0.5101530459,1.3937514588,95.802073956,6270,15.909782176,,,20.047169811,13.8,,13.512396694,0.4591748662,7.2,18.137332774,
23009,Maine,Hancock,,3.2754213794,3.4905814117,81.419683258,62.491548343,16.2,2.0684477551,17.1,27.7,84,186,48601,,90.113565364,0.7190032748,1.1050330229,1.390438903,95.04747617,11832,13.080342077,15.834348356,,20.151869159,13.2,,16.238965305,0.2717131322,6.7,14.727690249,
23011,Maine,Kennebec,,3.5300779459,3.55884979,87.013888889,62.695060845,18.0,2.7015557458,20.6,33.2,155,518,50408,,62.830431188,0.6176029338,0.8893148858,1.4794132355,94.879146524,27940,12.584104747,19.59939932,,23.079483671,11.7,,14.182134571,0.4665751473,7.8,14.987733705,12.45
23013,Maine,Knox,,3.0942422563,3.4266733373,82.841614907,56.674715419,17.9,3.6582662907,17.9,31.5,39,195,47489,,67.930843568,0.6799648727,0.5595282901,1.4101116547,95.583991971,8697,12.225070744,16.795290601,,24.879060124,6.6,,16.351829988,0.1817319848,7.4,13.656473817,10.64
23015,Maine,Lincoln,,3.3908011739,3.4905189843,,62.492625369,20.2,1.4595677037,19.3,27.7,43,59,50152,,100.0,0.468073832,0.9626424093,1.0097441785,96.08466543,6780,12.514861398,15.651442378,,20.534550196,11.7,,15.491056362,0.2048178039,7.7,14.266008764,17.2
23017,Maine,Oxford,,3.951260593,3.98882722,84.04589372,49.566195373,25.6,3.091947713,23.1,35.1,36,135,42674,,83.111718223,0.4510331807,0.7394846334,1.2272298171,95.585818678,12448,15.149671302,10.482363424,,24.351550726,15.0,,15.465268676,0.2172722293,7.6,19.125606624,20.25
23019,Maine,Penobscot,,3.9567865209,3.8431132815,88.234935897,65.992245522,19.1,5.9067019949,22.8,32.7,201,709,44647,,57.650253698,0.8690697613,1.1159720221,1.2731511802,94.001650381,36624,10.700710434,14.582018413,,18.833916723,10.7,,16.091678646,0.258134312,7.3,17.505272457,11.13
23021,Maine,Piscataquis,,3.8741010755,3.9050487469,88.147058824,52.067836953,30.5,2.1568616992,28.2,33.6,16,33,36463,,100.0,0.4961313567,0.7737286634,1.5474573268,95.381253322,3361,9.1091273456,,,29.214139644,21.0,,15.057915058,0.1948961569,6.6,18.61405778,19.49
23023,Maine,Sagadahoc,,3.5702805152,3.5772268091,86.61227154,64.038796319,17.2,2.5339965728,19.3,29.9,24,76,55645,,61.675119712,0.7567782867,0.9018748755,1.5875273834,94.782212865,8042,9.3319538271,9.5050709554,,24.0,7.4,,14.447403462,0.2635677489,8.0,16.024570666,
