FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
30001,Montana,Beaverhead,,3.3550708474,3.3278889099,90.859375,66.012338755,20.7,8.4869768482,21.8,26.9,12.0,16.0,41083,,50.151416829,0.3870967742,0.4946236559,3.8494623656,91.430107527,1783,16.929327752,,,17.316017316,23.6,,9.8540145985,0.9560229446,6.4,15.841559127,
30003,Montana,Big Horn,,4.9459199933,4.5379245612,65.455882353,51.884550085,39.5,24.450562826,25.9,32.6,12.0,7.0,41008,,71.908278274,0.3851381966,0.5361727836,5.8676937019,28.885364749,2945,75.548548154,,,101.04726861,22.8,,21.335268505,0.6708559783,7.1,27.493928014,30.15
30005,Montana,Blaine,,4.6775811685,4.4166775645,,63.912429379,40.4,20.086842874,26.5,34.4,3.0,7.0,34667,,100.0,0.258476509,0.2736810096,2.6151740915,47.088338148,1416,45.668058455,,,64.285714286,,,15.436241611,0.26450653,6.5,27.012258215,26.42
30007,Montana,Broadwater,,3.2640457221,3.242314766,,56.920415225,15.8,11.097935477,25.5,28.1,2.0,3.0,51360,,100.0,0.386711197,0.1582000352,2.5487783442,93.970820882,1156,47.902379992,,,28.936170213,,,10.330578512,0.0,5.8,15.178235638,
30009,Montana,Carbon,,3.2124775297,3.1954691888,,63.597122302,15.0,11.184247662,23.2,26.7,5.0,7.0,49389,,100.0,0.4900076864,0.3458877786,2.4212144504,94.552267487,2085,35.007631664,,,15.09054326,21.4,,14.12037037,0.33632287,6.2,14.950548637,
30011,Montana,Carter,,3.2453284037,3.1850300585,,61.616161616,23.1,41.504469537,24.0,28.2,0.0,,46398,,100.0,0.0847457627,0.0847457627,1.186440678,96.949152542,198,,,,,,,12.929292929,0.0858369099,5.9,14.25495236,
30013,Montana,Cascade,,3.5453247337,3.282806328,85.516014235,66.955145641,19.2,8.2095034751,23.1,30.7,63.0,205.0,45597,,19.821215586,1.549624444,0.9905442524,4.2259170131,85.747101291,20221,15.718519735,12.550302422,,41.567291312,13.9,,13.864792103,0.1083932979,6.6,16.434144142,14.43
30015,Montana,Chouteau,,4.109708586,3.8943565697,,67.597292724,22.9,34.697881318,27.3,31.4,1.0,3.0,40280,,100.0,0.1907404196,0.4508409919,2.4102653026,75.84532686,1182,,,,,,,10.089686099,0.3956122999,6.1,20.704258285,21.58
30017,Montana,Custer,,3.0769499593,3.103026315,92.5,71.061329416,16.2,17.589280811,27.8,28.0,11.0,34.0,47510,,17.907513463,0.543881335,0.4202719407,3.0572723527,92.476308199,2723,22.846698652,,,41.69797145,,,11.935807422,0.2412221924,6.3,17.038472866,
30019,Montana,Daniels,,2.8131792097,3.0344371103,,81.424148607,9.6,34.922777193,23.0,26.3,2.0,,43918,,100.0,0.3409090909,0.2840909091,2.2159090909,93.465909091,323,,,,,,,9.5505617978,0.0,6.5,13.553889565,
