FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
37001,North_Carolina,Alamance,,3.9873985188,3.857657683,82.611989101,58.673577322,26.1,11.302386896,24.9,33.2,79.0,191.0,41566,,28.558005968,18.995931158,1.7431575223,12.415653668,64.977634006,37816,11.980585879,11.740947729,,34.307913524,9.7,,17.026937147,3.2342890796,9.3,19.25290741,12.76
37003,North_Carolina,Alexander,,3.9837044797,3.81038196,87.0,45.096533567,22.3,2.2702916354,26.1,29.3,7.0,14.0,41092,,72.77810635,5.7468184863,1.0234427328,4.474212994,87.220361688,9116,18.473048592,25.974723907,,37.189533803,15.6,,14.007092199,0.4681382285,9.6,18.510660143,15.7
37005,North_Carolina,Alleghany,,4.193420224,3.9636047193,87.5,46.909250329,35.9,1.3627363504,29.9,29.8,12.0,22.0,36113,,100.0,1.5502445326,0.8673987266,9.6521177448,86.601457968,2281,20.80245469,,,51.882460973,23.8,,13.242961418,1.4763685169,8.3,18.587556876,30.3
37007,North_Carolina,Anson,,4.5603277292,4.0230781031,85.0,44.235534179,35.6,3.0625073353,29.3,37.9,11.0,22.0,35307,,78.510464598,48.654839085,1.0714701658,3.7423813036,44.873636399,6861,23.846945965,,,50.68327279,16.8,,16.159008776,0.9039912829,9.5,21.868419155,24.51
37009,North_Carolina,Ashe,,3.9995534223,3.8921285867,86.0,53.333333333,31.8,2.4892431961,23.8,29.9,13.0,38.0,35238,,84.864924306,0.725388601,0.5810510733,5.325684678,92.239082161,6045,13.686947916,20.910980725,,46.810363597,15.5,,15.540540541,0.9110292692,8.2,17.407888659,18.09
37011,North_Carolina,Avery,,4.1003047993,3.8031390089,91.657754011,54.878316159,29.9,0.0,23.8,30.2,6.0,62.0,37120,,88.784626622,4.3134151167,0.4805246198,4.8165526598,89.219288824,4561,8.8635338104,,,24.630541872,14.7,,13.27247191,1.011883751,8.3,18.455382219,
37013,North_Carolina,Beaufort,,4.1371208886,3.8944999937,84.0,56.116269681,33.3,5.0884110089,26.9,32.3,25.0,47.0,41725,,65.600201009,24.652158402,0.5750141655,7.7815785608,65.654445867,9908,19.511199428,18.220042046,,50.548754749,16.4,,16.428756813,0.5202312139,8.6,18.017997476,22.28
37015,North_Carolina,Bertie,,4.5948731447,4.035941951,85.0,38.761568973,35.9,4.7478710445,30.5,38.6,5.0,8.0,31967,,83.24405601,61.141640675,0.6782513986,1.7575127482,34.902717956,4538,26.265949652,,,48.601558918,,,18.872870249,0.5455843361,8.4,21.47103124,29.57
37017,North_Carolina,Bladen,,4.6903173682,4.2403781307,77.0,55.953621678,35.2,3.2239949252,31.9,38.4,9.0,19.0,33882,,91.233304916,33.769450434,0.294306195,7.8792470424,54.481613148,7676,33.23717804,22.154154386,,43.323676587,13.2,,19.010873378,2.2111529583,9.1,20.993180222,24.94
37019,North_Carolina,Brunswick,,3.8971320465,3.7453403076,83.0,60.737319519,24.5,4.8466148834,20.4,30.1,56.0,94.0,48831,,42.960597965,10.724555044,0.7412536146,4.7847513542,81.469474199,24033,17.414040259,23.816061552,,38.954411431,12.8,,17.363445378,1.1595908391,8.7,16.406844608,19.48
