FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
32001,Nevada,Churchill,,4.1984808587,4.2928779425,67.0,55.709219858,19.3,7.031349455,23.4,31.8,13.0,36.0,54134,,34.7147968,2.0991735537,3.3016528926,13.574380165,73.541322314,5640,17.522545675,26.296849914,,43.033889188,19.8,,13.236088601,2.6567481403,6.1,18.561101692,20.26
32003,Nevada,Clark,,3.9391553955,3.8265776982,72.0,56.369518708,22.6,2.0279983152,21.6,38.0,1139.0,3417.0,51624,,1.3060731247,10.735856471,10.133908581,30.556870363,44.530289138,592219,9.3365241414,20.652410119,,37.325653365,13.1,,22.926935752,7.1822852979,8.9,16.888719034,18.1
32005,Nevada,Douglas,,3.8526356335,3.9304950668,91.0,66.637940321,15.2,12.07741345,17.0,29.7,32.0,50.0,63620,,31.553077856,0.7210228464,1.8067491092,12.460700063,80.978830434,9283,10.599379785,18.263044028,,17.538231205,15.7,,17.810331534,1.6432909994,6.0,14.702520458,
32007,Nevada,Elko,,3.8624264783,4.1053354772,80.0,58.540748115,12.6,5.5610833999,21.4,35.4,18.0,30.0,76518,,37.85079274,1.109078656,1.1418118802,24.736690093,66.623664196,14062,15.208911295,12.095362383,,49.517832542,22.9,,10.568181818,3.3445166702,6.4,18.573301001,15.21
32009,Nevada,Esmeralda,,4.9654566387,4.6844234376,,28.787878788,20.7,29.003070328,22.3,35.5,0.0,0.0,49057,,100.0,1.8094089264,0.3618817853,20.989143546,69.240048251,264,,,,,,,18.75,3.8669064748,4.7,20.275672479,
32011,Nevada,Eureka,,3.533654781,3.823475397,,52.164502165,12.0,24.909819835,21.2,33.5,,,65459,,100.0,1.1904761905,1.0912698413,14.037698413,79.464285714,462,,,,,,,13.605442177,0.253164557,4.6,15.334062079,
32013,Nevada,Humboldt,,3.6392185519,4.0020484065,83.0,47.043996334,15.0,8.8280145391,20.9,35.0,12.0,11.0,68060,,37.875121007,0.8989952406,1.0165109583,26.323520771,65.773547212,4364,18.602763356,,,60.644831116,24.6,,13.14330958,3.5139926554,5.9,17.342218137,
32015,Nevada,Lander,,3.7876175056,3.9893157187,77.5,50.34965035,14.4,4.2689984855,21.2,35.5,1.0,3.0,76713,,39.047619048,0.7453837032,1.2366593258,24.055564967,68.710825004,1287,34.012779087,,,52.132701422,,,5.223880597,1.9007965243,4.7,16.309838382,
32017,Nevada,Lincoln,,3.7096407763,4.0129113161,72.5,59.564891223,17.8,34.599082293,24.8,33.7,2.0,3.0,51788,,100.0,2.7799841144,0.8141382049,7.4265289913,85.544082605,1333,43.511367345,,,10.452961672,,,13.197969543,0.694160882,4.8,16.494060724,33.53
32019,Nevada,Lyon,,4.6370229602,4.5141370098,75.0,54.485338902,22.6,12.42282619,26.9,35.6,11.0,67.0,51934,,36.937283571,1.0154987164,1.6601692498,16.373490539,75.882856328,11493,18.185425208,16.674041724,,35.829451809,25.1,,17.660788382,2.5870033877,6.5,18.370365869,24.95
32021,Nevada,Mineral,,4.7186556929,4.6960565737,,44.43254818,33.6,15.714871665,24.7,34.3,3.0,4.0,42164,,31.91533948,3.9526574364,3.7963376507,11.232693167,63.421170165,934,,,,45.02617801,,,18.414918415,0.6444188723,4.9,20.07858365,56.47
32023,Nevada,Nye,,4.4030738193,4.5636334303,69.0,47.531112003,28.6,19.402145603,29.7,35.5,14.0,51.0,43819,,35.270559323,2.2788803352,1.7962662147,14.509028415,77.208842432,7473,24.854024032,28.333962977,,39.456738087,22.5,,20.144084234,1.9869499092,5.8,18.837227179,25.92
32027,Nevada,Pershing,,4.0567201518,3.966391301,,33.691588785,19.9,3.4867972441,22.5,35.7,,1.0,54416,,100.0,3.9493518239,1.2812782635,23.861923425,65.887850467,2140,,,,52.936311001,,,18.421052632,3.4901838579,5.5,18.478994207,28.1
32029,Nevada,Storey,,3.4099613244,3.7672921371,,67.056856187,13.1,1.1671477805,22.9,29.7,,4.0,61594,,92.643391521,1.63029847,2.2322548282,8.2768999248,84.048156509,598,,,,,,,18.970189702,0.0261711594,6.3,13.962091538,
32031,Nevada,Washoe,,3.834016935,4.0026139983,75.071044133,61.132751636,18.3,5.2270347824,16.0,31.7,323.0,1154.0,56457,,4.2668963733,2.2107705699,5.9558785687,23.92152212,63.695477542,115524,8.7217236248,21.730702833,,34.742333683,14.6,,22.760416667,4.3707411736,7.0,17.123158833,13.91
32033,Nevada,White Pine,,3.7332383032,3.8730327765,82.5,42.954804406,19.3,14.262537241,24.2,35.9,7.0,30.0,54975,,53.33000997,4.6478442564,1.2231169096,15.156457038,72.816226684,2633,27.15371863,33.442579092,,48.794167134,22.0,,8.0476900149,1.1960700555,4.7,18.31459122,
32510,Nevada,Carson City,,4.3704330034,4.1890911424,65.347679892,53.685266651,23.1,3.004404427,17.2,32.4,48.0,102.0,47015,,4.8395267214,1.8231507126,2.5293006365,23.447845784,68.056345261,12957,11.195730001,31.877785475,,44.40481498,22.7,,18.928487137,4.2664859107,6.1,16.875349855,16.69
