FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
48001,Texas,Anderson,,3.9874015612,3.4482275447,91.1,38.940540541,26.9,10.466346799,25.7,36.2,25.0,22.0,43062,,67.063532793,21.061132338,0.8179923585,17.556443209,59.256686349,18500,21.647630691,12.128562765,,59.190658345,12.1,,14.957264957,2.4956280968,9.2,19.596724743,26.5
48003,Texas,Andrews,,3.5682519442,3.2105312664,95.7,44.208407871,13.4,13.782712783,23.8,31.8,8.0,2.0,72184,,16.502096578,1.5354874344,0.9058271196,55.818834576,40.469483568,4472,45.883702462,,,81.648522551,13.1,,14.860977948,8.3071690215,7.2,14.610156593,21.38
48005,Texas,Angelina,,4.6352893222,3.918832806,92.4,52.247652047,27.6,13.230965433,29.4,35.2,53.0,99.0,45428,,43.082366228,14.953260439,1.1376125999,21.590844711,61.05829698,21934,20.604665158,8.3508574812,,58.495821727,14.6,,15.650472775,4.8900714873,9.3,20.30756644,22.46
48007,Texas,Aransas,,4.1933659838,3.7172204287,91.4,47.178228865,32.9,16.780293883,24.2,30.0,14.0,19.0,41560,,27.260557907,1.6015779093,2.0236686391,26.942800789,67.554240631,4483,21.98206976,20.08623691,,57.931658746,18.1,,18.301982715,2.3604686352,7.7,15.657033187,22.72
48009,Texas,Archer,,3.3336894902,3.2441156613,98.5,60.065288357,12.8,5.6825766578,25.7,28.9,,,60414,,88.988292467,0.9294320138,0.4589787722,8.2960413081,88.066551922,1838,22.631383262,,,31.234506693,,,10.778443114,1.3837965701,8.0,14.133354661,
48011,Texas,Armstrong,,3.0232765989,3.0513461969,96.2,79.5,14.3,29.39619392,24.7,27.9,0.0,,55198,,100.0,1.3867488444,0.1540832049,9.5017976374,86.902927581,400,,,,53.191489362,,,6.8217054264,0.6564551422,6.8,12.342789851,
48013,Texas,Atascosa,,3.99973898,3.4757522227,94.1,44.127285271,29.9,5.9155208034,30.1,35.1,11.0,19.0,49047,,60.711184342,0.9435325694,0.6338391659,63.489212346,34.155053164,11596,21.239853353,,,57.46839654,15.3,,17.886717456,4.5700403374,8.8,15.481437592,19.14
48015,Texas,Austin,,3.5991149861,3.3443838908,95.7,57.359541867,18.9,3.6605988207,22.3,30.0,7.0,7.0,57960,,66.344089805,8.8759598146,0.5818083415,26.245644894,63.004431215,6461,20.845948441,,,41.291844861,15.9,,13.848327838,3.6269812016,9.3,14.449343028,
48017,Texas,Bailey,,4.9161108553,3.9499287063,95.8,41.475409836,26.0,4.0514524111,25.9,33.6,3.0,,38299,,28.750872296,1.0818307906,0.7073509015,63.384188627,34.285714286,1830,26.09079597,,,92.467850582,,,18.644067797,17.434808975,7.0,18.333626337,
48019,Texas,Bandera,,3.3667789472,3.229158953,97.6,62.48,23.8,4.724351295,23.6,30.0,5.0,6.0,53662,,100.0,0.7428652029,0.6112182049,18.04504208,78.814236682,3750,29.028178067,,,27.502477701,17.3,,11.362284355,0.7686510927,8.2,13.097175987,
