FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
49001,Utah,Beaver,,3.324561409,3.3788556555,82.5,60.608154803,14.8,4.8433213483,26.8,30.5,5.0,5.0,50492,,56.524362649,0.2045955304,1.3220018886,10.875039345,85.379288637,1447,,,,49.255441008,,,14.454976303,1.8295781806,4.9,9.8902173747,
49003,Utah,Box Elder,,3.3462415288,3.4801954177,88.0,58.415841584,11.7,4.4835094369,20.3,30.1,19.0,183.0,58380,,31.099549775,0.3512678273,0.9808626216,9.344108106,87.049158301,12726,12.704076879,19.428919299,,33.227127902,15.7,,9.194692996,1.035990437,7.9,8.9378982399,15.25
49005,Utah,Cache,,3.3296149344,3.5698017931,89.984081865,72.119954482,16.0,8.7556448272,14.1,29.5,56.0,169.0,51951,,15.687579889,0.5961103798,2.6841525711,10.594206138,83.92323423,29878,6.9204066728,11.796593032,,17.978620019,6.8,,15.689045936,2.0625534675,7.6,8.0386075424,6.07
49007,Utah,Carbon,,3.9212212556,3.6350637089,96.69581749,66.900280336,20.6,8.2159029651,25.2,33.6,10.0,31.0,47894,,33.71489978,0.6689779774,0.7080423849,13.408857854,82.821426827,4994,19.696136161,53.11700227,,39.387308534,32.5,,12.813908564,0.6115573983,6.3,11.775883703,16.34
49009,Utah,Daggett,,2.9055955588,3.0301907893,,61.589403974,12.2,33.638743549,20.3,28.9,0.0,,57368,,100.0,0.3606853021,0.4508566276,4.5085662759,92.605951307,151,,,,,,,6.2295081967,0.8196721311,5.4,8.0092460487,
49011,Utah,Davis,,3.2558161622,3.3466699146,91.817042116,76.485432439,8.3,4.1568375939,15.0,30.8,163.0,559.0,72268,,0.9194757226,1.2251408302,2.0161110334,9.3854060343,84.285344435,91539,6.4751316723,15.488510663,,19.32161811,7.7,,11.40802184,0.960889743,8.7,8.7646862566,11.57
49013,Utah,Duchesne,,3.3680954843,3.3417951524,85.0,53.523296111,12.0,8.3866154339,24.7,28.8,8.0,24.0,63149,,68.210888375,0.3595053207,0.503307449,8.2302751414,85.097306107,5194,32.157865887,30.869212023,,58.741258741,18.1,,11.605839416,1.4757237806,6.5,9.7693936604,20.75
49015,Utah,Emery,,3.7144567397,3.5626919023,92.5,66.093562575,14.4,12.034385812,22.6,30.9,2.0,9.0,54086,,73.642492711,0.3182256509,0.4628736741,6.4223722276,91.253616201,2501,21.192333673,34.645669291,,31.515580737,29.8,,9.1666666667,1.1972402597,5.9,10.739419256,23.97
49017,Utah,Garfield,,3.9884652786,3.726434094,77.5,59.280855199,18.0,11.008509851,20.3,29.0,2.0,5.0,45509,,100.0,0.3393890996,1.0780594929,6.0690756638,89.29926133,1029,,,,30.690537084,,,11.375661376,0.632777895,4.7,10.547038774,
49019,Utah,Grand,,4.1434684532,3.7721189304,87.5,57.008613939,21.5,7.0080275774,17.2,29.4,11.0,21.0,44858,,25.387533875,0.6200084069,1.3030685162,10.403530895,82.292980244,2554,23.000138001,,,46.857142857,,,15.405777166,0.6237242005,5.2,12.275647213,
