FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
53001,Washington,Adams,,4.5074977939,3.9977218612,76.475409836,38.565310493,21.5,10.967701601,23.6,31.7,8.0,27,48127,,40.159120034,0.3791419965,1.5477303417,62.444167446,35.016100551,4670,14.321787962,,,85.758039816,,,22.473867596,18.985404896,7.2,16.202501297,20.7
53003,Washington,Asotin,,4.2212134493,3.8208203153,67.258555133,63.642078793,24.4,5.013252065,21.9,30.8,21.0,58,46573,,6.6549507469,0.5835783759,0.9364397195,3.8226645555,91.024655055,4772,11.744517594,,,40.098566308,11.8,,14.072847682,0.3364252415,7.2,15.523898987,
53005,Washington,Benton,,3.5089676499,3.4829997298,78.508264463,64.679250096,19.7,4.0356743712,18.8,30.2,132.0,334,62698,,10.571022452,1.3966759323,3.1448854232,20.955919058,71.521052604,47046,7.8699506397,13.896782539,,36.317879571,11.7,,13.18614389,3.9784331345,7.8,13.732919071,15.67
53007,Washington,Chelan,,3.8352371084,3.7531706204,78.129990263,47.656615241,18.3,6.140194886,17.3,27.5,88.0,170,53604,,27.224545567,0.5631642959,1.155412194,27.732536619,68.205012955,17112,10.669356638,11.150807988,,37.225042301,13.2,,17.376928729,5.8268149155,6.8,13.140023043,15.68
53009,Washington,Clallam,,3.772686644,3.9193479842,80.176512968,59.777558778,24.2,6.7113199643,18.8,27.5,64.0,180,46708,,35.453195899,0.8858830253,1.6710665977,6.0147511091,83.210407425,14206,10.303252459,18.763185714,,30.682629034,19.0,,15.901346747,0.8650168077,5.6,14.899868551,15.05
53011,Washington,Clark,,3.5110495016,3.6999944222,82.617691532,65.018185535,14.5,4.117910625,17.2,31.8,305.0,1194,64282,,13.768475396,1.9778234801,4.7404215497,9.0399242647,79.382583053,117401,7.7458224631,13.733829523,,24.024584209,8.7,,17.346007365,2.8657105481,8.6,14.722554469,16.07
53013,Washington,Columbia,,3.9961928213,3.8781437103,,76.756756757,25.2,10.365782499,22.3,27.6,4.0,7,40209,,34.25698872,0.5070993915,1.1156186613,6.8965517241,87.905679513,740,,,,25.348542459,,,16.96969697,0.9133611691,6.1,16.729086442,
53015,Washington,Cowlitz,,4.1807106097,3.9569598769,78.5657277,56.684266103,22.8,9.8918361994,21.1,29.3,67.0,229,50502,,28.651498877,0.7103645572,1.6575173,8.6306877489,84.417404415,23675,9.0722443756,19.839914656,,38.041139513,9.2,,18.522727273,1.4106485238,7.0,17.375231532,22.58
53017,Washington,Douglas,,3.9351092083,3.6935987175,80.23357016,51.741502308,21.0,14.769402965,18.9,29.8,12.0,12,51400,,26.595716999,0.3651255736,1.2680712488,30.890116939,65.169980757,9532,10.929121007,15.858574898,,36.180800332,8.1,,17.817531306,7.7596757962,6.8,16.545058978,9.81
53019,Washington,Ferry,,4.7602070823,4.3592759692,,54.912891986,30.5,22.775702249,19.5,30.9,4.0,18,40747,,100.0,0.4616196254,0.8836718544,4.5766288578,74.10973358,1435,22.481172018,,,29.120198265,,,15.593220339,0.1781065899,5.2,19.465801544,
