FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
24001,Maryland,Allegany,,3.7564837739,4.3234952416,92.0,52.511389193,22.1,13.117136328,28.0,40.146346314,44,178,44708,,27.252387231,7.9772632746,1.09108554,1.7329821156,87.182864273,17341,11.652250244,33.54625247,,26.556062799,9.0375551496,,15.496665497,0.5034928923,9.5,15.587715014,14.88
24003,Maryland,Anne Arundel,,2.9801964962,3.3859341564,88.0,73.500042673,9.3,5.024142473,20.9,34.732863402,390,874,95297,,5.3041349859,16.533766403,3.9736357782,7.5309758492,69.065498833,152321,7.3693030907,27.766717041,,17.980941615,7.4314776672,,14.545996128,1.5417989942,10.5,12.663954157,10.94
24005,Maryland,Baltimore,,3.1070898204,3.680738855,88.0,70.289480185,11.9,2.8665751614,23.8,34.082272449,842,2086,72305,,6.5338018879,28.056763567,6.2053413491,5.2939378551,58.06497029,214557,7.9205935258,32.582332662,,17.136925043,9.8800135317,,16.180083597,2.3100627254,11.1,13.639607037,11.5
24009,Maryland,Calvert,,2.8575350375,3.2812414672,94.0,68.152397764,7.4,5.2128059666,22.0,32.895031173,51,163,97188,,38.709895534,12.700134793,1.7512136853,3.7413288621,78.723520838,20394,11.735525656,27.894105168,,13.357195862,11.931829481,,13.740335052,0.3957876057,8.9,14.046627455,7.99
24011,Maryland,Caroline,,3.9344871157,4.5538622611,89.0,44.134505159,22.1,2.2669752545,29.3,32.054953927,12,13,49616,,75.999516119,13.567732116,1.095890411,7.1659056317,76.100456621,7851,24.844287339,32.664060347,,29.018171573,9.1811627024,,19.298986486,2.0250187804,9.1,21.266357491,19.63
24013,Maryland,Carroll,,2.9043901505,3.4375572055,96.0,70.220271435,6.5,3.2443411338,22.0,31.189914878,83,293,89529,,39.506025106,3.4254664313,1.8299374911,3.3777496779,89.569714177,37136,11.856871356,27.230463137,,10.66981382,7.876891349,,12.519823053,0.5927499701,11.1,12.817334286,8.3
24015,Maryland,Cecil,,3.4216897575,4.1812106628,88.0,55.931463927,14.9,6.5048305556,28.8,35.973111391,37,167,70504,,42.102504253,6.5719325946,1.3177002622,4.3107901328,85.38541758,25213,14.150038037,37.739777726,,25.019378176,10.372286815,,16.006034837,0.6541988141,10.7,18.797956912,19.46
24017,Maryland,Charles,,3.0738687094,3.4577998143,92.0,67.280799112,10.1,4.5034589117,21.7,40.910827125,63,200,93947,,29.503722254,45.323864177,3.3518277797,5.5236041977,41.702545893,40545,12.831235536,20.061036771,,17.895600451,9.8442280441,,14.578151904,1.1726946438,9.2,14.468846303,15.09
24019,Maryland,Dorchester,,3.6023995218,3.969079699,86.0,55.434332275,29.1,5.9359424315,32.8,34.580732684,11,68,44491,,56.220491753,27.869055738,1.1966023932,5.2731105462,63.357926716,7241,13.175867082,10.285949393,,42.709376043,15.391150704,,19.821162444,1.4919011083,8.8,20.209555376,17.19
24021,Maryland,Frederick,,2.9380083043,3.3977409644,93.0,74.638453096,7.4,2.8479082088,20.7,33.773988676,162,460,89541,,25.207704008,9.0463708293,4.7429026095,9.126341426,74.388810579,61956,7.3472381791,24.572759806,,13.320449997,7.1453269151,,14.221865689,1.9643036504,11.0,13.313043368,9.03
