FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
40001,Oklahoma,Adair,,5.9041080499,5.8068455746,85.511182109,37.657992565,38.1,3.8033213932,33.6,39.486644785,6.0,48.0,33632,,83.295860336,0.4796814191,0.6018644221,6.439496787,40.456149878,5380,19.223006094,24.137098721,,60.995475113,12.639029323,,14.987405542,1.084850833,9.7,26.521736407,24.23
40003,Oklahoma,Alfalfa,,3.9781869434,4.0542714996,,47.580095433,19.1,21.074137645,36.3,32.409935062,1.0,1.0,53695,,100.0,4.3418568732,0.3947142612,5.4058692294,83.936845718,1467,37.218996576,,,34.693877551,,,5.5690072639,0.4028566197,8.4,17.205039619,
40005,Oklahoma,Atoka,,4.9067114416,5.0581887588,85.996932515,42.73255814,29.9,17.919680615,31.9,34.344640457,2.0,160.0,36766,,100.0,3.8522809558,0.5213613324,3.5553946416,71.245474294,3440,24.56700651,24.15517283,,56.045118082,17.315017892,,10.84452975,0.23820501,9.2,21.162792569,26.71
40007,Oklahoma,Beaver,,4.1070190957,4.1528866989,,48.578595318,15.7,14.055327523,33.2,32.870209037,1.0,,53493,,100.0,0.6688963211,0.408769974,22.185061315,73.801560758,1196,36.164496797,,,34.018987342,,,6.2200956938,4.6204620462,7.2,14.743367909,
40009,Oklahoma,Beckham,,4.2920564044,4.2541077917,85.646551724,47.316636852,20.8,4.0873034361,29.0,33.995195175,15.0,61.0,47407,,32.655183327,3.8278786802,0.9192237666,14.245748035,76.140148319,6708,27.311719831,18.577267141,,76.625738972,22.280112429,,9.7168597169,1.5355175954,7.6,17.710468455,41.64
40011,Oklahoma,Blaine,,4.3200897454,4.5204286501,,46.631706333,26.6,17.657315415,35.7,31.53339919,3.0,35.0,44229,,57.431131207,3.3080991393,0.3318469356,10.287255004,73.545577103,2479,21.240141035,34.021705848,,62.619502868,,,11.336032389,2.5601241272,8.3,17.286043454,
40013,Oklahoma,Bryan,,4.640785164,4.9099318195,84.211340206,58.315295815,24.4,8.0169214501,33.5,33.060145777,20.0,400.0,39219,,61.330629951,1.6610712483,0.640730257,5.689772453,71.860531455,11088,23.369718687,22.231608902,,50.721732157,13.927201172,,15.674543823,0.8918054854,9.5,19.757142214,17.19
40015,Oklahoma,Caddo,,5.0057706852,5.0105561801,86.523058252,47.991803279,28.0,14.653005218,33.3,34.530374862,5.0,12.0,40296,,79.969594595,2.7573840376,0.4059951957,12.169705992,57.225022837,7320,34.845566386,22.671367197,,60.520023909,20.340499969,,11.420204978,1.8006501333,8.7,22.059959179,26.38
40017,Oklahoma,Canadian,,3.7859257758,4.0712544429,89.7345602,67.129641972,10.6,5.5088375975,27.2,33.364383969,58.0,266.0,68291,,22.508027453,2.8271760466,3.2798171857,8.3723962148,77.002460962,37511,14.945516798,12.515895187,,27.268323067,12.188066494,,10.312060066,1.4647546017,9.8,14.387356511,12.04
40019,Oklahoma,Carter,,4.5209974715,4.5806254999,79.439710611,52.117183653,22.6,3.4990523374,28.3,34.598905866,28.0,213.0,47966,,56.077969594,6.5820907818,1.2068539418,7.0495922234,70.537111788,12186,25.717199486,29.438746868,,60.63957239,20.60649022,,12.703862661,0.6761534382,9.3,18.271135521,16.46
40021,Oklahoma,Cherokee,,5.4013947805,5.3396420764,84.489924433,58.501570211,30.7,11.261248892,30.8,34.662265921,30.0,189.0,36297,,60.04852406,1.295687885,0.7145790554,6.8850102669,48.283367556,11145,17.534109787,28.181018366,,37.49271986,12.414392419,,15.703703704,0.8162633279,9.9,22.359868357,15.86
40023,Oklahoma,Choctaw,,5.4616812495,5.1913241368,83.526011561,49.691548427,36.7,26.616470789,35.4,34.102388029,6.0,123.0,32458,,66.931930286,10.668458179,0.5105811219,4.0443399395,61.417534431,3242,32.158902814,28.861310303,,72.024729521,23.913909924,,15.993404782,0.2347584833,9.3,21.208030054,27.6
40025,Oklahoma,Cimarron,,4.431368164,4.3945392226,,52.109704641,33.1,15.362626089,36.9,31.336445151,1.0,,44000,,100.0,0.4625346901,0.3237742831,22.756706753,72.756706753,474,,,,53.921568627,,,11.055276382,3.4433962264,6.1,16.511323622,
40027,Oklahoma,Cleveland,,4.0583793342,4.7461775956,80.719778481,70.588079119,12.5,5.5213948089,28.7,33.133056675,138.0,869.0,61275,,16.883736388,4.8551075703,4.6204087492,8.4007105561,72.398844449,75330,10.239808857,16.888997972,,19.402963202,11.634765563,,14.438502674,1.249956015,10.0,14.554126283,8.92
40029,Oklahoma,Coal,,4.8345836947,4.8984197332,,51.317957166,28.9,13.065732575,42.1,32.484199212,1.0,2.0,41111,,100.0,0.6547513714,0.2123517961,4.3532118209,69.669085118,1214,29.41753285,,,48.148148148,34.55544421,,12.793176972,0.2035529238,9.1,19.779115125,23.66
40031,Oklahoma,Comanche,,4.2873767135,4.4122686226,78.791666667,59.341117598,23.4,14.63423758,30.5,33.323863959,91.0,367.0,48493,,21.790036906,16.701873322,2.7141874632,12.670301958,56.505862317,35970,12.484866395,18.288566687,,44.065436826,17.812897179,,15.111665344,1.0581092801,8.7,20.648340367,14.68
40033,Oklahoma,Cotton,,4.4506877228,4.570619544,90.407608696,53.276955603,22.9,32.431539269,34.2,33.504170539,1.0,2.0,43019,,59.534958824,2.1713516243,0.3029792964,7.7428042417,75.677495371,1419,30.397979704,,,53.191489362,32.901230506,,12.603305785,0.0875043752,8.3,18.16105807,
40035,Oklahoma,Craig,,5.057924804,5.0055365338,87.36784141,47.997678468,23.8,7.2000501621,35.8,35.836770808,7.0,68.0,42781,,60.063876505,3.0974358974,0.6085470085,3.5418803419,63.87008547,3446,19.31490048,24.985803521,,50.196850394,21.785009191,,14.311594203,0.7653982237,9.7,19.765468772,26.69
40037,Oklahoma,Creek,,4.4167882927,4.5193469282,87.372476089,50.546431771,21.6,7.5507567228,35.9,30.834524278,20.0,165.0,45630,,53.944002172,2.2380525017,0.5539039713,3.9909131703,76.587390621,16745,21.440519751,23.022421019,,43.244258089,22.036575064,,12.695386961,0.4903509168,10.0,18.040399959,18.51
40039,Oklahoma,Custer,,4.3223015221,4.3004106012,83.953313253,54.350677744,20.3,14.120043168,29.2,31.743170785,13.0,160.0,43247,,30.325093742,2.8778206397,1.4030655788,17.461509576,69.105246987,6861,23.801377505,12.424184239,,46.571136131,17.070672584,,14.466019417,3.1822885866,8.0,18.121352857,10.16
40041,Oklahoma,Delaware,,5.2633756141,5.2074214322,82.009803922,43.841138115,28.0,8.3853850012,34.2,33.842737919,22.0,66.0,39144,,81.116976402,0.4327131112,1.197172941,3.7982595317,63.837203712,8435,28.92153656,22.489417926,,48.016934046,16.882033176,,15.799031477,0.7463444354,9.9,20.900969055,22.97
40043,Oklahoma,Dewey,,4.4276009099,4.5667739919,,49.417475728,18.7,35.891806963,35.9,31.331649517,1.0,,49398,,100.0,0.4772774435,1.0168084665,7.1591616518,82.465241751,1030,73.460272685,,,48.418972332,,,7.6086956522,0.4200751713,7.7,17.862709301,
40045,Oklahoma,Ellis,,4.2031574643,4.4174788608,,62.559241706,18.3,38.20168711,32.7,31.659110161,4.0,,51745,,100.0,0.6617647059,0.1960784314,7.3529411765,87.475490196,844,48.380965546,,,42.345276873,,,8.5959885387,0.3121748179,7.3,16.035686682,
40047,Oklahoma,Garfield,,4.4397452306,4.211719587,88.223684211,53.584953295,21.5,5.6288002971,31.2,32.847372916,31.0,259.0,49841,,21.411356883,2.9998562369,1.3529703049,12.494608885,74.908550708,15844,16.130184414,11.095671103,,52.834257548,14.389915547,,11.001469662,3.5421211177,9.0,18.928559425,16.22
40049,Oklahoma,Garvin,,4.6823289381,4.8078392585,82.143962848,46.346997429,24.2,8.3462375831,33.6,34.548481627,9.0,33.0,40978,,68.701044386,2.2774624614,0.5998994181,8.3483008837,75.960916733,6611,38.897792161,30.064699233,,55.663544796,18.86997859,,13.391136802,1.0907674328,9.3,20.608828393,32.19
40051,Oklahoma,Grady,,4.103044982,4.5083273813,84.87936772,56.785263314,17.1,5.1261009426,26.5,32.717734251,20.0,69.0,55552,,63.885869047,2.3071997073,0.5068154789,5.7103650169,81.522276096,13463,26.104722557,20.838823955,,36.240939765,19.632538154,,11.539436977,0.4779208468,9.5,16.87167148,15.49
40053,Oklahoma,Grant,,3.7783968411,4.0353638252,,68.61878453,19.6,23.252317549,34.4,31.434316081,,,48118,,100.0,1.4333706607,0.2015677492,4.8600223964,88.622620381,905,50.560910096,,,36.157024793,,,4.5801526718,0.1418439716,8.8,14.529122375,
40055,Oklahoma,Greer,,4.5089916887,4.4138095572,,43.857566766,30.3,3.5875594057,30.8,35.065871239,,26.0,35231,,52.652668697,7.9026342114,0.2500833611,11.387129043,74.941647216,1685,23.344850126,,,71.833648393,,,9.5022624434,0.1569311247,7.4,18.75996709,
40057,Oklahoma,Harmon,,4.4720719142,4.3337309784,,51.497005988,36.0,1.9215788172,31.0,32.752654661,1.0,,36703,,100.0,7.6923076923,1.1834319527,28.550295858,57.544378698,668,,,,63.517915309,,,8.9361702128,2.2997032641,7.2,17.085809766,
40059,Oklahoma,Harper,,4.1153469301,4.1616932402,,43.734643735,14.7,23.375615572,31.0,31.363900588,1.0,3.0,48559,,100.0,0.2152273339,0.1614205004,22.65267689,74.280333602,814,,,,45.343137255,,,6.6889632107,8.3096186682,7.3,15.719681257,
40061,Oklahoma,Haskell,,4.9754205951,5.2191283905,79.293103448,47.805375978,30.1,17.709902374,40.8,35.193312116,5.0,28.0,36418,,77.735139792,0.5648387856,0.8001882796,4.1107711618,71.240291833,2939,28.870604173,,,51.422319475,,,10.093652445,0.828843763,9.7,20.942898074,23.4
40063,Oklahoma,Hughes,,4.8726543763,4.8733672146,87.560606061,39.736029205,33.6,11.373828529,35.7,35.92415825,4.0,18.0,33578,,58.80882668,5.7128114404,0.3390830016,5.2041869379,63.320064868,3561,33.122179439,,,51.290877797,20.358898293,,13.525026624,0.2538266287,9.2,20.433129576,39.13
40065,Oklahoma,Jackson,,4.3333317749,4.3222005121,85.781931464,57.491952005,27.9,8.8562653771,31.3,33.239280734,14.0,54.0,44211,,24.752325493,6.9655253559,1.5256696866,23.340000784,63.442757972,6834,15.360393226,22.058155679,,58.833619211,12.365333787,,13.647284959,3.5454124384,7.7,16.88997988,16.92
40067,Oklahoma,Jefferson,,4.75611931,4.6991327148,,46.547884187,29.9,12.620153721,33.5,33.955749743,2.0,1.0,37105,,100.0,1.1235955056,0.5778491172,10.112359551,78.587479936,1347,38.129415723,,,49.402390438,,,9.0909090909,1.0217983651,8.6,19.457841405,26.67
40069,Oklahoma,Johnston,,4.8766172667,4.9294934597,84.467741935,47.479158396,29.5,15.262507174,32.3,33.318101905,3.0,77.0,38080,,100.0,2.1105799585,0.7486245152,5.1862541716,69.631099486,2519,25.886951682,42.206813386,,45.357902197,27.192139659,,12.075029308,0.5510973605,9.2,20.479919236,20.08
40071,Oklahoma,Kay,,4.3848975543,4.4352614479,80.111111111,55.375666505,22.9,14.26249247,29.5,32.897882175,19.0,81.0,44391,,24.47489369,1.9980864651,0.6185612887,7.5784883074,75.21972276,10315,20.626804845,12.519607915,,61.327831958,12.321177905,,13.163656267,0.8615996402,9.1,18.445611103,16.6
40073,Oklahoma,Kingfisher,,3.8957501419,4.0252084798,91.736111111,59.399095985,14.2,2.4949644044,28.0,30.555338391,9.0,22.0,60814,,72.435812159,1.3109093234,0.3708914183,15.603018289,76.653024683,3761,22.370947596,,,34.267912773,16.875446226,,10.37489102,3.809125157,9.0,15.588585442,
40075,Oklahoma,Kiowa,,4.5599300239,4.7247805861,,50.890707752,32.3,24.708173243,33.7,35.601809041,4.0,12.0,36069,,61.655727292,3.9109838052,0.41864052,11.865153685,74.396827146,2077,35.346549869,,,46.367112811,28.13365651,,9.9371069182,0.9926131117,7.9,19.416042938,
40077,Oklahoma,Latimer,,5.0906729516,5.1178350032,83.06640625,53.695652174,28.7,10.42748909,29.9,34.694009326,2.0,59.0,35942,,73.292092523,1.3059343192,0.6241597849,3.5048972537,65.066256962,2300,22.459144174,,,38.93294881,,,11.829268293,0.5380629733,9.2,21.862967413,
40079,Oklahoma,Le Flore,,5.0249056667,4.9464601464,84.49695122,44.108333333,28.4,7.9678199246,34.2,34.148980777,18.0,156.0,37005,,72.89615751,2.1554749063,0.6656908548,6.9436368376,71.78834239,12000,24.864389051,23.452314743,,55.162164525,23.30384192,,15.146535196,1.6629309425,10.2,21.300942015,20.85
40081,Oklahoma,Lincoln,,4.3612394548,4.5055214912,89.711286089,48.687443424,23.2,3.1739775375,35.2,32.515526999,10.0,64.0,44914,,92.110407609,1.8417831421,0.3188249025,3.1967889778,82.726522247,7733,28.127300855,24.811527818,,35.884567127,19.03882767,,13.455772114,0.2706692913,9.4,18.247149522,14.65
40083,Oklahoma,Logan,,4.0203912843,4.2714269989,80.0,60.821868537,19.8,8.7538270515,29.6,34.510639268,1.0,81.0,54305,,55.374211432,8.4656993217,0.6460891217,5.9242723448,77.640164849,11121,16.758246185,10.880603511,,17.622180451,11.507072424,,13.667877187,0.4657727594,9.5,15.853738058,12.82
40085,Oklahoma,Love,,4.1814875011,4.4205802764,81.41509434,43.944169293,21.6,6.5664346977,36.2,33.445768902,2.0,6.0,45200,,100.0,2.0406121837,0.700210063,15.284585376,71.131339402,2221,29.520730933,,,50.462962963,22.476501839,,7.7041602465,2.678766674,9.2,16.597195361,
