FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
4001,Arizona,Apache,72.360310016,5.5989093474,5.4996181421,74.16378316,49.935830838,43.3,47.39151395,26.9,34.940378923,24,62,33053,77.644649258,74.061075533,0.5292852554,0.4315280842,6.256458956,18.157696282,16363,67.846899416,9.7135879218,,40.532771177,17.8,,33.964711988,5.3497013735,5.7,21.552775742,13.842768554
4003,Arizona,Cochise,78.618773175,4.1236492277,3.9730759412,84.179970972,66.111946533,25.0,14.470191804,21.4,30.933688619,64,149,48966,68.913751017,36.30106741,3.8763666677,2.2395716438,35.587065953,55.065888615,29925,13.344438872,23.345085462,,36.513720532,20.7,,16.149513569,4.8284689358,7.5,15.939788639,10.850202429
4005,Arizona,Coconino,79.178651428,4.2000149525,4.5429215895,81.25445474,69.415878849,21.5,13.831680319,16.0,30.633103244,117,279,54399,59.332184584,31.46606557,1.2587372848,2.0230721146,14.138063306,54.125703245,33743,24.02840323,16.873385443,,20.896786816,13.7,,25.375375375,2.0482517911,5.6,16.359380315,3.6116561296
4007,Arizona,Gila,73.819230473,5.090789447,4.8472804947,82.444061962,53.446835179,39.0,15.826684138,27.5,32.423818739,23,31,38897,72.870048645,41.061999739,0.5812975458,0.8448440216,18.730491019,62.363320312,9574,27.906277839,38.697758027,,54.686711734,19.9,,16.953610713,1.8418742018,5.8,18.142619567,11.798839458
4009,Arizona,Graham,78.381634212,4.4307672449,4.0436397813,84.061135371,52.802529462,26.4,19.00577286,24.3,29.297635075,20,15,46378,68.048469388,46.437399248,1.4973576042,0.6859552661,32.781722095,51.011583836,10437,12.179665288,17.741348875,,46.591979897,14.9,,17.244525547,2.3491280404,6.0,17.914206469,10.420315236
4011,Arizona,Greenlee,81.191118311,4.0842838654,3.7756633915,92.173913043,55.424063116,11.7,30.546449341,21.1,34.043655613,4,1,63557,47.146254459,46.568685552,1.7028027499,0.9730301428,46.79005817,46.705446854,2535,23.291925466,,,43.596730245,,,14.440993789,2.6731190229,5.7,15.303890746,
4012,Arizona,La Paz,78.184749021,4.6720514728,4.3995939061,81.868131868,35.029163966,32.5,18.95471346,28.5,31.53598945,8,23,36389,74.255512617,56.327785641,0.8931605262,0.9514101257,26.940439784,57.676811805,3086,36.536096961,36.024234485,,54.413160392,37.4,,14.735718099,4.8121224532,5.7,15.497512159,
4013,Arizona,Maricopa,80.455703631,3.5912711936,3.6695195859,80.653167864,64.714392612,19.1,4.3994726153,19.0,34.267942269,2960,5485,62221,60.993344894,2.3637996949,5.3598149817,4.3978070286,31.102013846,55.42323451,1143948,10.42008845,19.444916436,,28.484793761,13.7,,18.639256301,5.2503275411,10.6,13.749257034,8.3276271443
4015,Arizona,Mohave,75.492451804,4.8952247486,4.5083802462,83.382613838,46.456111776,28.7,20.01212971,30.4,33.237551348,94,144,42210,68.336869205,22.963643811,1.0521235521,1.2186293436,16.439671815,77.410714286,39293,17.701443122,27.544370741,,34.250172771,26.7,,16.936780898,1.9678554621,5.1,20.02779048,12.419146184
4017,Arizona,Navajo,75.387932252,5.7644938886,5.0731126171,80.886627907,51.914998765,36.9,25.005407877,26.6,35.417843513,63,82,40883,68.888499606,54.138242329,0.7727890157,0.682844451,11.273358053,41.671867543,24282,35.262700515,19.556375837,,49.040356126,18.2,,25.19777322,3.8441147933,5.7,21.499194132,14.671875
4019,Arizona,Pima,79.632277521,3.8693081864,3.853326337,77.644616401,66.85101335,22.5,7.6811171817,18.3,30.909934816,829,1770,51392,61.93686799,7.5234911447,3.355596425,3.3080783637,37.280167858,51.818934676,239404,11.16320131,23.581502132,,27.123938298,15.3,,20.005902582,4.1449520247,7.9,13.89351317,8.1352332065
4021,Arizona,Pinal,81.613539277,4.5099918592,3.9778323343,71.718413772,53.832699125,17.0,7.2032499213,24.3,35.490790842,65,300,53114,72.598173961,21.904622508,4.4398784856,1.9066235586,30.0955055,56.947217464,107483,13.738087445,13.940213214,,31.548931918,13.2,,16.210815047,3.5119468178,11.7,15.096548099,12.701482914
4023,Arizona,Santa Cruz,83.233000308,4.6456548859,3.928240888,90.984743412,56.051147805,35.2,12.807902716,18.2,31.432524876,20,16,39265,67.24049332,26.883171658,0.4262962001,0.7941660175,83.411235177,14.907383364,9932,12.534393152,13.702779501,,40.987953633,5.6,,22.721354167,12.293901816,7.6,15.604684059,
4025,Arizona,Yavapai,78.711017458,3.6555769043,3.7658564728,84.655532359,60.804705051,20.7,12.606566425,21.2,29.894187849,139,405,49860,70.681449604,33.197177693,0.6999228639,1.1259247572,14.538410294,80.559061744,39617,14.988722615,26.627809789,,28.8677204,23.5,,18.248293793,1.9289244083,5.1,15.252793987,7.8456730251
4027,Arizona,Yuma,83.056575676,4.8751959021,4.0338357488,87.7684747,54.009698621,26.1,9.5970112012,25.8,29.774122311,84,112,46013,67.505232315,10.42957635,1.913903264,1.534688292,63.943739339,30.774716432,49904,12.018723907,15.871987562,,44.882558622,10.7,,19.479048698,14.930012264,8.0,14.895871612,9.6741854637
