FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
18001,Indiana,Adams,79.012948542,3.8109958302,4.1418494722,93.076923077,49.418381695,24.8,3.315535556,27.4,33.918976993,12.0,8.0,51488,76.214566771,53.67435368,0.433912823,0.3634724296,4.451832859,93.801245386,7823,13.533298065,11.352563314,,28.578094016,,,17.193270414,1.393310847,12.5,21.149905253,10.148777896
18003,Indiana,Allen,77.33731736,3.8341232697,3.7726953554,91.815041191,66.184086382,19.0,9.841942486,22.3,30.987147845,242.0,638.0,52661,68.285726299,11.879694593,11.549116733,4.160084961,7.5201742129,73.88549039,95390,8.7911160498,20.598508092,,28.850452185,14.9,,11.836908955,2.1892787707,12.6,18.788920014,7.6888057059
18005,Indiana,Bartholomew,77.86986388,3.7336169666,3.8741249055,89.24259056,63.724086985,14.7,9.1826520709,25.9,33.41938676,61.0,117.0,61943,70.999618709,33.703153892,2.0368113116,7.2025841053,6.6955143832,82.392735251,21659,13.893663599,22.894147275,,37.416187739,11.6,,11.418741809,2.2160555005,11.2,18.249542047,7.2057646117
18007,Indiana,Benton,79.379662921,3.828633811,4.0814802361,94.244604317,56.278831369,17.0,0.8238202711,27.5,33.592951845,,3.0,52841,73.859287607,100.0,0.661790317,0.3018692674,5.2827121793,92.325554395,1951,,,,29.504741834,,,11.807580175,0.6001959824,11.0,20.721059637,
18009,Indiana,Blackford,74.523199358,4.0658374557,4.1780089939,96.774193548,51.024279211,22.3,0.7789825505,27.4,35.637816308,7.0,3.0,42636,76.418542027,50.610997963,0.5678022712,0.3256513026,1.5698062792,95.833333333,2636,21.990486221,49.419322955,,39.682539683,,,10.994263862,0.233281493,11.7,19.923150028,
18011,Indiana,Boone,78.575491598,3.1703510252,3.6057760092,95.063291139,77.964489537,5.9,1.2802990579,20.1,34.152084012,134.0,63.0,82670,75.808981344,34.405014124,1.8398481973,2.7430740038,3.0451612903,90.670208729,15770,10.400079503,22.179582405,,13.30811322,10.4,,10.92693566,0.6937024034,12.0,17.24925482,
18013,Indiana,Brown,77.808529893,3.6619657937,3.9986642596,98.013245033,58.976132826,16.5,1.258273022,27.0,31.783343686,7.0,8.0,56979,83.54683081,100.0,0.5187894912,0.4256734287,1.7159960093,95.650149651,2891,17.128012865,24.485798237,,16.655562958,17.4,,14.109926169,0.498960499,10.8,18.295171448,
18015,Indiana,Carroll,79.457393991,3.6994781656,3.8492595734,92.857142857,51.446595606,12.6,1.4471396168,28.5,33.281209731,3.0,14.0,55471,81.736794987,81.404118085,0.5589101253,0.1546983382,4.1519037876,94.036628574,4597,12.857142857,,,21.794871795,10.0,,8.4669660038,0.7546572378,11.6,18.210851476,
18017,Indiana,Cass,76.301059626,4.2359781384,4.1695910517,90.574712644,47.178082192,19.4,1.2508861917,28.0,33.771819965,16.0,83.0,47727,73.827493261,44.667145717,1.4765489288,2.018739801,15.605095541,79.602042428,9125,14.53981486,10.533800332,,43.47303951,15.7,,12.538646513,4.8375873299,12.0,20.954744968,7.3919107392
18019,Indiana,Clark,74.547631929,3.7507384566,3.9238513221,91.454396056,62.572801629,15.7,6.8981968698,27.2,35.420421864,47.0,252.0,52746,71.367707355,20.514914,7.6043189454,1.1301753396,5.4405717559,83.285886487,31421,10.386737013,31.28812343,,33.535266119,11.6,,12.262943572,0.7334281491,12.0,21.006420778,4.3266630611
18021,Indiana,Clay,75.347937295,4.0542664647,4.16215598,89.530685921,57.732919255,18.1,1.2431609641,28.3,35.025928912,11.0,14.0,50746,76.713483146,60.888806248,0.6565386671,0.3435376746,1.3779677838,96.182914726,6440,22.030455762,15.187950892,,36.575088488,14.4,,13.001449976,0.4550213417,11.2,19.855623756,
18023,Indiana,Clinton,75.818501958,3.8928250189,4.0712409495,90.19138756,46.677071141,19.2,0.6297682704,31.0,35.034084235,7.0,12.0,51540,71.499038542,49.783289189,0.6126806325,0.3867933286,16.106074202,82.06516694,7689,23.12380836,15.403099104,,38.366336634,12.9,,11.721769,3.4273060779,11.5,18.472080797,9.8051157125
18025,Indiana,Crawford,75.612020001,4.4050843076,4.3415104466,88.181818182,39.115789474,25.9,4.661388084,27.5,34.347548572,,4.0,42555,83.204392313,100.0,0.4448230172,0.1798220708,1.6467915957,95.930342608,2375,25.610956097,,,40.018613309,,,13.292682927,0.1793364551,11.6,22.536931859,
18027,Indiana,Daviess,76.788508946,3.8139582965,4.0791343567,94.754098361,40.731449696,18.9,4.5598822037,31.8,34.299412105,17.0,27.0,46292,73.837310573,60.281850354,1.8240570169,0.5043336454,4.9708573672,91.625645517,7574,19.284205359,,,29.806065339,7.9,,11.834061135,1.4075644168,12.1,20.494718039,16.294277929
18029,Indiana,Dearborn,76.678667374,3.540702483,3.8281918957,94.281524927,57.718894009,12.6,6.8199828456,23.7,32.9927153,24.0,59.0,65005,79.123587079,53.058125362,0.6011137693,0.4503327235,1.2404254036,96.433525663,11284,12.935457815,34.337191218,,20.684798873,12.5,,10.651998927,0.0106539388,11.8,18.368775681,7.5887850467
18031,Indiana,Decatur,77.350566149,3.6208044091,3.9795767888,95.637583893,62.253521127,15.6,5.2975917462,34.8,34.90351525,15.0,8.0,55808,69.364496813,53.795648796,0.5348393612,1.6793207914,2.0234132476,94.745109773,6390,17.330740943,22.540573031,,39.698836413,14.3,,10.620347395,0.3065010486,11.4,19.347551686,10.218463707
18033,Indiana,DeKalb,77.772775547,3.6147736445,4.001776952,91.326530612,57.274963109,14.1,8.5256498505,22.4,35.504852669,22.0,25.0,54289,76.539805111,42.299220804,0.4155383322,0.5159211878,2.77103371,95.048557288,10165,13.102901453,10.922907678,,31.130749146,9.9,,10.187750077,0.3151969981,12.4,19.453752665,5.2494577007
18035,Indiana,Delaware,75.477122744,4.1098667,4.4587260796,90.724165989,65.865112137,22.2,8.1822680592,24.8,34.070230514,116.0,303.0,41874,64.210435384,22.811907777,7.0435129879,1.3526184192,2.5151062648,86.779413807,24702,11.135298775,35.669185563,,19.724712716,12.0,,16.127622378,0.31597011,11.5,19.881031713,5.385623771
18037,Indiana,Dubois,79.045593901,3.5502192993,3.7061830768,92.962962963,62.682396771,8.9,1.7321963776,19.2,31.138942123,36.0,44.0,63033,76.972887921,49.246818974,0.5780346821,0.6438272475,7.6389867945,90.467127215,9663,14.837445666,8.6226493482,,24.91562438,10.4,,8.616429895,1.7689749017,11.9,16.721982432,
18039,Indiana,Elkhart,78.205308646,3.7851461659,3.9934123879,90.77107471,47.66331213,14.9,7.3689877011,23.9,32.054297059,109.0,255.0,58781,68.643441652,20.587267601,5.7083772289,1.1881072223,16.007745132,74.880994186,50777,11.108115929,13.555734484,,38.426068245,10.3,,13.784781374,3.8179171798,13.1,20.73871035,9.1672687861
18041,Indiana,Fayette,72.013412379,4.4315222756,4.4847369046,91.791044776,49.150326797,21.6,8.3201058501,29.9,34.464317973,12.0,16.0,44970,68.788522848,36.783787124,1.3615407816,0.4351760093,1.1331810935,95.6654746,5355,13.887463244,70.026009661,,48.588709677,8.5,,15.85431173,0.2920429528,11.2,23.040896931,
18043,Indiana,Floyd,77.202583812,3.8734622191,3.9587093654,94.052863436,67.335939977,14.3,7.5017612557,27.3,34.618289046,53.0,100.0,61009,72.27501205,20.327710585,5.359992734,1.1275317564,3.272307353,87.953964526,18926,8.6217560643,29.890962966,,25.608490022,11.0,,12.117566174,0.5530773613,12.0,18.655560746,5.7339449541
18045,Indiana,Fountain,76.944849855,3.9839661036,4.1796671827,93.150684932,55.732828556,18.2,6.4166467787,30.6,36.07274374,3.0,11.0,50817,74.037498211,65.951276102,0.4422902151,0.345349894,2.5386246592,95.255983035,3698,18.731056091,,,38.776624795,12.0,,9.0647482014,0.4208378499,11.1,20.083262417,
18047,Indiana,Franklin,78.902808991,3.6711280339,4.1426036854,95.604395604,56.209535021,12.2,4.5098079494,27.5,34.01689158,18.0,7.0,62467,80.278186136,88.859531338,0.3227375216,0.8488438923,1.0964233609,96.772624784,5097,13.11672007,26.39064012,,24.814814815,17.5,,9.3220338983,0.134277909,11.4,18.806266719,
18049,Indiana,Fulton,76.042268036,3.8855318948,4.0410282968,92.896174863,56.516101145,17.8,5.8178697313,26.3,35.086685694,13.0,14.0,51088,77.401058735,64.921290075,0.7627498878,0.5733087392,5.2794256942,91.819133556,4627,18.172795325,19.830449655,,30.365296804,11.8,,11.111111111,0.9911374482,12.0,19.558663022,
18051,Indiana,Gibson,76.93783715,3.5561679977,3.8890965882,92.286501377,61.695387734,13.0,1.2784792343,25.7,32.460435026,9.0,7.0,53714,77.324535093,53.619078888,2.0848224923,0.5241839409,1.626161544,93.849773648,7892,22.51601611,,,35.269993165,17.8,,8.893129771,0.2345929495,12.2,19.029181633,6.3708759954
18053,Indiana,Grant,74.824149556,3.9462169716,4.4273417133,95.861148198,52.615018878,27.3,7.9141228366,31.2,36.375729515,30.0,129.0,44790,68.363831253,28.913375487,7.0626099773,0.9234332466,4.382548014,84.928787355,14302,11.709969157,38.231044601,,28.811830699,11.8,,11.633616619,0.1705229893,12.0,21.113924521,7.9223744292
18055,Indiana,Greene,76.63616502,3.8691829535,4.239049093,94.117647059,54.677331887,18.8,5.9506852261,31.7,31.537313825,9.0,20.0,59347,79.712321189,74.843962008,0.2797028934,0.3636137614,1.4637784753,96.587624701,7376,22.35165731,16.523975255,,35.357981221,17.9,,11.6015625,0.2994889157,10.9,21.550849397,8.8108441158
18057,Indiana,Hamilton,81.982488888,2.6375328024,2.9794572025,76.805935182,86.50446907,4.1,3.8794563561,14.0,30.009086999,448.0,429.0,95080,78.038536252,5.6353776282,4.130076881,6.1378174933,4.0556360368,83.724945714,84917,5.1380243024,12.634012657,,7.3051948052,6.5,,8.5123089003,0.9967630355,11.6,12.849516348,3.8599752169
18059,Indiana,Hancock,78.397495721,3.2979330639,3.6287116356,91.649694501,71.359113523,6.8,7.4376664689,24.8,33.321864599,62.0,43.0,73294,77.451407021,30.446272964,2.651196906,0.8735080349,2.3604720944,92.4984997,17688,10.27186871,20.793591957,,16.983134804,11.5,,9.1305998481,0.4397396508,11.9,16.449725868,
18061,Indiana,Harrison,76.669284746,3.7336414233,4.0828687386,97.052154195,54.49396174,13.0,1.6324800763,25.3,33.504694022,18.0,9.0,57136,82.624378956,85.84747485,0.5714572159,0.471201564,1.7695122563,95.724096446,9357,23.530774633,25.146267456,,28.574978258,13.1,,10.715508388,0.1129214389,12.3,20.101967014,12.130801688
18063,Indiana,Hendricks,79.510183794,3.0832601912,3.4224708222,96.322489392,76.153846154,5.8,4.1009043148,20.3,34.645245466,86.0,141.0,75647,78.695781499,17.846928112,6.7171701744,2.8835873782,3.9020069035,84.626569325,42900,6.5087753877,15.337200795,,12.825369338,9.7,,8.9478499543,0.8134625356,12.2,16.301188327,4.6638753198
18065,Indiana,Henry,76.024334406,3.8309115747,4.0497405946,93.58974359,53.064462258,18.4,1.4032181093,25.3,31.609755009,20.0,40.0,48915,73.093501326,42.855121103,2.6631735292,0.3919465302,1.854525951,93.603020051,11976,14.009281149,16.440383061,,28.490584447,16.8,,12.798445308,0.1470747269,11.0,21.293467337,12.660322714
18067,Indiana,Howard,74.781976653,4.0285808797,4.0757515302,75.103391232,59.617873971,21.8,8.4672613462,27.8,35.827627402,51.0,142.0,51035,68.272627251,21.535431168,7.3006082828,1.1449315834,3.3898716657,85.3587169,19313,15.720065368,34.345238336,,40.343689541,10.4,,13.26456487,0.4778633053,11.6,24.011132136,6.623344164
18069,Indiana,Huntington,77.168027953,3.8181833877,4.0849424118,91.75257732,53.974227392,14.0,8.5263683757,28.5,34.115794244,23.0,24.0,53635,76.347837986,50.956254714,0.7292842007,0.5834273605,2.4245259653,94.694113438,8769,9.7252802826,16.458346668,,29.526462396,8.7,,10.635359116,0.2756899504,12.3,21.779452882,6.4856711916
18071,Indiana,Jackson,75.783426111,4.0126657258,4.1862094885,92.307692308,53.255484784,14.5,5.8455432533,28.7,36.503069182,25.0,36.0,48789,72.675086108,43.732301303,0.9980858627,2.2012578616,6.9068453195,88.460486738,11304,17.366458488,30.31083764,,47.846370836,11.0,,12.217875414,1.8646763734,11.3,19.999100967,8.1929904415
18073,Indiana,Jasper,77.220963122,3.7733099646,3.9390040845,92.964824121,55.939772872,13.3,2.3226777823,26.5,36.756950145,10.0,15.0,58891,76.407528642,68.03871199,0.7803390439,0.4155828624,6.0095075792,91.57473017,7837,20.505284383,19.930244145,,23.020368808,11.4,,10.170904544,0.5625476735,12.0,19.098394521,
18075,Indiana,Jay,74.929129947,4.1734522486,4.3081577672,95.93495935,43.662271374,23.2,8.6185790467,27.9,36.523985591,9.0,22.0,46740,74.069554606,55.653319531,0.4153735975,0.4392456434,3.1511100501,94.838863691,4702,26.298576505,33.274179237,,34.826844062,,,12.69254467,0.8573615718,12.1,21.123548688,
18077,Indiana,Jefferson,75.237452418,3.8877694628,4.0427265396,81.524926686,50.116974266,20.4,7.1700445844,27.3,33.664755117,18.0,31.0,51163,71.728326891,45.0968299,1.8292872947,0.8538751597,2.7922340989,92.81996946,7694,16.322713276,16.507949609,,32.496307238,19.2,,13.509255612,0.2689935704,11.3,20.525443566,9.099901088
18079,Indiana,Jennings,73.189912413,3.8635700357,4.0724816176,90.522875817,49.44598338,18.6,12.397436184,32.0,34.673892791,13.0,22.0,48961,74.276945969,60.196319018,0.7565337001,0.2823427206,2.4795482516,95.153116629,6498,28.589077951,34.821868133,,44.414735591,20.1,,14.238566714,0.2023904991,11.3,21.038115451,
18081,Indiana,Johnson,77.979703133,3.4495615843,3.7295365599,93.37252806,68.872858878,11.5,8.1761071386,20.1,31.928333807,124.0,117.0,70690,71.033590318,13.896487032,2.1215488281,3.1384627381,3.6530926529,89.278543441,40341,8.4185510029,21.075185725,,23.077595501,10.3,,12.774544772,0.6245120999,12.1,17.025139173,
18083,Indiana,Knox,75.780957128,3.814324194,4.0397789221,96.894409938,61.356448401,23.6,7.2079656722,29.7,31.111842436,32.0,55.0,44044,64.033097558,36.214880333,3.012690626,0.9118054815,2.0422309907,92.478937827,8537,15.054969457,14.136898188,,31.503963078,18.0,,11.366711773,0.325833544,12.2,20.244457077,4.6447140381
18085,Indiana,Kosciusko,78.422979093,3.7844566055,3.8368466346,92.642140468,55.016232066,14.1,5.5709198482,23.9,33.347895987,32.0,122.0,62666,74.779448208,46.597636961,0.9620483297,1.3433325758,7.9855061485,88.314016615,19098,13.311694232,16.883478672,,29.148102421,8.9,,10.900794321,1.743538173,12.8,18.657485082,9.4378903539
18087,Indiana,LaGrange,79.860421263,3.9038377108,4.1057781307,92.546583851,28.806677194,11.9,0.0754080482,26.8,35.229248563,10.0,13.0,63291,82.045755968,91.615492351,0.3943719309,0.536854693,4.1269114317,93.9801033,8866,14.14969634,,,20.075647367,5.7,,15.102389078,3.2813034066,12.7,20.646968714,9.6882898062
18089,Indiana,Lake,76.408689151,4.135005375,3.9233070383,87.473286207,62.038056298,23.7,10.211115361,26.9,38.614341719,269.0,826.0,54929,69.255729717,3.9681051602,23.516184828,1.6415451775,19.113746808,54.18664031,120821,8.1627631653,23.160980463,,28.574872364,19.9,,16.084335706,2.2417602551,14.3,18.108928616,7.6917264828
18091,Indiana,LaPorte,75.740684205,3.9351728497,4.0618750881,88.803680982,53.277090497,21.7,11.744470452,25.2,36.778209237,42.0,95.0,51532,71.476439791,35.627584846,11.179779876,0.5989330086,6.635523362,79.319997455,28211,12.366783335,21.756998501,,36.979696554,11.9,,13.951866062,0.7847426083,12.4,22.818773255,5.9445178336
18093,Indiana,Lawrence,76.869543282,3.9164733056,3.9927899875,84.304932735,57.675083373,17.6,4.291180385,30.6,35.430654383,15.0,29.0,49112,78.792317708,58.447132267,0.44672185,0.7292077257,1.6795865633,95.609424955,10495,21.840873635,,,39.834728255,9.6,,11.219248446,0.1389306967,11.1,19.211359232,12.791208791
18095,Indiana,Madison,75.90672212,4.5738526769,4.76681216,84.898843931,56.162155527,24.4,9.8035637758,29.4,37.424820915,63.0,152.0,44987,69.111468236,23.088668753,8.3120974841,0.6169979459,4.1104881929,85.002857187,32586,12.628328525,31.916235326,,37.643266476,11.9,,13.720136519,0.7499774843,11.4,23.994078508,4.9627036079
18097,Indiana,Marion,75.741935817,3.7832667814,4.1415286367,75.923988842,62.133494715,25.0,8.7852007981,25.0,35.408243358,772.0,2509.0,47642,54.037552932,0.6001817592,27.915800952,3.3604467825,10.516986955,55.504261737,275951,11.160289971,33.176331673,,38.519061438,22.9,,18.864836616,3.5372633707,12.8,21.431361742,9.170029447
18099,Indiana,Marshall,78.709451839,3.9399714642,4.1648290027,89.695945946,51.525294061,14.8,5.077551504,29.4,36.049536295,20.0,47.0,53387,75.4710418,63.346156298,0.5763688761,0.6731472321,10.366037249,87.21450385,10457,15.234566622,14.294801695,,26.602819899,9.8,,12.40981241,2.0736854112,12.7,19.428718224,9.0330282531
18101,Indiana,Martin,79.221841577,3.9117925412,4.0502863265,96.226415094,58.380251191,16.7,1.21016429,29.2,33.602941368,2.0,2.0,50203,80.498706187,72.28565899,0.2545276554,0.3426333823,1.0572687225,97.102300538,2309,,,,33.443240697,,,10.0,0.0,11.4,19.395426093,
18103,Indiana,Miami,76.627550351,4.0971825722,4.2108659832,94.943820225,49.375610816,22.2,9.1520252869,27.0,35.642922736,9.0,16.0,47225,70.248793167,46.486735496,4.7733296136,0.5272701911,3.1887292509,88.82689357,9209,11.472381231,18.589088205,,30.863376347,6.1,,10.634257501,0.2934100111,12.1,23.284589583,
18105,Indiana,Monroe,79.917667343,4.0995722419,4.3713922293,90.766208251,77.415187598,17.2,4.4726704947,20.0,32.407652679,85.0,345.0,49180,54.155305922,21.248206184,3.465636183,7.0462493027,3.5023743758,83.467813261,35608,6.4790596791,16.697660269,,8.354563165,7.2,,21.95144466,1.0694954677,10.4,19.241780857,2.0366179798
18107,Indiana,Montgomery,77.678045781,3.8203909033,3.934731257,96.796338673,55.889752973,16.9,6.5998013867,26.1,33.864017219,14.0,38.0,53720,71.646768492,52.754170601,0.9214795587,0.8487994809,4.9370538611,91.831278391,8744,13.440659488,18.288540923,,39.049235993,10.5,,11.240177656,1.4906694107,11.3,20.197634108,6.5174129353
