FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
46003,South_Dakota,Aurora,83.344708016,2.6745029248,2.4946121633,97.057352941,70.671378092,14.7,23.279247626,18.6,23.550081741,,1.0,49406,77.608142494,100.0,0.7304601899,0.7304601899,5.5514974434,89.590942294,566,,,,,,,6.9264069264,2.2317932655,6.2,12.644423609,
46005,South_Dakota,Beadle,78.890659482,3.2360736918,2.8230226405,78.725531915,53.273604411,20.9,8.0611489338,18.2,26.476957713,11.0,52.0,45878,67.036988629,27.365214392,0.7985900755,9.3737952305,9.2085696976,78.052541719,4353,11.095084877,,,57.897545358,,,13.615333774,7.7299058653,6.2,14.940300767,
46007,South_Dakota,Bennett,69.113402326,4.9266271454,4.0116573167,84.09,44.034440344,51.6,59.334817647,24.0,28.629251965,,1.0,35529,60.837696335,100.0,0.4632310365,0.4342790967,5.2982049797,33.005211349,813,,,,78.0,,,24.285714286,0.4774029281,4.8,26.12464234,
46009,South_Dakota,Bon Homme,81.747012721,3.1197281875,2.8525894922,93.024534884,53.37995338,17.0,4.2803471948,24.0,27.001436668,4.0,1.0,48110,75.371965544,100.0,1.1311569301,0.1718213058,2.7491408935,86.884306987,1716,,,,10.566037736,,,8.4677419355,0.3457087028,7.3,16.168840812,
46011,South_Dakota,Brookings,81.959522429,2.845050684,2.9153968516,87.885605536,81.071983428,8.7,16.374930432,14.3,24.23538818,20.0,42.0,56947,59.60958578,29.666823088,1.4625602102,2.5806451613,2.7674792001,90.83345497,7724,7.2828843649,,,7.5349838536,,,13.062880325,0.8248530434,6.9,13.032533779,
46013,South_Dakota,Brown,80.301998127,2.9270998251,2.8249786327,85.093100962,70.105820106,12.8,8.2336256736,20.7,24.951090393,28.0,132.0,55572,65.929691328,28.89053133,2.0598294961,2.9302159375,2.7923834805,86.857419981,9450,9.3437335317,9.3944026441,,20.765881434,9.3,,10.315723664,1.4251387853,5.9,14.994369496,
46015,South_Dakota,Brule,80.094206784,3.1468299801,2.9971175317,87.301904762,69.107142857,19.4,12.827054941,22.9,25.599707451,9.0,5.0,50165,68.01843318,100.0,0.4141566265,0.3953313253,2.7108433735,83.659638554,1120,,,,26.515151515,,,9.4430992736,0.121703854,6.0,16.401836916,
46017,South_Dakota,Buffalo,62.592335917,5.8379772515,4.8439669433,,38.784067086,48.6,71.844209251,23.3,34.57527995,,5.0,22679,41.886792453,100.0,0.7503751876,0.0500250125,4.4022011006,15.207603802,477,,,,87.971274686,,,29.357798165,0.0,5.8,37.029014148,
46019,South_Dakota,Butte,78.635020618,2.9876118329,2.7474139048,91.262427184,52.693823916,19.4,8.7425572331,22.2,25.286968843,2.0,4.0,44135,74.544582934,48.170128586,0.5342831701,0.4353418423,3.7894528545,91.263480756,2283,20.917584716,,,32.771535581,,,12.009803922,0.0627286984,5.1,15.697033073,
46021,South_Dakota,Campbell,,2.9700414731,2.8010046822,,75.217391304,13.3,32.193785165,21.4,26.046242662,0.0,,49459,85.217391304,100.0,0.2175489485,0.435097897,1.8854242204,96.084118927,230,,,,,,,8.0291970803,0.0,5.2,14.502765548,
46023,South_Dakota,Charles Mix,73.241914455,3.8749928837,3.5201188657,81.31978022,54.817637452,35.2,3.8157926103,20.7,26.49740093,6.0,5.0,42196,67.90201005,100.0,0.5621552821,0.2651675859,3.182011031,62.961391599,1837,15.34707408,,,49.896049896,27.8,,12.302839117,0.1177717583,6.8,20.802215156,
46025,South_Dakota,Clark,80.812955391,3.1456673602,2.8520212304,94.283714286,61.813186813,18.1,14.707434457,24.8,27.236598666,,,48207,77.814569536,100.0,1.5539803708,0.4907306434,2.5899672846,94.383860414,728,,,,21.520803443,,,9.3959731544,0.3601440576,5.6,15.458687825,
46027,South_Dakota,Clay,78.561636363,3.4654031489,3.1480544781,88.61,83.42192691,17.2,10.669687909,19.4,27.916626117,9.0,7.0,44943,51.584307808,24.321984997,1.6368834882,2.5804145818,2.9163688349,87.455325232,3010,10.194823069,,,8.0110922816,,,21.836925961,0.7129854369,8.2,18.475027758,
46029,South_Dakota,Codington,81.244775759,2.8835154186,2.7833831502,88.509281609,68.024439919,12.8,9.7473801509,21.4,25.320632094,27.0,60.0,56913,65.140288069,22.46299629,0.6726218015,0.6868571835,2.2705434357,92.907220898,6874,13.850415512,,,28.748890861,,,11.562630917,0.3204272363,5.4,15.679804251,
46031,South_Dakota,Corson,66.497835397,5.8059568611,4.8229767988,48.976530612,44.646680942,55.3,57.644547985,26.4,32.93681639,,4.0,30446,53.430185634,100.0,0.4044729955,0.4996431121,4.6395431834,29.264810849,934,34.449497037,,,65.01283148,,,21.951219512,0.0,5.1,33.053110852,23.396226415
46033,South_Dakota,Custer,79.667152632,2.9403570718,2.7545131898,91.23,60.120643432,19.3,7.9148432986,19.7,24.699360188,6.0,4.0,56894,82.824916688,100.0,0.5983201013,0.5753077897,3.0491312852,90.461396847,1492,21.91392883,,,21.877205363,,,11.569148936,1.1720180686,3.8,13.589932542,
46035,South_Dakota,Davison,79.515281869,3.0545115486,2.8295924447,92.016713615,76.195426195,15.0,6.4936651761,20.6,25.799888036,16.0,28.0,52171,60.752069917,23.323420837,0.7917174178,0.6445391799,2.6745838408,91.128704832,4810,7.9369087905,,,27.149321267,,,11.538461538,0.988822012,6.8,15.057481963,
46037,South_Dakota,Day,78.348268834,3.3845752064,2.995172531,89.858695652,65.853658537,19.1,17.581994273,22.8,24.874701453,2.0,,48656,72.964550058,100.0,0.362253215,0.7063937692,2.245969933,85.99891324,1066,,,,21.759697256,,,13.214990138,0.0,5.5,15.786621065,
46039,South_Dakota,Deuel,81.267879685,2.8245380203,2.599509652,91.43,56.433408578,12.0,26.649068906,25.4,23.927826641,1.0,,55326,82.179836512,100.0,0.7708479327,0.1868722261,2.82644242,94.814295725,886,,,,14.606741573,,,8.1578947368,0.8424182359,5.7,14.084267131,
46041,South_Dakota,Dewey,67.6245714,4.9474995726,4.3137672622,88.001066667,45.791505792,41.9,19.760596665,24.4,32.167728459,1.0,2.0,37621,58.434466019,64.082248632,0.3427592117,0.2399314482,4.5758354756,20.102827763,1295,63.340849781,,,82.486551106,,,17.682926829,0.0793335978,5.1,28.226205704,20.720720721
46043,South_Dakota,Douglas,82.716548646,2.6863421505,2.6130576033,100.0,62.890625,14.7,29.808513893,22.5,24.353063574,2.0,,50666,76.947285602,100.0,0.4776526783,0.1023541453,1.97884681,94.234049812,512,,,,,,,8.4942084942,0.0363240102,6.5,13.060473469,
46045,South_Dakota,Edmunds,81.703458527,2.9336023119,2.690099441,100.0,71.632124352,15.2,18.148453476,26.0,25.192694349,1.0,,56083,83.913869538,100.0,0.3827507017,0.7144679765,1.7351365144,95.56009186,772,,,,,,,10.72555205,0.2156334232,5.7,14.058069444,
46047,South_Dakota,Fall River,75.548802841,3.2836546522,2.9280059914,81.108888889,59.847844463,20.4,13.463686975,20.7,24.110390821,3.0,35.0,45273,72.680577849,49.957710741,1.1813967399,0.6280843428,4.097502617,84.98579333,1183,,,,33.884297521,,,14.586709887,0.8967223253,3.7,14.346274395,
46049,South_Dakota,Faulk,78.82701562,2.9888352228,2.7648337766,83.33,64.220183486,20.0,21.780172813,25.7,25.736043634,1.0,,47700,77.118644068,100.0,0.386431945,0.4293688278,1.2022327179,96.951481322,436,,,,,,,11.578947368,0.0,5.5,13.947391285,
46051,South_Dakota,Grant,80.105204475,2.8867071933,2.5776479145,92.39,62.596899225,11.9,4.5532012185,22.4,23.694207652,7.0,,58575,83.702778645,55.369766177,0.6939526979,0.3965443988,3.9654439881,92.918850021,1548,19.848358541,,,17.262638718,,,6.6978193146,0.0,5.5,13.348528406,
46053,South_Dakota,Gregory,78.092840464,3.3693135377,3.0677455122,76.742325581,68.446601942,21.4,12.647450259,27.4,25.539036509,3.0,,38420,69.686052496,100.0,0.3312825367,0.4495977283,1.6800757217,87.979176526,824,40.625634776,,,33.333333333,,,10.406091371,0.0,6.0,16.641178842,
46055,South_Dakota,Haakon,80.556454341,3.4687827811,3.1086376786,100.0,61.953727506,15.6,17.035517198,23.5,26.12249994,2.0,,46694,78.49944009,100.0,0.2058672156,0.2573340196,2.1616057643,91.868244982,389,,,,,,,5.730994152,0.0,4.9,16.538136873,
46057,South_Dakota,Hamlin,79.642959411,2.87465483,2.622878694,94.873461538,56.767842494,11.5,33.211285153,20.9,24.454422449,1.0,,61935,81.440948472,100.0,0.3866845999,0.3866845999,3.7659717552,94.216543376,1219,,,,38.306451613,,,8.0275229358,0.8404930893,5.7,14.249141348,
46059,South_Dakota,Hand,80.680851782,2.5493565444,2.4677235931,92.59,75.46875,13.7,12.759440658,20.9,23.377608678,2.0,,51252,69.492656876,100.0,0.152578578,0.3661885871,1.1595971926,96.826365578,640,,,,,,,9.2715231788,0.0,5.7,12.55537833,
