FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
1001,Alabama,Autauga,76.879477172,4.7438888672,4.6540313965,90.0,62.009973681,19.3,11.991125,34.7,35.905406064,25.0,23.38087,59338,74.894624674,42.002162321,19.343177281,1.2247981151,2.9657739969,74.308016043,14438,19.328751131,10.809447457,,25.284927164,16.23007758,10.625,14.663461538,99.1797754972,11.7,18.08155718,
1003,Alabama,Baldwin,78.450258368,4.2245192015,4.3040564688,86.361576801,67.371619818,13.9,5.424426597,26.5,33.305868141,155.0,96.32055,57588,73.619343186,42.279099114,8.783975929,1.150342626,4.6467787654,83.111337388,48703,15.811238992,13.610486645,,27.88069221,14.09351382,26.19266055,13.566200931,99.4564830176,10.3,17.489032597,8.4767945233
1005,Alabama,Barbour,75.34193493,5.4302788594,5.1855944125,81.41025641,34.857648621,43.9,10.739666573,23.5,38.563167125,8.0,8.038260000000001,34382,61.397779229,67.789634702,48.032635344,0.4541618102,4.276355452,45.641252361,6779,22.854779642,,,40.870815362,17.761715009,15.0,14.583333333,98.36831748110001,11.5,21.999984528,13.339301701
1007,Alabama,Bibb,73.571820279,4.5914824378,4.5516988486,83.763837638,44.137353434,27.8,2.6016270077,33.5,38.1488654,11.0,22.32143,46064,75.073099415,68.352607462,21.120535714,0.2366071429,2.625,74.589285714,5970,25.964321223,28.060433312,,41.696794408,23.936170213,,10.496453901,99.7317899492,11.2,19.114199885,
1009,Alabama,Blount,74.145825897,4.8608076303,4.8914546677,93.468795356,53.361073248,18.0,2.8801498232,30.3,35.945010419,13.0,15.56017,50412,78.626213592,89.951502041,1.4626556017,0.3198478562,9.571230982,86.886237898,13939,28.666961574,24.199542513,,33.5345953,20.072746402,7.4603174603,10.548011639,98.2754800591,11.7,19.20867197,18.941594063
1011,Alabama,Bullock,73.530894789,5.3591593432,4.8913510426,70.247933884,34.976094152,68.3,19.743350741,24.6,45.020635869,3.0,19.72776,29267,75.53338875,51.374381528,69.540343263,0.1874136911,7.960149931,21.217202604,2719,47.695620179,,,47.916666667,21.044978859,17.777777778,18.143459916,99.5592455925,11.2,22.894664011,
1013,Alabama,Butler,72.918309203,5.4008061965,5.340750195,81.589958159,41.678756477,36.3,2.9261219306,39.5,41.911083901,5.0,50.81301,37365,69.946332737,71.23215735,44.557926829,1.3160569106,1.5091463415,51.255081301,4825,29.887920299,,,37.886100386,24.011285304,2.380952381,13.159609121,99.5058448459,10.6,21.765334963,
1015,Alabama,Calhoun,73.039108585,4.8803767403,4.8160722877,92.368045649,59.243988636,26.5,9.178566583,31.7,41.314343982,73.0,115.50880999999998,45400,69.473497213,33.696825557,20.850214829,0.9643235297,3.9106731888,72.024991906,28862,19.278680745,18.334419817,,33.534616991,26.427796478,37.264957265,13.734191258,99.0086238667,11.8,20.612560375,6.6911529863
1017,Alabama,Chambers,74.291076031,4.9411783568,4.8735807661,86.23853211,48.460334029,30.7,10.328558281,30.1,37.266574787,14.0,5.94972,39917,67.7641314,49.148034488,39.565670088,1.326788636,2.5613565373,55.231295553,7664,23.148537854,9.8842553696,,45.441001192,21.255240007,,15.9566787,99.8870623667,11.4,19.392927053,11.550733886
1019,Alabama,Cherokee,73.998833761,4.7756141014,4.7112704225,94.904458599,51.836210062,24.7,0.2211124003,31.3,35.35507081,10.0,19.20713,42132,78.955308316,85.736273039,4.2409342348,0.3380454825,1.6210817455,91.656422864,5446,36.316814685,12.884273456,,36.568760941,27.024940159,,13.0,99.5983609883,11.4,17.498673785,
