FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
8001,Colorado,Adams,79.164313075,3.4781681521,3.782973632,77.259086362,57.044557101,12.6,5.6262113169,19.9,31.037644759,219.0,334.85195,70199,65.210248672,3.6204464191,3.1885173521,4.3706580603,40.448904796,49.603608743,153466,10.075956308,20.552172781,,27.078951442,12.674643511,7.7339901478,18.129133858,93.4212498127,9.2,16.324605425,8.2941793189
8003,Colorado,Alamosa,76.176734491,4.5328008301,4.4455777466,80.0,60.333250435,24.3,2.6244486406,23.9,32.336114854,13.0,1414.61368,42897,55.712660491,36.866299773,1.3127135407,1.6423904574,45.807109033,48.342624228,4021,21.746316174,,,19.678642354,15.74593331,17.058823529,19.512195122,95.8131623708,4.6,17.284642561,
8005,Colorado,Arapahoe,81.115142245,3.0682489037,3.4977305996,83.483870968,71.496995835,10.3,2.4007253085,16.6,28.252614258,538.0,358.7141,76665,63.071489609,1.5753413881,10.514806938,6.4720560798,19.488341024,59.900033015,188738,7.4819771033,15.015520353,,17.848652483,11.599206853,14.637268848,16.545536889,95.8910428559,8.1,13.263552471,6.1965741984
8007,Colorado,Archuleta,82.146124572,3.4428811406,3.7503183801,84.337349398,67.487299726,20.7,10.672981092,12.5,24.601612961,12.0,152.56084,53337,74.567901235,59.376034426,0.6029785688,1.1986923356,18.241917908,76.803487105,2559,18.019235534,,,18.894662258,29.443669611,8.1818181818,18.680297398,99.0429069673,4.4,13.476071073,
8009,Colorado,Baca,80.226380627,3.8221214074,4.1489308422,90.697674419,65.687583445,29.3,8.3983311563,28.5,26.431645242,3.0,27.894,38294,71.741778319,100.0,0.7531380753,0.3905160391,11.018131102,84.490934449,749,,,,37.900874636,,,11.326860841,97.3637440758,5.6,15.17142555,
8011,Colorado,Bent,75.089520487,4.1116400011,3.9864073096,82.471264368,27.998042095,30.4,12.101555188,24.1,31.043706994,,85.0051,37659,64.162844037,37.959686106,7.5994559674,1.4110846651,31.995919755,56.562393744,2043,,,,23.542600897,,,19.186046512,97.8392857143,5.4,18.217267397,
8013,Colorado,Boulder,82.96930928,3.1985053476,3.2683151306,89.259337413,83.009313361,6.7,3.0818909238,9.5,23.443086016,399.0,698.60586,83591,62.030756033,8.9130825924,0.9555995805,4.9524960286,13.913848834,77.594011249,84717,6.5798694752,12.05169249,,7.9075218168,9.3544027744,13.300653595,19.624807957,98.0628186691,7.7,11.318441782,3.3662477558
8014,Colorado,Broomfield,82.903477007,3.0251309775,3.3839380814,,86.824186992,5.1,5.1980311719,13.0,25.859454177,72.0,144.36889,96924,66.322368175,0.5832990392,1.2892142001,6.7218155832,12.604847907,76.642557062,19680,6.0119035691,15.67574717,,9.2026798204,11.166777328,8.1012658228,12.266069976,98.4371493604,8.5,11.625377957,
8015,Colorado,Chaffee,82.021473515,3.2298299498,3.747920009,87.037037037,62.68558952,13.7,2.523152808,17.1,24.911217832,18.0,179.75733,56168,76.690123147,37.413667247,1.6178159485,0.8688270834,10.126329455,85.209966545,4580,11.328962871,,,15.129682997,15.666778075,20.714285714,13.96250808,99.4063360138,4.2,13.488872927,
8017,Colorado,Cheyenne,78.163133396,3.3765426514,3.6661806822,83.333333333,59.267734554,20.4,9.8792927929,30.9,26.273965876,1.0,,54504,74.123989218,100.0,0.9061833689,0.9061833689,11.673773987,84.434968017,437,,,,,,0.0,7.7419354839,98.3543609435,5.8,14.000025537,
