FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
16001,Idaho,Ada,80.781476806,3.2099499124,3.5165594044,84.494806421,73.77104829,10.2,4.3133599907,14.9,26.296860375,428.0,289.59542,66827,68.370461239,5.4722006295,1.24030249,2.8082882592,8.3146440381,84.466535877,126673,8.5055850616,15.464936539,,13.083547364,12.817697386,,14.021197007,98.7310267884,10.6,11.990700664,4.9635036496
16003,Idaho,Adams,80.342458354,3.9028923752,4.1039270887,92.592592593,52.37388724,24.1,5.0343636915,21.2,28.040720909,1.0,70.58824,45311,80.597014925,100.0,0.2352941176,0.8235294118,4.2117647059,91.129411765,674,36.043829296,,,17.571884984,,,12.084592145,99.8706338939,6.6,14.35193203,
16005,Idaho,Bannock,76.856042438,4.0266672439,4.2449844672,89.581395349,66.329621571,15.5,8.4698647771,20.8,31.76398284,64.0,397.07131000000004,51300,68.233844558,15.729306245,0.9616929468,1.7007505336,8.775735041,83.531868989,23439,12.691987464,22.587077076,,22.912082656,18.40165143,,15.595727198,99.3742463667,6.7,14.424020575,5.8546686747
16007,Idaho,Bear Lake,78.165464377,3.5711079551,3.7530408438,78.217821782,53.317901235,14.4,7.2526792141,19.8,27.165856212,5.0,66.1157,53780,76.723404255,100.0,0.3305785124,0.5454545455,4.1652892562,93.388429752,1296,,,,22.580645161,,,10.855949896,99.6741491673,5.4,13.165872417,
16009,Idaho,Benewah,75.042515905,3.9512159022,4.0052411381,82.716049383,43.919308357,22.8,10.132907355,31.0,31.189407061,7.0,238.45654000000002,48451,73.132098027,71.911685514,0.4118794711,0.3685237373,3.7069152395,84.673748103,1735,25.065405041,,,40.945790081,32.842879664,,15.04178273,99.6730881494,9.5,15.325125364,
16011,Idaho,Bingham,76.816031621,3.8600775589,4.0066715925,89.568845619,64.805255748,15.9,7.922962733,25.9,30.879919357,15.0,134.09464,50941,75.643108584,56.030872454,0.3395622459,1.0987109612,18.111428324,73.585517778,10655,20.415406408,10.191898896,,28.529814942,14.497656212,,12.474507138,97.4426135822,7.4,14.23834346,9.0003688676
16013,Idaho,Blaine,86.188668786,3.507514186,3.6316975491,85.542168675,54.658258747,8.1,8.2542008625,14.6,26.097083763,23.0,159.28499,76113,69.706959707,32.765718563,0.4336091323,1.1946374054,22.525551967,74.474580771,4916,7.8965551278,,,12.949956102,13.699881268,,19.058553387,93.3090141115,6.2,12.902674826,
16015,Idaho,Boise,82.444328254,3.5697328825,3.7937867571,88.888888889,61.481481481,19.4,25.610981777,25.3,30.690964356,2.0,52.39717,56837,83.8585209,100.0,0.4060780718,0.759758973,4.9122347393,90.385119204,1215,,,,10.281014393,,,13.522537563,99.9568158918,5.9,12.946633147,
16017,Idaho,Bonner,79.76023412,3.7719804641,3.8253406022,83.561643836,57.524049473,17.7,7.448211104,21.0,28.412180434,26.0,210.16388,51373,74.368744313,72.446608117,0.2682943189,0.7400451629,3.1770518926,92.885728978,8732,16.246843712,12.23026532,,22.63744161,18.668297031,,19.170075979,99.8105501427,10.0,13.653922623,
16019,Idaho,Bonneville,77.922620354,3.7513917691,3.8195930915,78.726035869,66.683607779,13.2,7.1832455799,20.2,29.032713968,45.0,288.39406,60444,69.976923077,12.951628068,0.5810669725,1.174970476,13.257569274,82.695500368,29514,11.331532306,19.494822233,,27.117509207,14.22492812,,13.166397415,98.3361048711,7.8,13.560304856,6.1428571429
16021,Idaho,Boundary,79.386956118,3.951820823,4.1588765134,77.952755906,46.783625731,22.3,7.42630488,27.7,29.258605061,5.0,133.91363,47118,75.048859935,76.184834123,0.5440241045,0.7867425511,5.1891529963,90.031804486,2394,13.834911771,,,23.773584906,,,16.837315131,99.2537313433,7.1,14.870522912,
16023,Idaho,Butte,76.927829559,3.7068825221,3.8767608423,74.074074074,69.072164948,18.2,10.643770817,29.0,28.808067697,1.0,38.2995,50050,84.19047619,100.0,0.4595940253,0.344695519,4.5193412486,91.344312524,582,,,,,,,14.150943396,100.0,5.8,13.165038651,
