FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
25001,Massachusetts,Barnstable,79.611160659,3.1516878211,3.8636761724,91.741586074,66.467985907,9.9,9.7177261426,18.2,29.651999454,208,519.64969,69001,79.53060705,7.483046765,3.1071209345,1.6137723569,3.2022416629,89.764915914,37749,8.3289301056,38.681521619,,8.5563339842,3.8304153665,27.798742138,17.323794383,99.1530859159,6.7,11.853906316,6.6756726331
25003,Massachusetts,Berkshire,78.869062697,3.5677952633,3.9402568995,87.57268623,64.02655201,15.9,5.9717446074,19.9,30.713811365,138,867.44547,58375,68.870882955,31.593747857,3.1239117358,1.7135213854,5.0669579257,87.81698167,26514,10.606135035,31.615221675,,12.754662346,5.0306001978,24.716981132,15.887339349,98.5243212206,7.7,13.782954088,3.7449971412
25005,Massachusetts,Bristol,78.645806892,3.7181300226,4.2462951582,88.224442999,63.169817272,14.3,4.5020999062,26.8,35.989893607,299,489.69721,66005,62.49572981,9.8343015038,4.5953881232,2.4970657173,8.4314087039,82.399977306,139497,8.33620398,45.729109072,,14.578074576,4.2221343605,18.636363636,17.016930049,95.82988625589999,6.9,15.01321279,4.5734662789
25007,Massachusetts,Dukes,81.978420755,3.1180734269,3.7976072096,91.718041237,64.454473055,11.7,1.3729309494,18.2,29.033290736,11,691.56293,70224,77.430501021,39.026307832,4.0744582757,1.1065006916,3.7690179806,87.269479023,3767,,19.259287792,,5.3248136315,,,23.960880196,99.1597647341,6.0,12.018529245,
25009,Massachusetts,Essex,80.283813135,3.4702280023,3.5634146172,89.194978792,67.455345064,13.3,4.413227733,21.1,34.227013073,599,576.62293,76373,64.084480573,4.2440446795,3.3833435782,3.8992560439,21.871577131,69.5155052,188501,4.9278694642,38.388677718,,13.199735666,3.3846197239,19.656925032,18.660029831,93.6565017261,7.8,11.74006476,5.5247576136
25011,Massachusetts,Franklin,79.768817256,3.5648431864,3.9480965427,82.446783626,69.444444444,14.5,5.6828649041,21.7,32.788303676,54,811.6906,58992,69.335267739,54.431709914,1.3161788538,1.795301777,4.1655510618,90.418950721,16848,8.4631179335,24.051271652,,14.400509189,4.5260388674,39.666666667,15.383349786,98.8152672657,7.7,13.611180122,
25013,Massachusetts,Hampden,78.402249958,4.2639478559,4.7009141709,85.254646981,60.540370993,25.8,4.9328121643,25.7,34.249740953,322,925.58343,52682,60.844601576,8.5708429524,7.7331071457,2.7046848892,26.146137592,61.702656854,114773,8.0163765734,35.209992823,,22.336519782,6.6026507726,20.995850622,19.014422398,95.0080191556,8.2,15.440525252,8.5407156531
25015,Massachusetts,Hampshire,80.829069118,3.5922778722,3.9794659736,93.667143831,76.775583265,9.4,9.9802933774,16.9,29.566199972,225,914.13343,74456,65.775164067,27.443699393,2.9060146881,5.7748442874,5.7779430448,83.42598618,32961,4.6155471154,23.50491232,,2.1718721538,3.3447467655,,17.44225834,98.9370390138,8.0,13.386156913,1.2969483568
25017,Massachusetts,Middlesex,82.18800762,3.0331345807,3.4518247623,93.513354492,81.183701052,8.0,2.9933657061,18.8,30.86640618,2009,579.85501,100374,62.398838729,3.0277063506,5.2439627079,12.850820641,8.2597289675,71.57279865,454287,3.6370525543,24.212495853,,5.478074921,1.7707141215,8.462594372,16.224148638,95.9349059769,8.5,9.9544431395,3.2713955372
25019,Massachusetts,Nantucket,82.770274788,3.3349494769,3.8830326449,85.6,78.456396232,5.6,1.1506619503,19.5,32.269417839,7,397.28083,97525,69.210102096,18.895005899,9.481769224,1.6862364262,15.308554781,71.74009005,3291,,,,13.472137171,,,20.469361147,98.6448822681,6.0,13.948758427,
