FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
38001,North_Dakota,Adams,78.282361746,2.8049891743,3.151357533,,72.707889126,12.8,6.8820448472,27.3,27.089839932,10.0,87.18396,53162,72.466539197,100.0,0.8282476024,3.1822144725,1.4385353095,92.153443766,469,,,,,,,7.2815533981,100.0,4.8,14.965797739,
38003,North_Dakota,Barnes,79.486362884,2.6788313351,3.1533901958,88.131868132,68.51601263,12.7,6.3878131815,22.9,27.652757528,10.0,85.37279,54984,68.829891839,39.553587566,1.5461961677,0.9201290078,2.1248339973,92.895086321,2217,15.655577299,,,12.913026965,,,8.1854043393,100.0,5.7,15.68860574,
38005,North_Dakota,Benson,72.536267328,4.4844961864,4.6714227303,,55.279503106,40.4,17.288386388,32.0,31.862717571,,57.45475,42407,65.295404814,100.0,0.3734559035,0.2441827061,3.4903763286,41.10887676,1449,58.503969912,,,91.329479769,,,17.073170732,99.6100097498,5.6,30.242595383,16.927083333
38007,North_Dakota,Billings,,2.6315212567,2.8339545325,,68.37944664,11.5,26.315789405,29.0,28.435988685,0.0,0.0,76235,73.246753247,100.0,0.3264417845,4.4613710555,1.9586507073,92.383025027,253,,,,,,,9.8765432099,100.0,4.9,14.925474665,
38009,North_Dakota,Bottineau,75.575911143,2.8735673707,3.0990232657,,73.936170213,15.2,12.084145114,28.8,28.443766233,2.0,15.59819,59161,78.303425775,100.0,0.7019185774,0.6863203868,2.2305412572,91.467789736,1316,21.644553148,,,14.581734459,33.448884024,,7.7175697865,100.0,5.7,15.728721,
38011,North_Dakota,Bowman,82.228203773,2.628692052,2.9522508899,,75.142857143,9.9,4.028110656,32.1,26.169283566,,,62270,74.60658083,100.0,0.1950585176,0.2275682705,5.3966189857,92.327698309,700,,,,31.86646434,,,6.0498220641,99.2627345845,5.1,13.804040115,
38013,North_Dakota,Burke,81.623109944,2.7783503947,3.1461506634,,77.946768061,10.3,31.431708403,27.2,27.717617025,,,63261,79.13340935,100.0,0.5238095238,0.5714285714,2.5238095238,93.380952381,526,,,,37.234042553,,,7.0,100.0,5.2,16.357965266,
38015,North_Dakota,Burleigh,81.464319034,2.8105475411,2.895344082,87.855233853,77.187119097,7.2,4.4634539644,20.7,24.432475671,100.0,256.10614,72277,68.461830611,18.547990358,2.3227986943,0.8281464843,2.5915002152,88.636864589,25433,9.960856945,7.373854419,,20.136931132,13.453374448,,10.156558348,99.6277801956,5.6,15.558588939,4.1454081633
38017,North_Dakota,Cass,81.058517941,3.0228097418,3.110275519,85.920644761,80.388530903,9.1,2.6793614587,19.2,26.62814232,180.0,278.21238999999997,63885,52.83606226,10.434776803,6.2231428634,3.6371449349,2.7589854338,84.28127548,52454,5.8722122721,11.598497433,,13.95034095,9.1630787486,,12.803500847,98.8751197503,6.8,16.244143425,2.6619157409
38019,North_Dakota,Cavalier,80.438453334,2.7608030541,3.1051047997,,75.306748466,13.5,8.1279967389,32.7,25.070106052,1.0,26.11648,60314,80.713874496,100.0,0.365630713,0.470096631,1.8020370854,94.306607469,652,,,,19.886363636,,,4.748603352,99.4106090373,5.9,14.362808079,
