FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
31001,Nebraska,Adams,78.58840525,3.361812555,3.3831759634,87.01977579,70.761245675,14.4,9.2913527348,25.5,30.110432127,28.0,390.33988,55167,68.245476003,22.484376993,0.9964774206,1.3328678874,10.866046777,85.233727905,6936,14.480555329,,,26.258763544,6.9656845052,43.529411765,10.455974843,98.0388836201,8.0,14.59706455,
31003,Nebraska,Antelope,80.015174777,3.1085988245,3.4526310015,94.793926247,75.389663659,16.7,7.4757021407,24.9,25.393534413,3.0,47.348479999999995,55371,77.158878505,100.0,0.2998737374,0.4892676768,3.2196969697,95.075757576,1219,,,,10.385756677,,43.333333333,9.8360655738,99.0762512597,7.5,14.201672857,
31005,Nebraska,Arthur,,3.1458419724,3.4383669974,,90.476190476,17.5,44.117647674,23.9,28.029346308,0.0,0.0,46862,67.875647668,100.0,0.0,0.2150537634,4.3010752688,94.193548387,63,,,,,,0.0,13.513513514,100.0,5.3,14.652893382,
31007,Nebraska,Banner,,3.1476162408,3.4713024382,,72.368421053,25.0,44.574629182,22.6,26.703176021,0.0,0.0,53865,73.11827957,100.0,1.9178082192,0.0,5.7534246575,91.506849315,152,,,,,,,12.380952381,99.537037037,4.6,14.566528007,
31009,Nebraska,Blaine,,2.8444209075,3.3289389659,100.0,80.21978022,24.2,34.680134692,32.5,27.681830317,0.0,0.0,44467,66.513761468,100.0,0.4201680672,0.0,1.6806722689,96.638655462,91,,,,,,,7.6,98.6725663717,5.8,13.149453877,
31011,Nebraska,Boone,81.304019283,2.758134311,3.3275090516,95.863693338,79.190751445,13.1,5.5473632234,30.8,27.187773122,8.0,19.087609999999998,51911,77.938596491,100.0,0.3817522428,0.3244894064,2.4432143539,96.106127123,1038,,,,14.567266495,,21.666666667,9.1722595078,99.7387459807,7.7,13.879066846,
31013,Nebraska,Box Butte,78.543469806,3.1733131679,3.2803456946,84.116291581,66.844700082,18.9,12.949309151,23.4,30.734691003,5.0,185.66654,57952,66.277858779,24.955783516,0.8819160787,0.7612328258,12.746008169,81.034162644,2434,16.63446405,,,34.317984361,,11.666666667,10.275423729,99.4775541796,4.7,15.51019114,
31015,Nebraska,Boyd,79.733372695,2.9823296274,3.2688609106,100.0,70.14084507,25.1,41.22308258,30.5,26.989651671,3.0,,42431,81.284606866,100.0,0.1023017903,0.8695652174,2.2506393862,95.089514066,355,,,,,,,10.43956044,99.6905621454,6.3,13.31625689,
31017,Nebraska,Brown,77.213502466,3.5139701242,3.6478563595,92.0,63.837011885,17.1,4.3394255866,27.6,28.908644379,3.0,33.63606,46191,74.19804742,100.0,0.47090481,0.1681802893,1.9172552977,95.425496132,589,,,,19.54887218,,40.0,13.333333333,99.3686425816,5.6,15.625614318,
31019,Nebraska,Buffalo,81.089142687,3.1967283328,3.1619167456,88.314013352,72.835558398,11.6,7.8794296563,19.7,26.750461784,45.0,344.65382999999997,59193,63.532481085,32.261073272,1.0924115691,1.7736571601,9.1847223622,86.485941751,12509,11.724257195,,,17.626960708,8.1361337906,18.979591837,11.156131821,98.3125136971,7.8,14.796608322,
