FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
34001,New_Jersey,Atlantic,77.247047169,4.410855307,4.4232872226,90.064289889,59.283794163,19.1,8.453772752,30.2,38.071082272,227,158.23441,60826,67.420950398,12.71357754,14.563970026,8.3024085537,19.221336026,55.948671773,62496,11.431268189,47.498691616,,17.841008033,8.9248439627,37.41697417,25.077904734,94.1493499058,9.4,15.6441948,6.9566459539
34003,New_Jersey,Bergen,83.227791467,3.1375044669,3.4234342335,94.964579743,76.987262226,8.2,0.9453630798,24.5,38.425412262,1116,242.12868000000003,100181,64.414381122,0.101533947,5.5067193912,16.925307358,20.578802851,55.659064025,230103,4.2504116248,14.835802367,,4.0358522333,2.2570830353,12.360248447,21.360548254,93.2739204444,9.9,11.410986988,2.9695954651
34005,New_Jersey,Burlington,79.393127475,3.3946931468,4.1521063452,93.314110651,73.21679342,7.9,5.6468673029,23.8,37.390008786,377,684.1287500000001,84470,75.745033113,6.6631902196,16.748019686,5.3394374293,8.3301151366,67.028900903,109662,8.7747576927,34.617171308,,9.8523734781,5.4386299645,20.263157895,15.586940015,98.1741224515,11.4,12.445638161,6.206864172
34007,New_Jersey,Camden,77.336141472,3.9406890179,4.1831127777,87.577639752,66.20743417,18.4,4.6253999374,28.7,40.845086933,526,298.37619,67135,66.702999605,1.6174217425,18.616859734,6.0006547316,17.242514958,56.267083171,133411,8.1648608436,50.459865427,,21.711915053,8.8630648635,33.735849057,20.28052983,95.4673286833,11.6,16.134609166,6.4753138751
34009,New_Jersey,Cape May,77.208290049,3.886422607,4.1976037503,87.675350701,63.369085861,15.5,8.7852763999,27.2,33.613161821,55,101.55575,62175,77.586206897,17.454377217,4.1054451167,1.0101555748,7.8867761452,85.206352636,18367,11.918861221,47.764513818,,20.038745611,6.7996277204,46.315789474,20.399251404,98.7394205365,9.0,15.756107441,8.242159008
34011,New_Jersey,Cumberland,75.360669825,4.2656993976,4.620191471,81.213097155,39.862897925,21.8,9.8591191757,31.2,40.316074793,66,94.05718,51790,64.420644957,23.027062168,18.615372387,1.4857059587,31.41377209,45.877381236,42596,16.579669457,52.262484502,,35.905295093,9.7333073778,38.322981366,23.472003155,92.2867798264,9.9,18.261146678,15.623363017
34013,New_Jersey,Essex,79.499817191,3.8737414558,3.7811610889,86.963083353,61.874745739,21.0,0.7060985568,28.4,44.13243905,675,211.18651000000003,62875,44.20251892,0.0145413913,38.628000405,5.7961881398,23.546482913,30.519888918,218771,5.6497864201,31.892342761,,20.651453354,12.755985746,20.591016548,28.669314441,91.8923295754,9.9,14.235389268,9.3583755838
34015,New_Jersey,Gloucester,77.808662323,3.5047512709,3.9856737244,93.303571429,70.180166414,8.9,8.7485023325,27.7,37.363744716,158,115.64542,81315,80.167707268,8.3458208458,10.365535606,3.0994344699,6.3961867897,78.131348487,71989,9.4199609955,46.007507329,,9.3731072078,5.2798527675,19.713375796,15.82187858,98.804767854,10.9,15.611318452,6.1775553214
34017,New_Jersey,Hudson,82.19676215,3.9999313533,3.9177409798,85.275862069,71.332921091,22.3,0.1205798481,28.8,41.020368746,354,63.75164,73337,31.469410286,0.0,10.698147061,16.422630502,42.90411664,28.77151618,244193,4.2107752463,18.917850091,,20.422158888,3.687709425,22.968460111,28.518643596,86.321581119,9.9,15.382038155,7.5264721566
34019,New_Jersey,Hunterdon,83.396535951,2.7855202732,3.5438788659,96.426577331,80.42104382,4.0,2.1038296142,18.8,33.507568705,151,241.35221,112335,83.276812209,49.56953307,2.5121477942,4.2064242988,6.8196032522,85.082669147,23893,6.1412207837,17.62589832,,2.1090689967,5.4312751995,10.888888889,14.381591563,98.85815656,10.2,12.529551418,6.4697609001
34021,New_Jersey,Mercer,80.478793854,3.3160026172,3.7777979645,89.655172414,65.288416278,13.7,3.6523841735,24.3,36.568540433,378,321.78598999999997,79979,63.857768743,3.4825504143,19.551879203,11.623234571,18.13980655,48.7924913,93476,7.1615062111,25.906108732,,14.116772955,7.1563011501,23.629032258,18.504572351,93.2998286431,8.8,13.55615998,6.507339778
34023,New_Jersey,Middlesex,81.502399379,3.165989174,3.6234584343,90.432946146,74.055816207,11.2,3.7333727601,25.9,39.671851805,778,182.96099999999998,87666,63.332324562,0.6743157442,9.6519763525,25.057099984,21.591929467,42.26013487,226995,5.2237539334,23.430439488,,9.8902385794,2.6034494989,14.707287933,20.569754307,93.0641691576,9.7,10.970467888,3.8210167072
34025,New_Jersey,Monmouth,80.535548588,3.5511166606,4.0226271564,93.948768717,75.741495515,9.1,4.5826536675,24.2,37.050189272,729,262.16938999999996,99223,73.681555025,3.7294964942,6.8138291538,5.6679445212,11.0527976,75.000080469,138133,6.0128442553,30.637009614,,6.590830748,3.0336463311,19.376854599,19.56671104,97.3150202822,9.9,13.360452416,3.3416473841
34027,New_Jersey,Morris,82.614664162,2.840952895,3.491036641,94.753328113,81.873875455,5.0,3.5283128772,21.3,33.312750981,513,270.92759,112396,74.407394304,6.7693732784,3.2282671156,10.747671115,13.711283052,70.761875086,113935,4.2992557129,18.561404073,,3.5311763445,2.5686512173,10.446096654,15.748184828,96.4209069619,10.0,12.111935176,3.5549365975
34029,New_Jersey,Ocean,79.062568871,3.7600976944,4.232122294,90.88,67.10004425,16.1,9.0126330166,29.2,35.652158903,263,157.0678,68483,79.983575265,2.8983622025,3.0251757248,1.9411585786,9.4509940148,84.427516949,124295,8.6419815846,38.893114245,,9.9367110617,3.7747129954,13.289689034,20.028300615,98.3247993609,7.8,14.443273724,5.237049379
34031,New_Jersey,Passaic,80.667856611,3.9759707795,4.1857221259,89.594797399,54.575722332,21.9,1.7341870731,27.5,37.40155376,291,122.19109,71959,52.952893016,2.4100904582,10.15914645,5.7541078063,42.284675449,40.806461227,131553,5.9399959068,23.164827261,,22.743214583,4.8356013483,22.55985267,30.547559352,87.48788948,9.7,13.782069143,7.3263419447
34033,New_Jersey,Salem,76.171195281,4.4005117097,4.7289181772,87.309048179,57.613697888,16.2,3.2743001625,29.6,38.188768465,21,107.01679,64524,70.491049021,45.300606813,13.394668328,1.0541952178,9.4845624291,73.897487501,14776,14.710143312,43.953716207,,21.827487581,11.015642212,42.8125,17.522160379,97.4444147693,10.9,17.793654646,5.4493307839
34035,New_Jersey,Somerset,82.510982071,2.7586720414,3.5474035743,94.288964733,79.597424327,5.2,2.6928232134,20.1,37.088316441,389,269.05098,119731,75.633268383,5.7926565341,9.3998743825,18.552439275,14.984418596,55.452585426,78892,5.6777587993,16.994103046,,6.3750130904,2.7001582293,7.5806451613,16.238031858,96.687560532,9.9,10.843821151,4.3985222812
34037,New_Jersey,Sussex,79.394027599,3.3252120639,3.7120238131,94.814814815,71.016514714,5.9,5.5283439574,25.6,40.299281862,70,159.09204,92284,82.470343509,39.84993133,2.1200434662,2.0049858309,8.6421068331,85.784700175,30821,8.2421483607,28.235094811,,5.1126909696,5.6054989945,10.0,15.917986952,99.0791313949,9.1,13.757305722,3.1559487654
34039,New_Jersey,Union,81.548893486,3.4998730369,3.9480522034,88.392986524,63.605252415,10.7,1.0421373679,24.4,39.178502474,374,186.89512000000002,80737,58.88711922,0.0,20.934403934,5.6842637174,32.333035281,39.788950072,146980,5.6722287166,20.684446548,,14.304975501,4.0914268815,16.722689076,25.563165498,88.460840524,10.4,13.07573586,6.4293381038
34041,New_Jersey,Warren,79.44555847,3.4757164229,4.1437782137,93.385490754,70.21484375,8.9,5.6615149083,28.4,36.960974404,63,202.30858999999998,77571,71.881499395,37.564862179,4.7882850093,2.9580540561,9.7155390011,81.08981934,23552,8.6897001652,34.148511564,,8.6605321231,5.2534804308,16.0,15.522856109,97.4187060007,10.0,14.330127644,3.6602451839
