FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
47001,Tennessee,Anderson,75.534837529,4.3375166808,4.7239859036,92.083818393,57.516853933,21.9,9.3591868034,25.8,35.819313299,41.0,91.5248,50672,68.00183709,34.661715183,3.904186606,1.5441541801,3.0726183939,89.061478518,17800,15.633534874,46.791297693,,34.280185224,13.159556997,,13.144161774,99.1366806137,10.3,20.925017736,5.8877364246
47003,Tennessee,Bedford,74.291837298,4.6188578758,4.7618872114,90.893169877,41.28846943,22.8,6.622556059,31.8,36.252517716,17.0,67.29475,49860,68.190972634,55.60166896,7.587992985,1.0644806069,12.56780456,76.585505118,12185,20.610869809,14.518905689,,41.591832876,13.000683584,,14.629141014,96.6792078762,10.5,22.692534088,13.658755038
47005,Tennessee,Benton,71.714541351,5.0107036757,5.0713736896,95.78313253,47.252747253,30.0,6.5641570657,29.4,37.09225282,3.0,43.2526,38940,75.935750074,78.458366184,2.4097874444,0.5808205635,2.5271873455,92.498764212,3276,38.016426633,26.979910344,,46.168958743,24.857689726,,16.064848931,99.8373560601,10.0,23.658739857,
47007,Tennessee,Bledsoe,77.996672967,4.6691015565,4.7564065306,85.483870968,38.04697157,35.0,1.6379937327,26.1,36.760964434,1.0,27.10945,40195,74.180919019,100.0,7.1026770586,0.2710945442,2.4534056252,88.363266689,4045,11.20014662,24.916755385,,41.666666667,26.178010471,,16.612729234,98.2498749911,9.4,24.661396943,
47009,Tennessee,Blount,77.020697659,4.2790180846,4.5453710536,94.436090226,58.842646327,13.5,11.627352966,24.5,33.487182769,90.0,124.09687000000001,57939,75.131083156,32.631493375,2.91665715,0.9364365165,3.4579631364,90.842716732,30155,12.320567732,34.363556166,,28.490874017,13.208192187,,12.920210612,99.376977686,10.1,21.322302217,4.5997881677
47011,Tennessee,Bradley,76.797681353,4.550653633,4.7005410949,90.89376054,56.975363041,20.9,12.030908843,32.5,37.421324331,57.0,93.697,50427,65.768072289,32.971918798,4.8525677664,1.1515361624,6.3386022281,85.602518575,26099,12.657792453,23.675961323,,31.474637534,12.790091688,,14.994895355,98.2591935075,10.7,21.778213881,3.9972432805
47013,Tennessee,Campbell,71.685415609,4.7196916004,4.9978271017,93.695652174,41.875939043,27.8,10.101992766,29.7,34.06166918,19.0,50.526740000000004,39443,70.244867673,55.02259554,0.4774777051,0.3360028295,1.3162216103,96.336811257,9318,23.274716854,26.062465846,,46.824472901,15.104599351,,12.672955975,99.9253333333,9.7,23.899862017,11.430281269
47015,Tennessee,Cannon,74.389786086,4.4198003862,4.7818976756,92.700729927,39.640162507,22.0,1.0600307182,28.3,34.440328648,3.0,13.82935,51859,73.335751859,81.131802043,1.5834601023,0.3941363574,2.4892822569,93.749135666,3446,28.604118993,28.099754127,,36.759189797,21.336519587,,11.410018553,99.7885196375,9.7,22.207587674,
47017,Tennessee,Carroll,73.969196288,4.472462663,4.7521161671,96.496815287,51.122154537,27.5,3.3794908112,32.1,36.230906925,14.0,49.96431,42025,72.834930392,83.058691536,9.9321912919,0.4246966453,2.7516059957,84.511063526,6238,24.346326494,,,30.721489527,17.112055443,,14.034315882,99.8934713133,10.2,22.89530901,13.441955193
47019,Tennessee,Carter,75.79178445,4.9501308318,5.1818041812,93.563579278,50.163471541,29.4,20.461279165,28.5,35.77160826,21.0,30.168049999999997,39202,69.85674324,40.965449986,1.4942059591,0.4117052049,1.9467267662,94.665578251,13458,11.323432459,33.659893351,,30.026109661,14.502339829,,14.871687,99.8496659243,9.4,24.766911857,8.5974643423
