FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
50001,Vermont,Addison,81.606988547,2.8698912078,3.5133683681,93.698224852,68.574047401,9.6,0.7716499158,20.3,28.620235187,42,283.99102,68878,74.078599063,78.430786779,1.2739025776,1.9500716739,2.2908608985,92.437724826,7637,10.453447315,10.839325071,,8.3639705882,,12.903225806,15.142065142,99.6101144229,6.9,13.030216513,
50003,Vermont,Bennington,77.572738804,3.5126183511,4.3586435854,81.896678967,62.433784579,16.5,4.2748974079,19.7,30.378918018,38,465.88645,52510,73.343605547,64.511784512,1.1394572142,1.2432993741,2.1610395442,93.721759142,6796,11.438308077,26.066880167,,17.829731964,13.320161174,18.4375,17.045454545,99.9066347669,7.7,14.71692596,11.111111111
50005,Vermont,Caledonia,78.751246986,3.5377622929,4.3188519951,80.730337079,56.488209996,15.1,1.9920403389,24.5,29.150243595,26,356.41212,50368,72.187653512,74.390751593,0.7722262557,0.9702329879,1.6599564385,94.713220249,6743,11.171208073,23.128008018,,14.310002834,22.286313582,5.8620689655,15.702479339,99.6206111609,5.9,15.458265239,
50007,Vermont,Chittenden,81.633050558,3.0758512944,3.8242228986,90.048329356,80.619288353,8.0,3.0313340045,14.4,26.837284267,293,621.00479,74240,62.974006116,25.986138171,2.4536373138,4.7316675984,2.4287242058,88.129815521,41144,4.8741278634,17.196376478,,5.6976502391,7.1570655044,10.882352941,16.61459147,98.595536553,6.5,11.454113693,
50009,Vermont,Essex,77.308927568,3.8993137285,4.4967551405,,49.524632671,24.1,13.315832092,27.3,32.701991755,1,48.0,43671,80.152394775,100.0,0.592,0.768,1.312,95.248,1157,23.051566354,,,17.690875233,,,14.126394052,99.545913219,5.8,15.912821728,
50011,Vermont,Franklin,78.54433401,3.5412277926,4.3949807136,92.102058319,62.412035914,13.1,1.0011252474,26.1,34.79236505,27,242.81176,61129,74.502206436,71.714908055,0.6798729285,0.9752939034,1.6632605573,93.583699237,12363,13.184495034,23.751196042,,21.412257328,9.3953480772,12.4,15.376285869,99.7115780799,6.4,17.289865487,13.173417224
50013,Vermont,Grand Isle,80.404360039,3.2865395456,3.9743634955,,67.786154901,12.4,0.234952355,21.3,30.792014695,4,28.208740000000002,67746,82.406471183,100.0,0.7475317348,0.5500705219,2.0874471086,92.3977433,1459,,,,15.139442231,,,17.900172117,99.7902307462,6.5,13.19119158,
50015,Vermont,Lamoille,80.523771963,3.2414875992,3.93499475,88.157370518,67.269045023,13.0,0.7310784966,18.6,26.900294545,24,462.45059,60230,72.518148393,100.0,0.9841897233,0.6798418972,1.8260869565,94.466403162,6419,8.5076455375,13.163090694,,14.685314685,12.669554269,9.1666666667,18.423597679,99.9206282897,5.4,14.805665843,
50017,Vermont,Orange,79.416310558,3.3858464004,4.0510839197,88.840909091,60.422289252,12.9,3.3401686351,20.5,32.611939924,22,331.0459,62300,80.913234576,97.238733757,0.6724369806,0.5517431636,1.4483258043,95.489499638,6299,10.864787717,19.564516872,,11.334799526,12.443829934,9.2307692308,16.091019911,99.8004571346,6.6,14.2188035,
50019,Vermont,Orleans,77.931770813,3.6317446001,4.1057424999,89.120521173,52.580591281,16.7,6.0720590092,25.8,33.13588387,21,256.43884,48688,77.035705112,85.296169806,0.7767495447,0.4534136098,1.6203961794,94.845207567,5987,15.867055233,19.848407786,,24.471021159,14.837565749,11.6,19.806338028,99.6245012908,6.0,16.748439664,9.9659284497
50021,Vermont,Rutland,77.594052829,3.5359952065,4.1767049274,89.78817734,63.011363636,13.5,4.5407877777,21.3,31.008899571,43,303.38151,51723,72.503479817,61.013594627,0.6442596128,1.0089991819,1.5680392692,95.15271339,12320,11.233752886,27.108076513,,14.180206795,14.483429946,11.8,18.803081177,99.7882514867,8.6,14.580013635,7.9351032448
