FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
4001,Arizona,Apache,73.099518695,,,,51.136430722,44.7,47.39151395,25.9,39.614527279,28,100.15719,35386,78.890113576,74.061075533,0.4952216673,0.4799198742,6.5881174621,17.993517604,44949,65.123426763,12.540000279,37.858820147,34.02241594,16.115721998,,30.82437276,5.3899667156,6.0,25.031102564,15.269004574
4003,Arizona,Cochise,78.728997605,,,,63.674335568,26.2,14.470191804,24.4,34.516592844,69,122.29793,48650,68.929290513,36.30106741,3.84920824,2.2585410016,35.726878544,54.770413431,87639,13.986550353,20.930035396,79.883579531,31.447267129,19.852456543,,14.473148902,4.1315964982,3.9,17.345218142,5.9745347698
4005,Arizona,Coconino,79.120676202,,,,70.503245821,15.4,13.831680319,16.5,32.562213887,117,211.88213,58301,61.040740194,31.46606557,1.2928991608,2.0533050824,14.317377122,54.09127659,83080,22.418508721,20.13551671,78.190401922,16.214414556,14.990574323,,25.351964698,2.0507519923,6.3,17.122762809,2.5250847232
4007,Arizona,Gila,74.321028719,,,,51.432358039,32.2,15.826684138,26.5,39.71523444,21,70.34692,45980,75.557074504,41.061999739,0.5942463623,0.9052538043,18.912214447,61.633159317,39330,28.854245982,33.455590801,66.179084074,47.789097784,26.480384003,,16.214964095,1.2823299283,6.3,22.857611286,13.769363167
4009,Arizona,Graham,77.709960944,,,,55.656882303,25.2,19.00577286,22.9,36.166662059,20,41.19783,50685,70.264137242,46.437399248,1.5191698638,0.7415608827,33.161675722,50.990035276,23706,12.449118942,23.606557377,75.855496052,38.66776655,14.237502637,,16.264236902,2.1657063382,5.7,20.046473796,7.9798404032
4011,Arizona,Greenlee,81.003169378,,,,55.122711336,11.1,30.546449341,18.9,35.218952983,5,10.52853,68066,48.627075351,46.568685552,1.7056222363,0.8317540535,47.652137292,45.483259634,5854,19.705030846,,82.183908046,38.901601831,,,9.8068350669,2.2227288271,6.0,16.882983391,
4012,Arizona,La Paz,77.159997917,,,,38.613286916,32.6,18.95471346,38.1,39.054591313,6,75.80064,39407,71.53862615,56.327785641,0.8764449498,0.9048701914,28.33996589,56.50938033,16053,33.37249967,23.882688235,61.769741066,48.397863818,41.636004493,,15.113636364,3.3533356866,2.4,21.534878572,
4013,Arizona,Maricopa,80.479625772,,,,65.692384416,17.5,4.3994726153,19.8,34.96924107,3046,142.68471,68634,62.192802507,2.3637996949,5.5936642638,4.6308099988,31.409698191,54.534297169,2878815,10.935410799,24.774163917,86.330484712,23.37147829,14.032431897,,17.75755521,4.858231524,9.5,15.409319981,8.1381923301
4015,Arizona,Mohave,76.01130638,,,,47.84639984,28.2,20.01212971,32.2,39.250596367,111,71.63695,49712,69.27459172,22.963643811,1.1084875649,1.2300818641,16.928471447,76.743440742,158391,18.404381627,22.577993452,80.051560036,29.730425088,27.432412791,,16.674612634,1.5403905613,6.6,24.627452635,14.861213461
4017,Arizona,Navajo,73.868616659,,,,51.088871097,35.0,25.005407877,26.9,36.778262487,67,90.15182,40676,68.782509288,54.138242329,0.7933359778,0.6238505644,11.487144351,41.641123652,70525,36.77764966,16.650268675,62.509288368,39.75304924,20.596834285,,23.751824818,3.1071498917,6.7,23.457600454,15.997968512
