FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
19001,Iowa,Adair,78.663575723,,,,61.42394822,12.9,1.288695076,24.5,32.678696902,3,,57977,74.3125,100.0,0.5732662192,0.5313199105,2.5447427293,95.120246085,5115,19.796100168,,71.75,15.625,,,8.0996884735,0.0746380057,7.3,20.400113724,
19003,Iowa,Adams,79.80209226,,,,69.764397906,19.6,1.289802956,25.4,31.918320293,1,27.76235,53385,81.727158949,100.0,0.4719600222,0.6940588562,1.4436424209,96.085508051,2662,,,75.469336671,25.6,,,6.3444108761,0.1738626485,7.2,19.945533199,
19005,Iowa,Allamakee,78.119462753,,,,60.666194189,15.6,2.162304794,23.9,33.556364177,8,21.918609999999997,56240,79.338148833,73.963712491,1.512384014,0.4602907869,7.1089354862,90.019726748,9672,19.511193264,,71.66134722,21.212121212,,,11.516155758,2.145355616,7.5,19.872370044,
19007,Iowa,Appanoose,77.130755636,,,,66.384940453,24.1,5.0909526829,33.9,32.748304615,9,120.71463,41672,71.006912012,58.252502522,0.8047642041,0.6840495735,2.2372444874,94.632222759,8901,23.983828047,,69.587147394,26.911576249,,,13.691026827,0.3905255115,7.6,21.304180719,
19009,Iowa,Audubon,76.377317037,,,,71.374764595,16.9,2.6467009649,20.7,33.5988962,4,,53197,76.783691959,100.0,0.4184861718,0.6550218341,1.9104803493,95.887918486,4030,47.861353217,,75.349188373,18.103448276,,,5.9701492537,0.0763213127,7.4,20.221158661,
19011,Iowa,Benton,80.068785586,,,,68.717139853,8.2,2.9550015523,24.2,31.473591051,5,23.39637,70023,82.844944692,80.656542414,0.643400273,0.4250341197,1.5792552154,96.108403198,17751,23.933431664,,79.769066563,13.309352518,10.913116006,,7.8546882671,0.3657370849,8.3,19.985900361,
19013,Iowa,Black Hawk,78.410039851,,,,71.061734551,15.2,10.919016933,22.1,35.301865791,122,184.41186000000002,60010,65.485303847,13.480814707,9.4766360838,2.5246136495,4.5889596732,80.568933459,83718,8.6198908291,9.0843940204,81.376051413,16.568493747,8.451006047,,14.495360727,1.9274659871,7.6,18.82466936,4.4826298095
19015,Iowa,Boone,79.453560622,,,,70.627317676,10.5,4.478477985,22.5,32.159958727,14,72.4251,63975,78.126711703,50.634836159,1.1511778608,0.4917282915,2.6682930548,94.286041015,18546,11.889578244,,80.710242834,15.025701858,9.83068535,,11.136363636,0.5312084993,7.7,18.250364828,
19017,Iowa,Bremer,82.006315195,,,,77.090119435,6.3,1.7076412195,20.6,31.525918406,14,147.63387,67229,82.67879289,64.48755973,1.1491501077,1.1531402123,1.615992339,94.908626606,16428,10.357625802,,83.25754444,4.8739729843,8.8396014143,,8.4700899947,0.4487371255,8.0,16.261181746,
19019,Iowa,Buchanan,79.128564606,,,,71.692307692,14.4,4.8972867353,28.4,32.286272767,10,113.34120000000001,67906,79.312492216,68.537074148,0.5053128689,0.6186540732,1.7473435655,95.811097993,14005,10.159573027,17.302126589,78.702204509,12.187159956,9.4670074789,,9.3788063337,0.1934531385,8.1,18.645663527,
