FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
21001,Kentucky,Adair,76.461202021,,,,47.426470588,29.8,5.2635308499,34.2,42.793032898,7.0,203.10384,37650,76.12154221,75.455617496,2.7965836892,0.4062076867,2.1612332049,93.031975836,13199,27.582094003,17.270560602,69.084133582,22.196261682,13.512249374,,11.76056338,0.2137103403,8.8,27.030096553,
21003,Kentucky,Allen,74.845331131,,,,49.516097176,24.1,0.4939387915,39.7,41.271453959,3.0,60.98991,47307,74.924391847,78.698135899,1.1728829463,0.2768003753,2.4161388693,94.581280788,14417,20.641823086,25.248540319,69.335963182,35.050576335,21.979912271,,13.562621674,0.3572886893,8.9,27.71488898,
21005,Kentucky,Anderson,75.301553272,,,,60.823226755,14.1,5.9758868164,31.2,42.819126748,6.0,70.33895,61308,76.052449965,41.697399748,2.0530179804,0.7077856421,1.9255286411,93.449685673,15369,13.47968419,41.204344115,77.57073844,33.416355334,8.9213228538,,10.621009867,0.2717520858,8.7,22.228116816,
21007,Kentucky,Ballard,76.148231459,,,,64.869565217,23.7,1.6672695833,36.2,42.584079378,,12.67748,48053,80.685154976,100.0,3.3975659229,0.5451318458,1.4832657201,92.038539554,5624,37.00831806,,75.367047308,40.697674419,27.382256298,,9.7674418605,0.0394166338,8.9,24.719396356,
21009,Kentucky,Barren,75.883987072,,,,51.618233064,25.9,3.6929609844,38.1,43.31108016,34.0,155.93573,44859,66.682416868,63.275081213,4.0362494068,0.8406969649,3.4464055685,89.974914687,29872,20.590657724,17.394460999,79.29832851,42.083514572,18.199272939,,16.189069424,0.1801801802,9.0,27.671153538,
21011,Kentucky,Bath,72.697530116,,,,44.074991157,29.4,0.0617440532,39.7,43.852492646,1.0,296.0,42248,72.073751813,100.0,1.328,0.408,1.72,94.84,8210,29.075514927,,73.896830329,45.86808188,24.265562314,,12.749445676,0.0520607375,8.4,28.74349287,
21013,Kentucky,Bell,71.497657931,,,,43.056849953,41.1,11.856749498,34.8,44.33530163,13.0,26.88998,30940,66.048569277,62.479523195,2.3932083589,0.364935464,1.1716349109,94.018899816,18922,21.095711242,37.73822253,63.196536145,57.131752818,19.410372604,,19.882512427,0.0516118787,9.8,32.900822117,12.111292962
21015,Kentucky,Boone,78.937717864,,,,73.126089483,8.7,6.177190637,23.1,39.910000128,83.0,109.29697999999999,78806,74.504755623,13.272340103,3.7018737695,2.419505768,4.3876000329,87.286365576,85741,8.4169024691,32.588760162,89.914249846,18.110262482,9.3545369504,,11.183425534,1.5655320926,9.4,18.152023093,5.1473699055
21017,Kentucky,Bourbon,75.853750299,,,,55.220417633,20.0,7.7161122947,28.7,41.684588826,14.0,111.17849000000001,47046,63.150752529,44.748561421,5.6397816859,0.5356781888,6.8223165555,85.061653527,14060,23.551746041,36.666055566,74.019245004,27.94653706,10.983853735,,13.247073321,2.7466397492,8.8,24.598634187,
21019,Kentucky,Boyd,74.175806145,,,,63.570391872,32.1,9.4672465414,34.8,45.728025829,49.0,738.47339,50017,68.758923668,25.317912075,2.7505458282,0.5929192174,1.8772207714,93.051928593,34109,9.5206359785,64.81748945,81.098297639,38.979681979,15.93999849,,12.60460251,0.1336005344,7.7,24.981488371,
