FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
22001,Louisiana,Acadia,74.900417121,,,,45.901536532,26.5,0.6019980049,31.7,38.382642693,23.0,85.42187,44728,71.082928584,51.69896233,17.743573213,0.3384640181,2.7915222822,77.316463857,41205,19.691484807,13.916767028,76.654973916,43.819906555,20.830195451,,12.590959206,0.8573789684,8.7,27.429662249,9.362730293
22003,Louisiana,Allen,75.14601182,,,,40.304131342,26.1,11.548553011,32.8,39.490563671,3.0,97.55336,47111,74.523659306,69.42244993,22.324111289,0.6321457837,2.2944550669,70.854957662,17895,29.531398005,18.216595318,70.826498423,50.254323499,17.158009671,,11.869814933,2.0797732672,8.5,26.547742927,
22005,Louisiana,Ascension,79.482054574,,,,66.940032228,12.9,8.0983133447,24.7,36.886841949,51.0,102.68238,83072,81.518404908,13.216434268,23.560866955,1.4099080598,5.9571577517,67.527882215,79773,16.889338221,27.523622216,86.835378323,21.285608387,12.839974905,,11.077951534,1.2310274883,10.1,19.872325986,10.174331229
22007,Louisiana,Assumption,77.084330874,,,,35.086716219,25.1,14.313555415,27.5,39.438877299,3.0,27.40852,51763,78.14546305,44.993808975,29.258599424,0.4202640354,3.3255675849,65.396738386,15486,24.609559867,,72.041627689,28.428093645,16.035063339,,11.136624569,0.9925208147,9.0,27.493654091,
22009,Louisiana,Avoyelles,73.960145816,,,,43.42648162,34.2,9.3407157301,36.4,42.378999088,11.0,181.84536,38316,69.491525424,63.781997956,29.473893982,0.518134715,2.0650657633,64.931247509,27757,22.707423581,20.561577813,67.631735145,55.628194461,23.061146384,,14.438502674,0.3978290652,8.8,28.283363643,17.508933129
22011,Louisiana,Beauregard,75.707499208,,,,53.096794273,19.2,13.795462608,33.3,38.813904346,15.0,69.33888,55343,77.470414201,66.494642957,11.787609675,0.6533856042,3.8349734645,80.507773955,24684,17.091892228,,76.930473373,40.555624457,15.129655746,,10.95684803,0.2054517044,8.6,24.570680977,
22013,Louisiana,Bienville,73.832278394,,,,40.440934518,32.9,12.237310608,26.7,43.042997391,2.0,339.85348999999997,37198,73.090158293,79.836967881,41.220451628,0.3323011857,2.1070916094,54.504946756,9456,16.718214495,,64.951823813,45.849253213,,,12.328767123,0.2670436695,9.4,28.218164594,
22015,Louisiana,Bossier,77.820100965,,,,66.137098334,25.6,7.9291347555,28.0,38.618953086,56.0,226.70203999999998,54080,63.42021589,24.34197591,22.674139437,1.8647816812,6.8955202733,65.923062996,83544,11.56492743,9.165710814,66.69096948,27.55511022,13.584166548,,15.143331948,1.3073616609,9.9,19.892262601,13.433522466
22017,Louisiana,Caddo,74.912237275,,,,57.331476933,35.8,14.140473276,28.9,41.328660433,282.0,685.66718,45613,59.832679629,14.435088187,49.59576027,1.2943164976,2.8675625718,44.29817988,165903,14.963959878,12.607800117,69.636151214,40.276200934,27.316673415,,17.556663412,0.4427386925,10.0,22.721905829,11.055068629
22019,Louisiana,Calcasieu,75.179488765,,,,56.452473371,26.0,9.2951433032,28.9,41.878135971,158.0,259.54108,53050,67.456929802,20.500290505,25.50187774,1.368980908,4.1049765037,66.647004463,133430,16.275460745,15.76372799,75.217279506,41.122715405,17.354534294,,13.34759497,0.6519823789,7.6,22.605899026,9.4131018806
22021,Louisiana,Caldwell,73.680847648,,,,40.286557101,28.3,3.2332510242,28.5,39.136750181,3.0,141.15749,44007,76.507503411,100.0,15.870135108,0.3327283727,3.1760435572,79.068360557,6748,32.95553868,,63.683492497,52.935010482,,,12.364130435,1.6437186466,8.6,28.507740387,
22023,Louisiana,Cameron,81.744080126,,,,60.271041369,18.1,5.9952900141,24.7,36.479551286,2.0,,60317,84.418434528,100.0,3.9151011043,0.3872078015,4.244944787,89.301591854,4809,,,74.506217996,24.62734932,,,6.3314711359,2.6065624042,7.9,24.289576782,
22025,Louisiana,Catahoula,75.84656368,,,,38.248673237,34.3,10.599468362,36.8,40.40507707,1.0,21.06594,36794,80.231866825,100.0,30.492942911,0.0631978091,1.7379397514,66.147040236,6661,21.603249129,,59.512485137,49.916805324,,,12.550066756,0.0652741514,8.3,26.98369077,
22027,Louisiana,Claiborne,75.46005659,,,,33.469212615,39.4,7.0959496523,33.5,42.690339781,6.0,89.34269,36497,65.928680074,82.355335853,51.525207403,0.4403318443,1.5507338864,44.798978941,11958,17.687844913,,47.574784519,41.947565543,23.747031621,,17.892976589,0.3160389781,9.3,28.139784135,
22029,Louisiana,Concordia,73.28390181,,,,43.074459568,39.4,14.699939095,36.4,41.995594346,5.0,529.62251,36276,66.140742809,33.45499952,39.576301989,0.4361597175,1.7134846046,56.929227893,13283,24.343617318,,64.19994415,52.156958323,28.351846414,,14.112903226,1.2463580447,8.2,28.597614685,
22031,Louisiana,De Soto,76.265143295,,,,46.184858892,24.3,9.4207504953,29.7,39.335288138,5.0,243.96461000000002,47347,71.305794289,77.262154862,35.254706332,0.3714088046,2.9931180133,59.104977606,18514,16.258883382,14.591617116,68.209962111,33.946968417,21.987686895,,13.068731849,0.3643629525,9.4,26.239651972,17.376194613
22033,Louisiana,East Baton Rouge,76.096172169,,,,66.632914408,24.5,10.727740122,26.9,39.802633552,405.0,413.35366000000005,56303,59.772674723,6.8759641139,46.663288332,3.3956810337,4.4039549242,44.019097439,280581,14.330044706,23.205299849,83.592542563,25.776873952,27.149040126,,17.623661702,1.9630122842,12.1,19.408189103,7.3840763382
22035,Louisiana,East Carroll,72.083859764,,,,27.904890085,52.0,11.517927269,19.8,46.30388696,3.0,510.12972,29943,51.595483554,34.57919835,68.095029879,0.5101297187,2.7255502113,27.474129136,4885,19.755818088,,40.206185567,62.713019768,,,23.602484472,0.1057082452,8.2,34.305811285,63.839285714
22037,Louisiana,East Feliciana,73.422867362,,,,34.671459956,23.8,5.8724720426,26.4,41.665653728,6.0,371.04782,50041,80.543181492,100.0,42.23673896,0.3031094852,1.7925267834,53.953488372,14264,30.708039657,,63.371174019,28.805336568,25.711964291,,10.564930301,0.4174799393,9.3,26.044644597,15.393386545
22039,Louisiana,Evangeline,73.221285567,,,,36.944937833,33.0,14.50182699,34.8,40.415185833,21.0,65.87813,35146,65.51922445,61.093455744,27.261566103,0.5120527025,4.0395268753,66.533912262,21855,25.076930924,24.864241243,66.307919816,50.046216823,24.405052441,,16.177703269,2.5323327479,8.7,29.689665151,21.333333333
22041,Louisiana,Franklin,75.0420796,,,,35.027910686,38.4,5.6792272952,37.0,41.135886393,9.0,149.88758,35484,72.746867843,74.185005056,31.756182863,0.3747189608,1.6787409443,64.936297777,13529,27.429439525,,51.5963896,46.878573062,17.791659665,,15.288713911,0.0743218135,8.4,27.875116818,22.860635697
22043,Louisiana,Grant,75.848549163,,,,34.643769515,23.4,7.2656668266,40.1,39.641544234,2.0,66.99719,49544,68.722277865,85.593258326,15.141364063,0.5315110099,5.1096520613,76.667113315,15999,24.307710022,,63.957647732,48.555776892,15.190099629,,11.004126547,1.4184060721,9.0,26.03443093,27.954971857
