FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
26001,Michigan,Alcona,76.889778005,,,,57.569585879,26.7,4.2644059573,22.8,38.665216232,6.0,57.66458,41491,88.813151564,98.921586547,0.518981259,0.4036520903,1.6049975973,95.338779433,8514,,,71.551724138,20.710059172,25.087323183,,10.843373494,0.1992627279,6.6,24.094828707,
26003,Michigan,Alger,80.022460283,,,,36.159346272,17.4,14.032856465,25.4,39.478353833,7.0,65.87615,52285,84.037246425,69.044891157,7.2353974528,0.450153711,1.7127799736,83.443126921,6992,,,74.393082807,15.593220339,,,10.93990755,0.2380412605,5.4,23.964975299,
26005,Michigan,Allegan,78.973371962,,,,58.286791905,16.0,0.8315203154,21.0,37.422383272,26.0,92.30952,66568,82.570941588,64.467542726,1.3448395593,0.8519575546,7.5194146391,88.137803711,78753,13.359623753,11.084111353,79.371660217,19.509541021,9.2779041558,,10.9035366,0.7902852737,7.0,21.030439196,10.773668137
26007,Michigan,Alpena,77.762980326,,,,67.552749626,18.3,2.2872271465,25.0,39.724021687,19.0,337.96867000000003,43676,77.948557089,51.827826204,0.5386375638,0.5914451681,1.499735962,95.465587045,21155,7.9676116586,16.426719232,76.842848181,22.457312546,11.91026665,,11.102423769,0.2062007512,6.6,23.75843281,7.8101071975
26009,Michigan,Antrim,80.867156575,,,,59.331409331,16.9,0.0593319661,28.1,36.847411029,15.0,34.29943,58317,87.089605011,100.0,0.3258446236,0.3301320528,2.5081461156,94.396329961,17456,16.572957843,,79.836347106,18.959537572,15.480009288,,12.435765673,0.41435842,6.4,22.251263822,6.4814814815
26011,Michigan,Arenac,77.650370797,,,,53.725359171,25.6,12.237593147,27.6,38.823924426,5.0,215.01041,44017,83.792421245,100.0,0.456897131,0.3090774709,2.0358798629,94.282066788,11390,16.950429411,,71.632932583,24.328249818,19.906571823,,11.327831958,0.45176536,7.1,25.51943549,11.67192429
26013,Michigan,Baraga,75.968301648,,,,46.6532461,18.2,5.4265981854,22.6,41.509375084,8.0,146.18102000000002,48371,80.270357258,100.0,7.9425021318,0.4019978073,1.6567182361,71.994152759,6242,,,74.44480206,19.218846869,,,13.122923588,0.1115103457,4.8,26.024645375,
26015,Michigan,Barry,79.673078226,,,,57.727438802,10.9,1.0164865528,28.9,36.851312521,21.0,121.85215,67703,83.548732302,77.128082064,0.5995125914,0.536149472,3.1405361495,93.795288383,42357,18.065687792,10.911491437,80.058445835,16.73355039,13.231494927,,11.32115548,0.4267002431,8.9,21.872108308,8.2905104488
26017,Michigan,Bay,77.161575137,,,,67.128226137,19.7,7.7437063087,25.6,39.154292475,40.0,262.78533,50130,76.765375854,30.311493816,1.6184085488,0.6060547292,5.5078253787,89.813432112,74642,9.7998516411,25.378427694,81.736169061,20.00195141,10.734261847,,11.76537327,0.2273209469,6.8,21.446209714,6.993006993
26019,Michigan,Benzie,79.980655169,,,,67.427568042,15.8,,28.5,36.617561392,11.0,146.34695,56934,89.708480565,100.0,0.6022740065,0.5009568839,2.5216706068,93.667679838,13287,18.688854942,20.718752354,83.510011779,20.186335404,,,11.722141823,0.0655581381,6.3,20.776841984,
26021,Michigan,Berrien,77.809324868,,,,66.631914114,22.3,10.119313224,21.8,41.924107933,124.0,238.59036000000003,50659,70.704468703,32.856969767,14.474481913,2.1192821429,5.7555035495,74.754401862,107629,12.489222264,15.807674734,75.127621142,27.755102041,13.888041617,,13.928769731,1.0917782554,7.3,21.935169085,5.7188884414
26023,Michigan,Branch,76.795558617,,,,52.828175027,17.6,1.4481061184,24.8,39.271514606,19.0,151.66487,52255,74.222222222,62.703323904,2.1945446607,0.6893857573,5.0646873636,90.010800377,30314,15.418227626,18.38390183,77.615615616,29.88070019,10.108435949,,12.031678343,2.219723268,9.0,24.867532665,12.70296084
26025,Michigan,Calhoun,76.068024481,,,,56.970551378,20.3,8.2456140873,27.2,39.474314946,78.0,343.62212,50205,69.90609546,30.977039355,10.77080181,2.9688653016,5.4748470099,77.079435595,91137,12.959917736,33.765833942,79.400270415,29.564077352,15.190461582,,14.403138427,1.0626722474,9.0,22.06476876,6.0257653415
26027,Michigan,Cass,78.023946349,,,,60.992907801,19.9,2.6960027156,26.7,37.868035806,11.0,100.41130000000001,55029,80.018078881,71.181611306,5.0167030336,0.774325603,4.0821055477,86.282271613,36775,15.210387312,14.855865806,78.367191589,25.192256696,14.724287713,,12.303601644,0.2492440958,9.4,21.766413601,7.8749058026
26029,Michigan,Charlevoix,79.591053915,,,,67.886497065,13.1,1.588880135,16.5,36.540776546,22.0,202.73113,58831,80.874554464,70.403483757,0.447538538,0.6120185136,2.2109168802,93.504953525,19276,8.7341965631,16.555026361,79.492306355,19.238095238,9.9283630421,,10.502892746,0.2955979867,6.4,19.57307025,
26031,Michigan,Cheboygan,77.7833027,,,,55.991735537,23.8,5.893783178,27.3,39.356028065,15.0,94.95173,47876,82.376060741,82.72789844,0.7042253521,0.4351954423,1.4875771483,91.778762462,19486,8.9742942559,14.462646927,75.015631979,22.99112224,,,10.969162996,0.2909836066,6.2,23.247336389,
26033,Michigan,Chippewa,78.547469903,,,,57.198192382,24.6,8.0976553139,32.0,40.059832997,24.0,377.52015,49610,67.447674834,48.938213915,6.9024605746,0.859460762,1.9893437575,69.236124126,26027,10.928920562,11.547651829,79.184227445,17.363751584,7.9645735767,,12.031417351,0.4274101182,6.9,24.60489254,8.345752608
26035,Michigan,Clare,74.888401917,,,,52.622377622,30.4,1.6955920654,30.6,41.133738179,10.0,103.39257,42480,82.908435118,70.642824808,0.7205169628,0.3004846527,2.1033925687,94.617124394,22457,18.648714171,29.233434387,72.78465448,33.854645814,18.268296025,,16.306483301,0.569476082,7.1,26.846790091,6.2736205593
26037,Michigan,Clinton,81.55975825,,,,76.029742163,7.6,5.7151576052,21.8,37.601240284,25.0,111.81607,72666,79.988562971,52.92642806,1.961178466,1.635781142,4.6196369119,89.549594824,53883,8.5972883787,13.902346548,85.394241119,9.8775655054,10.187241499,,9.5491170924,0.534968861,8.7,18.088073497,3.7333333333
26039,Michigan,Crawford,76.035172111,,,,63.672028246,24.1,6.8954400376,23.4,39.262447913,12.0,149.68993,49114,81.191988276,72.587750462,0.7769620073,0.8411148336,2.2239646447,94.062299522,10469,19.581370902,38.243659918,82.478423709,22.314674735,15.854256147,,12.531120332,0.2642905686,6.4,23.692444554,
26041,Michigan,Delta,78.230422267,,,,71.154614463,18.8,8.3831317386,23.3,38.905645307,27.0,153.69998,48880,77.39928545,43.753540694,0.3549072211,0.4946344735,1.5593561368,92.468701095,26468,12.615858923,9.2931620913,76.179623013,21.396396396,12.209673391,,12.028894472,0.0876757167,5.8,23.363696503,
26043,Michigan,Dickinson,79.331750688,,,,72.937905468,14.0,11.461844881,18.0,38.094051483,22.0,368.47736,53751,77.357314576,32.765209416,0.526962241,0.6775228813,1.7274852411,94.869051864,18590,10.589972968,32.878730092,76.796367198,19.330410522,10.207286432,,14.063886424,0.2233435354,5.6,20.874690616,
26045,Michigan,Eaton,79.169307928,,,,72.323126841,10.8,9.2202357923,21.1,38.39180574,42.0,180.46939999999998,65891,72.275179856,37.971770339,6.8061450285,2.5048064715,5.6652882069,82.349366997,76765,12.696185516,17.926537656,83.574640288,14.30402249,11.515641165,,11.799210378,0.9424660712,8.8,18.633844017,5.7870791629
26047,Michigan,Emmet,79.887822474,,,,72.031122031,11.8,4.851723558,18.6,37.785524679,46.0,332.18613999999997,59456,72.834128466,74.88835872,0.7242256472,0.6224749364,1.8165494538,91.081849469,24091,9.8880925869,12.010088474,82.762912259,12.643340194,13.232366368,,13.866850638,0.1301545983,6.2,19.835590693,7.7212806026
26049,Michigan,Genesee,75.454623906,,,,65.858003398,22.2,10.977488495,26.3,41.04466027,350.0,300.13824,50554,70.033114555,16.755207966,20.010448162,1.0270740464,3.5703636897,72.376439394,279412,11.820804965,45.734331074,77.201581875,26.915993767,17.847039108,,16.347998082,0.424299762,7.2,23.659220442,7.0132953466
26051,Michigan,Gladwin,76.554203758,,,,49.369523402,21.1,0.4917691976,27.8,40.769630239,5.0,117.88282000000001,46458,84.900878066,88.580102756,0.5344021376,0.4636724429,1.9568548862,95.323981296,18845,12.978951526,,70.5711958,22.143304784,16.626288537,,15.559599636,0.6681421472,7.2,25.662880981,16.101694915
26053,Michigan,Gogebic,79.408739388,,,,53.985841797,24.2,3.5056496033,25.4,40.351506578,12.0,207.51341999999997,39030,77.461447212,68.168259573,0.5939177102,0.4865831843,1.7960644007,92.207513417,11535,14.052838673,,68.179122183,18.18916734,,,11.636636637,0.2551372225,5.1,24.766339554,
26055,Michigan,Grand Traverse,80.26257087,,,,74.838108755,9.6,5.2097591231,17.8,35.914210999,123.0,451.18597,65041,76.3150138,48.023819925,0.7294173255,0.7960209694,2.9638621519,92.663930904,66588,8.2560046857,14.055674889,85.511401699,14.971720084,8.2395899286,,12.5,0.3788008835,6.6,19.309691083,
26057,Michigan,Gratiot,77.566092467,,,,55.615735462,19.2,14.288856946,23.0,42.152793013,18.0,167.03102,51046,74.306617892,60.156323571,6.0376802338,0.5305691336,6.3373535408,85.529709415,28240,9.6985483351,12.26211497,72.490854672,18.344025662,4.8763836739,,12.351543943,0.4058670914,8.1,24.040218612,7.0627336934
26059,Michigan,Hillsdale,77.340515881,,,,56.49938297,23.6,1.6974860231,23.0,40.300596821,12.0,155.68468000000001,50015,76.473187165,69.126970528,0.6490516391,0.5021379235,2.4229799364,94.491832036,31260,17.140417416,15.302441833,73.811233225,23.512772916,12.22985132,,12.964515228,0.560204556,8.9,24.823960686,8.4986896294
26061,Michigan,Houghton,78.459732316,,,,68.359321098,12.6,4.2375439467,18.6,38.159785122,24.0,187.75922,45006,66.890781413,37.815332532,0.8995628293,2.956507118,1.7907185293,92.105705638,21169,6.6965252912,,78.417749888,10.035419126,9.9369006807,,16.723679209,0.7254431639,4.9,21.888166048,3.7013401404
26063,Michigan,Huron,77.080245513,,,,59.065609715,18.4,10.468006101,25.9,38.341353759,15.0,142.02253000000002,49126,80.8767242,89.461924029,0.6165068913,0.6649236629,2.6015945257,94.893644492,23078,16.736023159,21.407087887,72.268361378,16.593460224,12.11804249,,9.8703170029,0.3454752801,7.7,22.970972181,8.2853025937
26065,Michigan,Ingham,78.293249342,,,,76.015988432,17.6,11.262907338,20.0,38.527168677,305.0,394.99873,54704,58.471286778,13.206358248,11.72581958,7.0207177691,7.996073952,69.169237293,176299,7.7866208,30.38864333,82.328075151,13.77898172,9.9347137526,,17.748782341,1.6611864889,7.3,18.601335284,3.3583208396
26067,Michigan,Ionia,78.822281207,,,,55.794119401,13.0,2.7811319396,26.6,38.327834163,16.0,142.20134000000002,59582,76.606862916,60.538299038,4.6740961714,0.4837936844,4.8332998439,88.155555899,43681,12.443891383,15.528111057,80.752482146,23.695260948,8.0832449876,,12.839779006,0.3941877917,8.7,23.308570075,10.788625037
