FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
30001,Montana,Beaverhead,82.039744751,,,,69.650423729,16.6,9.2726415223,20.1,31.674088242,14.0,200.99439,49771,67.760521042,50.151416829,0.338516873,0.4971966571,5.5008991854,89.537712895,6404,,,76.027054108,12.019230769,21.280217909,,14.949748744,1.115697869,5.6,18.721626033,
30003,Montana,Big Horn,68.232581764,,,,51.954177898,32.3,25.326402702,24.8,37.362402758,7.0,90.09685,43718,63.397062898,71.908278274,0.3979277724,0.6832344771,6.5620542083,26.488475111,7601,83.937756925,,66.306456082,80.307056392,27.026215429,,22.776280323,1.0058058713,5.8,28.918708562,11.307420495
30005,Montana,Blaine,73.930527712,,,,60.253164557,27.2,19.659038432,26.9,36.962925793,4.0,209.54947,44090,58.030431107,100.0,0.3741954797,0.2245172878,3.7120191588,43.840742404,4130,34.336974483,,70.076077768,47.051816557,,,16.630669546,0.0650300764,5.2,27.557610176,
30007,Montana,Broadwater,80.403931876,,,,58.752327747,12.3,7.2895524863,23.4,31.544681034,2.0,80.16675,60622,82.529610829,100.0,0.3848003848,0.2886002886,2.9341029341,93.314093314,4288,34.102258057,,73.096446701,19.491525424,,,9.1476091476,0.2115282919,4.9,19.303313694,
30009,Montana,Carbon,81.984462523,,,,65.680751174,12.8,10.291648352,22.4,33.002581737,5.0,93.24009,57585,76.392572944,100.0,0.5407925408,0.344988345,2.4335664336,94.004662005,8123,21.697268856,,78.448275862,10.348583878,26.41359923,,12.486308872,0.5088062622,5.2,17.589503909,
30011,Montana,Carter,,,,,69.615384615,20.7,37.607094393,21.9,32.665295071,0.0,,49057,71.974522293,100.0,0.0798722045,0.0798722045,1.1182108626,95.846645367,965,,,77.866242038,,,,9.7345132743,0.0,4.4,20.269987763,
30013,Montana,Cascade,77.730709609,,,,63.999411274,17.8,9.3986595588,24.0,35.93296603,62.0,337.97901,51732,64.374144309,19.821215586,1.5325811764,1.0237691419,4.7439962638,84.943342428,55355,14.997628282,13.896666026,76.97864779,31.188572926,18.595728855,,12.461829286,0.1812688822,5.0,20.543230891,6.2391178178
30015,Montana,Chouteau,79.84230844,,,,65.12,20.2,34.803840227,26.0,34.430521859,,70.98492,48017,63.764291996,100.0,0.1952085182,0.4259094942,2.8571428571,76.752440106,3929,,,71.240105541,,,,9.8253275109,0.4430496585,4.8,22.268309199,
30017,Montana,Custer,78.337396248,,,,72.18018018,14.4,19.584426133,22.7,33.311551462,10.0,368.35643,49379,68.753824189,17.907513463,0.5613050342,0.7279424662,3.7361866339,91.098052973,8236,15.698397556,,76.483785437,30.722630896,,,9.9487179487,0.244100895,5.0,19.464482821,
30019,Montana,Daniels,82.07386441,,,,58.938547486,11.6,6.0242443975,25.2,32.972755571,0.0,,50001,78.413068845,100.0,0.1775147929,0.1775147929,3.1952662722,91.775147929,1283,,,74.329054842,,,,13.142857143,0.0,4.9,18.969650502,
