FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
35001,New_Mexico,Bernalillo,78.362490375,,,,67.605012307,20.4,6.5770302279,15.3,33.25263062,703.0,470.75558,56148,62.984172522,4.1955192253,2.5920270467,2.9059622659,50.304290399,38.254155003,466135,13.824383892,30.276295774,79.804183056,23.802019814,21.072930935,,18.518307721,3.7363115345,7.6,15.092043654,7.5661747482
35003,New_Mexico,Catron,81.656147196,,,,43.346007605,38.3,45.474197098,23.8,31.658095339,2.0,56.70542,37190,87.698113208,100.0,0.623759569,0.2551743692,18.996314148,74.879500992,2839,48.350054394,,53.660377358,,,,5.9233449477,0.5257009346,4.5,20.539312199,
35005,New_Mexico,Chaves,75.727979111,,,,52.252708954,23.7,13.190911135,25.8,32.844256781,43.0,133.09603,43687,68.888507129,24.248609947,1.4563181924,1.1932213882,57.844153834,37.938559158,41374,17.070934108,25.235618273,69.455420031,43.949279823,25.521499557,,14.671235811,5.4787978592,6.7,20.077774259,6.1507492731
35006,New_Mexico,Cibola,76.294555275,,,,48.846787479,32.5,22.05752659,29.3,37.966957417,15.0,371.13402,40436,68.683968764,55.344871936,1.0234301781,0.5810684161,38.466729147,18.905342081,18134,27.401013838,14.948800359,57.912264584,40.948643576,18.506181064,,20.121278942,1.7678678081,5.3,25.40260854,10.546875
35007,New_Mexico,Colfax,78.84971792,,,,57.558835261,27.0,28.898795354,28.2,33.742416184,4.0,971.44293,42754,71.0234068,52.356363636,0.5443430198,0.7872037518,49.208608994,46.939117327,9141,20.769390534,27.605244997,67.367162139,34.825870647,26.276029692,,15.831842576,0.7427238967,4.6,18.491087012,
35009,New_Mexico,Curry,76.530712291,,,,62.056074766,25.6,15.335998745,29.3,31.931790483,27.0,602.60653,45623,57.019624757,14.068959815,5.5358091269,1.8241614577,43.418311068,46.53348041,30534,14.552800986,16.19400417,80.9143843,55.812163202,18.482728694,,18.056307526,4.9797349107,6.2,19.343948846,13.895870736
35011,New_Mexico,De Baca,76.277236237,,,,29.87012987,29.8,6.7914372101,27.5,34.402695371,1.0,915.33181,34746,62.648809524,100.0,0.5148741419,0.4576659039,45.938215103,50.0,1145,,,68.154761905,,,,5.2631578947,0.2623294858,5.3,20.225527993,
35013,New_Mexico,Dona Ana,80.038095536,,,,61.456448569,31.3,19.489991583,16.1,33.412567867,138.0,307.06478,43618,63.093188767,19.290456094,1.626068425,1.3203785605,68.760970691,26.723802104,130958,12.542022411,16.582322016,73.047968963,33.608878936,13.150607799,,19.194683346,8.9549431841,9.7,15.805747581,7.9363982026
35015,New_Mexico,Eddy,74.731845149,,,,51.902049368,14.5,13.043863297,25.1,33.982689701,19.0,121.45056000000001,63671,69.49320032,20.854929499,1.3256927814,0.889497092,50.543961683,45.254875128,37245,24.224443212,30.572748721,79.257446708,52.778594531,31.189786385,,12.808460635,3.1085855282,6.9,17.675983132,11.671826625
35017,New_Mexico,Grant,77.746017225,,,,60.586489789,27.0,15.063129078,19.4,33.453458211,20.0,559.30069,43175,68.070205046,42.352781731,0.8482109786,0.870434847,50.40373361,45.755241129,19945,11.148046052,32.914386025,70.55944646,34.261983042,29.513389001,,14.856902357,1.0843833524,5.6,16.777081863,
35019,New_Mexico,Guadalupe,75.680332451,,,,50.641025641,28.8,16.418257158,28.9,32.963808724,2.0,1581.3953499999998,36554,62.644508671,44.079368466,1.5813953488,1.3255813953,78.651162791,16.325581395,3308,,,37.789017341,23.557126031,,,7.5697211155,3.8111630194,5.1,16.080687681,
35021,New_Mexico,Harding,,,,,95.652173913,15.9,40.788723734,29.9,32.219547316,0.0,0.0,38162,65.402843602,100.0,0.32,0.32,46.88,52.16,355,,,50.710900474,,,,11.707317073,1.1820330969,4.7,17.383442603,
35023,New_Mexico,Hidalgo,76.578293392,,,,46.432616082,32.4,15.819884944,22.7,34.915217413,2.0,190.56694,37322,70.637284098,100.0,1.0719390186,0.5717008099,57.979990472,38.875655074,2971,,,70.33948779,25.0,,,18.75,3.9186507937,5.2,18.82763979,
