FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
47001,Tennessee,Anderson,74.903394236,,,,57.614042934,21.9,9.3591868034,27.9,41.659343426,39.0,93.53322,50973,67.9283586,34.661715183,3.9725635896,1.5225129258,3.1632414456,88.856556419,54265,14.648657582,47.014369855,80.44923218,33.076074972,15.469242427,,13.450196592,0.7783615489,10.4,24.389787919,7.4195470799
47003,Tennessee,Bedford,74.869590787,,,,43.63401646,19.2,6.622556059,32.2,42.630117937,15.0,68.39256999999999,50539,68.547771449,55.60166896,7.6297950234,1.0460040633,13.075050792,76.120934162,32037,20.056097203,20.426505433,74.613893946,40.745597602,13.662616184,,16.236811254,3.1787227435,9.2,26.273946007,14.002701486
47005,Tennessee,Benton,72.142167805,,,,46.983432323,27.8,6.5641570657,26.1,41.614283369,3.0,43.316829999999996,42322,77.107364685,78.458366184,2.5371287129,0.6064356436,2.6794554455,92.264851485,11802,36.312750204,31.036623215,64.167406093,45.334215751,24.853056305,,15.309932786,0.1233766234,8.2,29.892995642,
47007,Tennessee,Bledsoe,77.894899465,,,,37.29702723,40.6,1.6379937327,30.5,42.370224873,1.0,26.55337,42730,73.804658766,100.0,7.6606479023,0.2987254381,2.8345724907,87.300849708,11032,16.917947952,24.699119813,70.535349407,37.593984962,24.419030564,,14.36227224,1.5722146788,8.9,28.415881289,
47009,Tennessee,Blount,77.042199676,,,,58.403416992,14.1,11.627352966,24.9,39.832756411,90.0,132.24333,59368,75.415867239,32.631493375,2.9003366194,0.976797307,3.6179069488,90.612226497,92995,12.975102221,37.528590193,79.134442313,25.780642294,13.532444805,,11.914297157,0.6263369417,8.6,21.991439829,3.9238825786
47011,Tennessee,Bradley,76.555573321,,,,57.38522577,17.4,12.030908843,29.9,38.901194277,55.0,101.74821999999999,52534,65.540406051,32.971918798,4.8709647581,1.2431782444,6.63028397,85.142909999,72026,11.856075421,24.656910021,78.873905255,29.689878997,13.233064513,,14.072952165,1.6219469382,10.2,24.58979097,3.1604938272
47013,Tennessee,Campbell,71.873666616,,,,42.867835757,31.1,10.101992766,31.4,43.041577998,19.0,50.198280000000004,42500,68.095355731,55.02259554,0.4593142915,0.3940565233,1.5536368656,96.094573566,28665,21.170096342,25.194628505,63.383152174,45.454545455,18.636136981,,11.170716314,0.1064310992,9.8,29.407725013,10.276923077
47015,Tennessee,Cannon,74.038127587,,,,44.104178592,19.5,1.0600307182,25.9,42.263153612,3.0,13.625829999999999,52960,74.763119534,81.131802043,1.5942226461,0.3678975337,2.4730889767,93.861561521,10139,27.340387828,36.903773411,69.551749271,32.039200905,19.656571613,,9.9908340972,0.2011772595,8.8,27.244233353,
47017,Tennessee,Carroll,74.098485542,,,,53.338856669,23.6,3.3794908112,32.8,43.069566038,12.0,50.419560000000004,43258,73.088852399,83.058691536,9.914646883,0.4465732704,2.9135304498,84.25469082,19286,25.441149533,,69.011129356,28.294513053,20.050268888,,14.17844523,0.1521780483,8.4,25.777938496,11.861198738
47019,Tennessee,Carter,75.153792865,,,,52.509080127,27.6,20.461279165,30.2,42.3134579,22.0,30.14665,39964,70.795492768,40.965449986,1.6066393573,0.4185064993,2.0038658651,94.385628912,41969,11.35096685,30.727412397,65.775311134,28.264179673,17.008128468,,14.579831933,0.2243524373,8.7,27.84343332,7.4363188168
