FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
42001,Pennsylvania,Adams,79.60584971,4.0337090478,4.8096919116,93.60913242,59.805266045,11.1,,27.3,37.230426978,53.0,100.25111,70470,77.84899566,53.675781751,1.5942847132,0.883767106,7.2686924529,88.719316346,72331,12.132419079,17.500534739,,14.401477936,12.083932657,17.422680412,10.224375319,1.3513097862,7.7,20.3,3.1757754801
42003,Pennsylvania,Allegheny,77.859284853,3.723378875,4.516758549,89.759757798,80.854770531,13.0,,23.7,38.172157582,1371.0,383.8667,64236,64.28389485,2.4862917175,13.19428278,4.3147442787,2.3310202269,77.790710921,883487,6.2061841645,44.296879607,,11.091515112,14.193665261,24.352589641,13.759387315,0.8275445066,13.3,18.1,3.5349278264
42005,Pennsylvania,Armstrong,76.767346001,4.4184569012,5.2083424717,90.894648829,55.126038586,16.1,,29.2,40.974769846,28.0,127.80149999999999,52958,77.777777778,67.486691519,0.8774664131,0.2914497678,0.8166827717,96.928088277,48368,13.662239089,39.658014009,,19.07587961,15.936841073,10.0,10.485887817,0.2088152146,7.8,23.8,5.1681415929
42007,Pennsylvania,Beaver,76.462750182,4.1115477126,4.9347126721,69.134139637,70.627632577,12.2,,24.6,39.532418804,73.0,127.94095,56649,72.965624393,25.827523323,6.3232354298,0.5904966938,1.8932800246,88.822389666,120924,8.5118968805,36.845083726,,16.66012045,12.245170129,22.876712329,10.428581515,0.3872328189,10.0,21.6,4.9363057325
42009,Pennsylvania,Bedford,77.64543581,4.5323705243,5.2843457817,92.078488372,51.336470117,14.4,,31.0,40.413250105,12.0,142.20884,52643,79.397892624,83.794863551,0.6336658511,0.4663613359,1.2840621536,96.605809649,35232,16.853035616,28.495770811,,18.58216971,19.112038091,,10.724269377,0.1398356931,8.0,23.9,5.4831460674
42011,Pennsylvania,Berks,78.974116539,4.1803176598,4.64756761,86.783419392,58.545146333,14.0,,28.3,36.321554705,265.0,157.23830999999998,70057,71.03376836,23.736030838,4.281299805,1.6127614799,23.135170314,69.588401418,285354,10.02065349,28.677060649,,20.255034218,10.54893105,18.287671233,14.640857152,4.1950960163,8.6,19.3,5.0846041362
42013,Pennsylvania,Blair,76.54941949,4.3989916648,5.1604855378,91.079896907,59.044778166,15.2,,28.5,40.452780411,98.0,257.83632,52177,70.261583441,23.430824068,1.9717867561,0.6966539126,1.3420711199,94.397844753,88225,12.601403727,26.27775588,,21.53195901,9.7809873907,26.810344828,13.336561743,0.3343127203,7.6,23.3,8.4581923635
42015,Pennsylvania,Bradford,78.493632966,4.4391172096,5.1983047789,90.392651297,54.434392639,13.4,,29.5,41.123614554,68.0,86.34862,55787,72.747568171,72.174315736,0.6791650753,0.7190182827,1.5443117849,95.692532505,43002,18.776477767,19.296823743,,28.06573957,11.221122112,16.833333333,10.862555421,0.3011573547,6.7,23.2,11.509501613
42017,Pennsylvania,Bucks,79.528074697,3.4222133605,4.2613300092,92.649788165,73.206936481,6.1,,22.2,35.346988667,524.0,274.84645,92441,78.069720015,8.8296022864,4.1306587557,5.4101438406,5.9042623494,82.801714048,449978,8.1261136418,36.562353406,,5.6753861466,6.8170408181,10.621019108,14.543884407,1.9254946405,9.6,16.7,4.9864480946
42019,Pennsylvania,Butler,78.780501927,3.6749045363,4.5780733048,93.751738526,75.8576408,7.8,,24.1,36.852652146,123.0,181.35193999999998,74721,76.027018334,41.964081757,1.3101752716,1.5258942026,1.7046025326,94.187749491,134209,10.140348523,33.281640572,,8.3957603729,9.5863898827,12.126436782,10.552203568,0.2518976476,9.8,17.0,3.2310505995
42021,Pennsylvania,Cambria,75.810705088,4.4088778251,5.1474820462,93.039793662,64.830462767,16.1,,27.7,41.302867731,107.0,216.05321999999998,48653,74.74399733,32.006069085,3.5850845561,0.5362472022,1.7641755782,92.317675951,94476,10.29465225,49.923961966,,18.112685793,16.252012516,23.58974359,11.620741262,0.1478450584,8.4,21.9,5.0263774912
42023,Pennsylvania,Cameron,78.198679299,4.6626664114,5.3642040425,,57.432432432,22.0,,30.2,40.44636859,2.0,23.09469,46151,67.137960583,47.354965585,0.6928406467,0.4618937644,1.5935334873,95.565819861,3498,,,,28.950542823,,,10.986547085,0.0,6.8,24.7,
42025,Pennsylvania,Carbon,76.239223216,4.298450241,5.0130739931,88.424153166,56.154549933,18.9,,28.5,40.077664833,27.0,71.78415000000001,60593,74.940666792,47.162408619,1.8913562522,0.6132863095,5.7162029307,90.524492439,47455,13.382760328,47.275183126,,17.497439399,21.566745953,13.333333333,14.083139083,0.5658242173,8.3,21.7,10.124669437
42027,Pennsylvania,Centre,82.510912693,3.9810072477,4.6470225257,92.67282197,75.387008556,9.4,,23.9,37.421782734,124.0,221.67732,62795,62.450319973,32.217676472,3.6403378412,6.2719819686,3.038465349,85.448556001,99778,7.9636715003,8.4243228694,,2.6935903544,6.5366732033,7.5892857143,17.717147298,0.5795763451,8.7,19.0,1.1922811854
