FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
41001,Oregon,Baker,76.598802258,4.2295823603,4.9115878451,74.088785047,64.043341888,18.8,14.506172946,25.7,34.843697895,12,706.21469,44872,70.424699637,41.006569976,0.6570867109,0.7430606731,5.029476787,89.468189634,12016,18.651579611,,80.148086058,21.978021978,26.078209793,52.857142857,14.296028881,0.4505975315,7.0,17.7,
41003,Oregon,Benton,83.088541605,3.7393268253,4.3865811326,86.0,83.862360843,11.3,7.3827716636,22.2,31.682680155,107,1162.60363,66378,56.752933344,18.7639491,1.1315007668,6.80938234,7.9880736602,79.681249263,56182,8.2198233686,5.7472709443,91.747801725,3.6787891528,8.719745209,21.232876712,21.423477393,1.4978182723,9.3,13.8,2.6820866142
41005,Oregon,Clackamas,80.872277721,3.4992511384,4.2681363571,86.811266772,74.418056956,6.6,3.3486454454,22.3,32.848716395,383,357.21402,82539,70.931400238,18.07857614,1.0550384729,5.0365752996,9.331208076,80.467793812,294509,9.6412246235,10.66999613,89.385551999,8.7026060777,10.883216347,19.669030733,16.249075295,1.9036785961,10.0,13.9,6.7318076626
41007,Oregon,Clatsop,79.570382136,4.1037399414,4.7807926611,81.494974874,65.375611832,13.0,3.725172418,26.0,34.010069333,27,373.54971,63238,60.721643049,38.972434461,0.754520941,1.6747891052,8.9750884397,84.793310739,28970,17.182758747,24.084178356,85.823085086,18.19936578,14.125362593,50.294117647,15.273412948,1.4214113342,6.5,17.6,15.166949632
41009,Oregon,Columbia,79.462158375,4.1946668517,4.9315988242,83.416,58.415524016,10.5,1.4200594887,27.1,37.311428548,18,421.74143,73023,75.664251208,43.612084862,0.6430138437,1.0761025796,5.9100537106,87.45933883,37520,12.526688806,15.227750036,88.058574879,15.292241298,18.064833534,24.807692308,13.345426276,0.3278489466,7.7,19.4,10.036422501
41011,Oregon,Coos,77.456496682,4.5948505443,5.1756082756,63.268547544,56.235431235,21.1,3.9314781896,27.8,34.197513486,58,468.23569000000003,50848,68.330996801,38.353187507,0.4836890173,1.2594458438,7.0451700638,84.685756672,48081,19.022809468,11.364399469,82.048240411,22.26533629,18.989154391,30.0,16.535285285,0.6026365348,9.0,20.4,8.78477306
41013,Oregon,Crook,79.259490997,4.3308220136,4.9653422725,73.0,59.242509893,13.8,5.3805001417,26.9,35.833464313,7,509.85859,68598,73.474694939,48.016970159,0.4142601075,0.6691894045,7.7872933679,87.755427206,17773,16.69789792,16.354121239,84.286857371,25.641025641,22.675927403,37.727272727,17.184154176,0.2094754201,9.0,18.9,
41015,Oregon,Curry,76.969830151,4.1541089149,4.8065965706,77.245145631,50.632307325,21.2,2.1252698151,26.7,34.208084266,15,454.83802000000003,48377,73.392029657,38.731890538,0.463419867,0.982621755,7.6593005793,85.303582922,18718,21.351016999,14.483727532,80.250231696,20.945945946,31.461656107,52.857142857,15.66091954,0.8244247146,11.5,18.2,
41017,Oregon,Deschutes,81.6885064,3.7122883979,4.4672466463,82.550604568,72.882756992,8.7,5.1341378502,23.5,33.89418489,203,522.87517,66467,67.932242991,27.643549543,0.4911557276,1.3133831262,8.3575772294,86.61043074,140178,12.181154452,7.7774039364,89.811786085,11.461484757,13.546760813,40.163043478,18.193735339,1.0203633328,9.3,15.3,9.8066828831
41019,Oregon,Douglas,76.778169665,4.4694119733,5.1106154283,68.952821869,56.064633169,18.5,9.6873672533,27.9,36.54469631,75,335.83564,52355,70.079028403,41.17789109,0.4238353507,1.1520778708,6.1797349233,87.25081714,81402,19.996183735,17.436948895,83.128405004,24.482794469,18.892293942,27.010309278,16.746252082,0.556689375,10.7,20.0,9.7943608226
