FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
5001,Arkansas,Arkansas,70.208546081,4.4873587811,5.8249362164,88.333333333,52.099802372,26.6,23.658697369,32.3,35.6,8.0,133.23643,52145,66.244854399,52.580325383,24.345930233,0.835755814,4.0515988372,68.435077519,11889,35.491312695,19.383225756,,45.759253862,28.628030277,85.294117647,10.316925152,0.2879138762,7.9,21.5,
5003,Arkansas,Ashley,71.884870665,5.2629327842,6.3855126278,92.5,56.054931336,28.8,9.444407986,37.8,36.4,8.0,81.72605,47253,74.325827078,62.312454097,23.395445135,0.3432494279,6.4781519015,68.088700011,13222,27.273575494,19.074041963,,35.565366691,23.469627241,20.5,11.01749838,1.2927416196,8.2,25.7,
5005,Arkansas,Baxter,74.473991032,4.6819682324,5.8772946194,90.550122249,60.893994256,19.6,5.6192546204,28.4,32.5,36.0,294.56816000000003,48573,74.349403291,57.280130684,0.4760221515,0.6480499588,2.8514198185,93.708024037,31982,18.530783406,15.833056255,,26.323443863,32.490491753,10.277777778,9.5327102804,0.1348550308,8.0,22.9,13.9905549
5007,Arkansas,Benton,78.501948461,3.7689047463,5.2804906885,89.991332611,65.316509888,9.9,6.6890514669,24.4,31.1,175.0,238.39162,86374,67.842056757,24.00424854,1.9830748556,4.7661814088,17.966869509,70.714481465,188577,11.265521531,12.998965886,,20.876632441,11.424368893,8.8495575221,11.127834638,3.7207318761,9.4,15.5,7.2202629048
5009,Arkansas,Boone,74.855603675,4.5917756196,5.8953112309,93.683294664,59.718212265,17.8,8.8325340069,28.2,35.8,23.0,148.88726,53025,70.129185341,62.673587884,0.530247623,0.7548845471,3.2650715704,92.68885174,26260,19.064032272,16.830990282,,27.154823021,18.109380659,6.1538461538,11.166500499,0.2194524942,7.9,21.4,12.345679012
5011,Arkansas,Bradley,71.322855563,4.8785324561,5.8980511302,89.636075949,40.338722094,25.6,10.207484005,36.5,37.7,6.0,69.06759,44982,64.928909953,49.947842579,26.975826344,0.5624074988,16.852491367,53.793783917,7105,31.720437213,,,34.740545295,22.400179201,15.0,11.806375443,1.0601427115,9.4,23.1,
5013,Arkansas,Calhoun,70.839457755,4.4083377418,5.3818172275,,37.488626024,19.6,24.688448274,30.3,35.9,1.0,,52535,86.448598131,100.0,20.170394036,0.2768903088,5.1757188498,71.735889244,3462,38.953811909,,,30.100334448,,0.0,7.4074074074,1.1774967292,9.6,21.2,
5015,Arkansas,Carroll,75.926865071,4.3080414222,5.3597916841,85.291970803,43.696111925,21.2,6.8550358313,30.5,30.1,19.0,86.98073,50433,76.446244607,82.105449398,0.6958458006,2.6581309582,15.98009881,76.27513743,20180,25.939941406,21.153823554,,37.593984962,19.113961687,8.275862069,14.259927798,4.3646511628,8.0,20.1,
5017,Arkansas,Chicot,70.976438423,5.329190464,5.9379410362,,49.670433145,37.3,16.10584628,39.6,40.5,6.0,577.3321199999999,38217,67.939121756,100.0,52.658766332,0.7799047908,6.4114250988,38.904081839,7065,19.150012995,,,39.919151086,27.378507871,11.0,11.358024691,1.0666942833,8.9,27.1,
5019,Arkansas,Clark,73.970494437,4.5658817504,5.6994381233,86.775956284,57.607223476,24.0,10.706435376,32.3,35.7,10.0,305.88235000000003,50519,62.401005657,52.970250863,23.247058824,0.8047058824,5.4023529412,67.971764706,12424,23.167812186,,,17.046117922,14.532507402,,16.316736653,0.5345233425,9.7,20.1,
5021,Arkansas,Clay,72.509920077,4.8465712185,6.2927582636,96.920731707,52.214242968,28.1,7.0996772649,32.2,33.4,1.0,98.14231,46855,73.478476002,100.0,0.9954433929,0.2733964248,2.495618647,94.167542937,10342,41.718410432,23.107496072,,41.522491349,23.273961913,7.8571428571,10.888030888,0.0,8.4,24.1,
5023,Arkansas,Cleburne,75.169252471,4.4937280384,5.9224096216,90.588942308,42.627135284,20.3,6.6200988478,31.9,35.0,17.0,122.60718000000001,52662,78.67494824,72.712557161,0.553709856,0.5181142224,3.053314349,93.497864262,18612,27.332828435,,,35.172565399,20.01889784,,8.59375,0.3477167993,8.7,22.6,
5025,Arkansas,Cleveland,73.368987141,4.5844207127,5.7919655716,,62.443946188,20.1,7.6178501897,31.2,36.8,,,55533,83.588621444,100.0,10.794160975,0.1874916298,2.9998660774,83.835543056,5413,32.029039663,,,22.196926579,,13.333333333,5.2050473186,0.0,9.3,22.6,
5027,Arkansas,Columbia,72.264733023,4.843201593,5.9436263759,92.5,57.222328793,29.9,8.6118965991,33.8,36.5,14.0,207.05798000000001,47278,72.323025811,54.374808122,34.862261433,1.0622974433,3.2229024127,59.043032049,14189,24.902969527,,,18.894242962,21.43641103,16.19047619,14.902424601,0.6471581317,9.8,23.0,
5029,Arkansas,Conway,74.092624452,4.6711423687,5.9223341231,92.637711864,52.588383838,26.9,9.7478411188,32.2,34.9,12.0,266.08382,52405,68.17857991,69.394158822,11.156514302,0.5844340967,4.7609997149,80.328803573,14483,21.157665559,,,30.45325779,9.5636123677,7.619047619,10.188457008,0.8557893128,9.5,22.7,
5031,Arkansas,Craighead,75.064040605,4.2989082078,5.6618518628,90.266088214,61.804931296,22.8,9.1221758572,30.5,35.8,138.0,409.67288,60580,59.689263536,33.668671503,17.666368776,1.3440455861,5.7708132405,72.913809427,71091,17.484884777,10.454158515,,27.19589714,17.43970585,11.370967742,12.605141571,0.9298059284,9.0,19.7,7.783467447
5033,Arkansas,Crawford,74.428528838,4.6965577206,5.9375687366,93.449681529,53.733324484,20.6,13.186038528,31.0,35.7,21.0,62.218579999999996,54741,75.540011438,49.40881047,1.5980352026,1.6815390913,9.1608677855,82.23495702,41093,13.945534686,17.108273989,,30.051150895,15.313642541,8.75,11.655931851,1.3667345935,9.5,21.8,10.684062059
5035,Arkansas,Crittenden,70.411163015,5.0054724608,5.9362964341,90.118508655,55.511578947,30.8,10.622443126,35.3,39.3,13.0,242.23880000000003,49644,56.184429978,18.375101219,55.064703257,0.713966979,3.1894774867,39.306432078,30572,19.208832517,18.868451948,,49.164801102,31.641880527,20.0,16.692954784,0.427821936,8.3,24.1,16.525267429
5037,Arkansas,Cross,71.927384391,4.7681321875,6.0730946193,93.009049774,50.268031189,31.6,14.551487695,34.3,36.6,7.0,90.356,48299,66.240097502,55.064456722,22.896211072,0.8493464249,2.2769712668,72.200469851,11566,28.180560537,26.400227448,,32.503660322,14.496080018,21.764705882,14.383561644,0.6215513414,8.6,24.0,
5039,Arkansas,Dallas,71.20601202,4.7088557811,5.9457456908,,58.126330731,29.2,26.792627756,33.6,36.3,1.0,355.35455,44476,71.559633028,100.0,40.009691488,0.4684219028,4.5873041512,52.043288645,4671,28.131090884,,,29.027576197,,,6.856187291,0.162707452,9.6,22.3,
5041,Arkansas,Desha,71.458592572,5.2218637901,6.1443076189,84.787234043,43.837209302,40.7,16.613151534,40.9,40.4,5.0,74.27351,41251,62.50271562,62.193944713,46.588060533,1.058397549,7.3530777087,43.18076316,7691,33.466372493,,,35.496593761,26.391259215,34.615384615,12.055335968,1.9965934898,9.1,26.8,
5043,Arkansas,Drew,73.456521355,4.7029935853,6.0258393859,85.320512821,67.37895591,27.3,9.2006050811,32.8,36.9,16.0,656.3775099999999,48635,67.105453493,54.040345821,27.337236119,0.8219502099,4.1866240908,65.826976524,10906,18.807303503,,,28.848223897,29.93978776,21.176470588,12.421929216,0.864871496,9.1,22.2,
5045,Arkansas,Faulkner,75.789809023,4.1233446073,5.4805005631,88.358965015,67.65026991,14.6,11.915398571,27.3,36.8,74.0,181.72561,63429,62.306945734,46.056616301,12.431754984,1.290878471,4.7326988603,78.705205029,77167,15.052782409,14.549032886,,17.747858017,16.440752635,9.7014925373,14.825903748,0.6943852773,10.1,18.7,6.5864471184
5047,Arkansas,Franklin,72.813758305,5.0669698464,6.4045028315,88.630434783,53.444302177,22.3,1.8894521931,35.3,34.5,6.0,11.580110000000001,48248,73.676360925,100.0,0.7874471658,1.1985409067,4.0240866192,90.336402061,12025,20.19174077,,,29.615795091,23.732836074,25.263157895,14.542728636,0.3320828977,8.9,25.7,26.55426765
