FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
4001,Arizona,Apache,66.094833518,5.32152214,6.4827815328,79.00752394,54.235802392,34.2,35.341359051,27.1,38.0,27,114.62281,40632,80.046497524,100.0,0.631189632,0.5180951217,7.2258222277,18.90665118,42220,63.329949034,26.744991284,,26.027680231,21.257961106,5.9139784946,27.946989072,4.7657473008,2.5,27.3,18.901720481
4003,Arizona,Cochise,76.705461843,3.9817950298,4.80900534,82.196354883,62.891927952,24.6,15.553432777,25.2,34.7,73,137.6698,55254,70.213365539,36.767718638,3.7433452965,2.2027167901,35.865767967,54.58169867,88211,14.493656195,29.51858353,,25.638032991,20.603916646,22.231404959,12.373563783,3.7415911024,5.1,16.5,6.74683742
4005,Arizona,Coconino,76.712354027,3.6155905077,5.7695657052,80.442773294,72.634214799,19.8,13.317311456,18.5,29.9,119,247.81341,64016,59.056026773,32.404325263,1.2231014855,2.1858947661,15.04789671,53.765792031,86631,21.012543181,24.825467682,,11.166205412,16.931625618,18.396946565,23.166377639,2.1227288908,4.8,16.2,4.6475428063
4007,Arizona,Gila,70.7179949,4.4683760705,5.9176874991,73.861524164,48.43503937,27.1,11.015265243,25.5,37.1,24,87.16293999999999,51928,75.627366382,44.35726085,0.6435221246,0.9346834316,19.305663737,61.783687549,39673,30.051992607,33.351862146,,36.408549028,35.276643149,33.829787234,15.627081021,0.5716643093,4.6,20.4,14.472994232
4009,Arizona,Graham,75.022930011,4.2900493884,5.3467206955,88.084886128,48.116391499,16.6,15.74426948,25.6,34.6,16,54.15302,63797,73.423198536,52.427789168,1.3048299337,0.8226101756,33.520719977,51.398953042,24362,20.529971893,29.035508719,,30.167597765,14.016071762,49.375,15.682819383,1.4948224029,4.5,19.3,12.402428448
4011,Arizona,Greenlee,77.993885409,3.5092213944,4.6742500128,95.367647059,53.141762452,9.2,14.048794021,23.1,33.6,6,,76338,56.204600484,100.0,1.6125564395,0.9782842399,48.785207482,44.033541174,5854,19.601043379,,,27.683341428,,28.181818182,9.559939302,0.898237635,4.5,14.9,
4012,Arizona,La Paz,73.978040219,4.3356457196,5.9276448342,83.321917808,41.922940969,30.2,26.486596307,29.1,35.4,6,102.99285,53925,68.364942206,43.419701637,0.9996364958,1.205622198,27.638434509,56.615776081,13188,41.79535859,33.900603431,,37.624492807,40.717016734,8.0,15.558912387,5.1335088379,3.3,19.7,
4013,Arizona,Maricopa,78.160544614,3.4326441799,5.1792793062,76.070690584,67.947945634,14.0,5.5091398411,22.0,32.2,3144,194.6381,83668,64.305939144,2.3046585869,5.9306069791,4.9458379215,32.091910314,53.001697893,2987215,11.984405024,33.448655981,,17.396992012,14.857080274,10.248827249,17.176388806,4.3568825814,8.4,14.0,7.8539548983
4015,Arizona,Mohave,73.769834334,4.310734994,5.8415854963,75.816372939,54.214150332,23.5,18.697614504,27.1,37.6,116,77.89291,54842,72.573001713,23.932441494,1.1824324324,1.3961850591,18.100590537,75.312477357,165754,19.744676231,26.117367431,,24.193548387,28.200020868,32.694610778,15.008571587,1.4511950445,5.1,19.8,16.438696842
4017,Arizona,Navajo,68.756275353,4.7390032829,6.0832425302,76.834751773,50.826076341,33.5,26.001611185,25.9,39.0,68,102.16291000000001,49948,72.309330494,64.25311806,0.8366313852,0.738150023,12.26507133,42.947998159,70604,37.196623171,35.025952419,,30.971753147,23.974543394,20.367647059,23.58192556,2.4480157821,4.7,21.9,18.457985433
4019,Arizona,Pima,77.12531728,3.7850950548,5.2465944282,72.526313402,67.563078011,17.9,8.9287254303,23.5,34.0,916,229.10428,64007,64.143946109,8.8419668536,3.609219769,3.4235157626,38.479212781,50.107082376,705718,13.492340613,37.589179379,,16.560360466,19.091109977,18.626262626,17.357765124,3.5020045553,3.8,15.1,7.4782821059
4021,Arizona,Pinal,79.416431287,3.8663870034,4.8733319354,79.645989613,54.622371859,14.6,14.213206997,24.3,37.0,80,87.47097,76232,79.646841376,23.032045976,5.2835912219,2.0835757098,31.729555277,54.569388608,302970,14.762541134,23.471583593,,21.024734982,15.590942983,17.318548387,14.413716442,2.7744852715,11.3,17.2,10.3761223
