FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
19001,Iowa,Adair,76.354774759,3.1543329152,4.3894710964,,61.506276151,11.4,2.305078824,25.4,30.9,4,13.34401,66997,70.657568238,100.0,0.813984521,0.5471043501,3.0290899386,94.315452362,5285,,,,19.485038274,,35.714285714,9.3312597201,0.0,6.9,18.5,
19003,Iowa,Adams,78.395132985,3.1348921121,4.4053169608,,70.930232558,15.1,2.0076700462,24.3,32.1,2,27.69316,58973,80.892974393,100.0,0.7754084741,0.7754084741,2.243145943,94.378288563,2644,,,,25.931928687,,,8.9230769231,0.1148435257,7.0,17.7,
19005,Iowa,Allamakee,76.920161625,3.2207028969,4.3714435382,95.923913043,62.072468676,15.0,3.4786026731,26.3,31.3,8,28.6533,60743,80.033500838,100.0,1.6189111748,0.5873925501,7.7793696275,88.99713467,9729,13.437942548,,,19.962335217,15.948732076,,10.849453322,3.2783127006,8.1,18.2,
19007,Iowa,Appanoose,76.122489139,3.5787024785,5.194123069,96.204268293,54.249126892,20.3,5.4893048905,28.4,35.1,8,115.75988,53589,69.291964996,57.22172607,0.7193649744,0.8930047958,2.5549859434,93.922606251,8720,21.865973093,,,23.095623987,,24.615384615,13.859480269,0.1712475383,7.4,21.1,
19009,Iowa,Audubon,79.021020384,3.1580897622,4.6717864438,,73.86569873,15.0,2.354763485,24.5,31.5,3,,60504,78.145956607,100.0,0.7681314755,0.6609503394,2.9296177206,94.569489103,4054,33.208164099,,,10.617760618,,,8.1784386617,0.1894298163,6.9,17.5,
19011,Iowa,Benton,79.744603472,3.1340587278,4.6384133583,90.911654135,70.965517241,9.0,4.2801148324,22.9,32.1,5,46.67263,82762,83.755190825,81.309872923,0.7467620863,0.6067441951,1.8980203026,95.278285559,17867,22.297662648,,,11.488063184,14.839808176,8.9285714286,7.423580786,0.2567713079,8.3,17.0,
19013,Iowa,Black Hawk,77.096225581,3.3669218651,5.0749023054,86.737519501,71.311041167,19.8,9.4668403417,25.2,32.6,124,236.42477000000002,62020,65.292134622,12.9666626,9.5521746473,2.7227228764,4.9718286074,79.350445983,82951,8.9846578848,10.958708605,,15.280493307,10.647391845,33.629032258,14.075393848,1.7655665745,7.7,17.3,4.12514192
19015,Iowa,Boone,77.842351166,3.0808332561,4.8905787837,96.963636364,70.175957415,9.5,2.3645556938,23.0,30.0,12,71.40441,74896,79.647480033,53.168631855,1.1762937352,0.593784058,2.9614040362,93.71641174,19033,11.336705553,,,12.08139042,,26.296296296,7.1759259259,0.0789639924,7.4,16.4,
19017,Iowa,Bremer,79.98265543,2.8269811012,4.1887428891,94.916267943,80.072028812,6.1,1.2981711949,20.9,29.0,12,178.15432,83797,83.560512185,63.346406275,1.4014806604,1.278752128,2.0586721565,93.823983531,16513,11.4395534,,,2.9594137542,,29.642857143,7.902892562,0.3642215822,8.1,14.9,
19019,Iowa,Buchanan,79.38185922,3.0036284785,4.6945441597,91.25,67.197712418,11.5,3.3805459138,23.6,32.3,8,140.00193000000002,70498,80.648379052,67.075127644,0.7820797528,0.588973641,1.8731292845,95.466834025,13831,10.842018242,,,7.96812749,10.424564064,25.384615385,10.716510903,0.1761110536,8.3,17.0,11.673819742
19021,Iowa,Buena Vista,79.958498391,3.0652473639,3.8826092693,67.973913043,48.741559239,11.6,5.6174031439,29.4,31.4,11,72.81553,67552,70.045104802,43.0437497,3.6165048544,10.665048544,27.86407767,53.995145631,13055,12.05913231,,,21.289295663,,50.0,12.129202373,10.629123591,6.8,17.2,
19023,Iowa,Butler,78.293849114,3.239654702,4.7170710394,,71.325376884,11.6,1.9074136187,25.1,30.9,2,35.041,67233,80.339099161,100.0,0.3924591772,1.1843857313,1.8992220898,95.360571869,10159,17.654847727,,,8.2248115147,,,9.4232331438,0.1980488521,7.8,17.7,
19025,Iowa,Calhoun,78.053542392,3.1653881881,4.2929041252,93.587962963,63.317855635,12.3,8.8495476301,25.2,31.2,7,30.84833,64634,78.712357217,100.0,2.6529562982,0.3907455013,2.4164524422,92.822622108,7078,14.670285337,,,15.845070423,,,7.9171741778,0.1606167684,7.0,17.9,
19027,Iowa,Carroll,78.591743519,3.0746952024,4.4811704142,95.947136564,69.376693767,9.6,1.9916404897,24.1,30.9,18,141.00258,73643,76.092456302,51.107899807,1.2155394564,0.6029075704,3.3111294793,93.727816405,14088,11.956674638,,,10.435992579,,24.545454545,8.1502890173,0.1485579632,7.1,17.1,
19029,Iowa,Cass,75.783627107,3.408331975,4.9581466039,90.204778157,63.187390543,19.2,9.12736186,27.8,32.8,6,442.61294000000004,61204,72.916305666,49.661004037,0.5265567766,0.5418192918,3.1517094017,93.605006105,9380,15.323657538,,,17.254601227,15.437339838,17.857142857,8.6440677966,0.1524390244,7.0,19.1,
19031,Iowa,Cedar,80.213700627,2.9525313427,4.4514167381,89.732510288,65.155350978,8.5,4.8358729431,23.6,31.0,3,43.48062,71563,80.607352158,100.0,0.804391543,0.7011250611,2.6414479048,94.265992717,13224,8.4951268863,,,8.5599194361,,7.0,7.8982597055,0.347083926,8.9,16.7,
19033,Iowa,Cerro Gordo,76.410605481,3.1219197552,4.6841304823,89.724358974,63.027731788,14.7,5.4731594156,24.6,32.4,61,332.47659999999996,63279,71.624678663,20.328332599,1.9689216912,1.2143648754,5.6992619491,88.761819425,30790,15.719116117,18.859176954,,17.420311342,9.3935522657,36.0,9.5115681234,0.2820909069,7.4,16.8,
19035,Iowa,Cherokee,77.883564737,3.2918433659,4.7080620895,96.622807018,64.967897271,12.4,6.0338979221,26.4,32.9,6,139.2394,65985,74.08127552,59.641447933,1.1052127752,0.9485684449,5.1779653642,91.28883474,8270,,,,18.121125417,,,8.1208687441,0.0454793524,6.6,18.6,
19037,Iowa,Chickasaw,78.478530971,3.0419181986,4.4778149598,93.333333333,61.056511057,9.8,3.1657151986,24.3,31.5,4,68.28269,74077,81.727642276,100.0,0.5974735405,0.3755547969,3.1153977467,94.98122226,8212,11.941296586,,,9.1853035144,,,8.2272282076,0.4918179379,7.8,17.9,
19039,Iowa,Clarke,74.753759669,3.6689019565,4.820212479,92.013274336,46.146146146,15.3,3.0609641369,30.6,34.1,5,30.95336,65129,72.441350864,45.804267542,1.1762278168,1.000825423,18.107717705,77.971522905,6309,25.797444535,,,22.1021611,31.692372702,32.5,16.708860759,1.9777777778,7.1,21.2,
19041,Iowa,Clay,78.149677293,3.2001347036,4.334209752,97.5,73.085399449,12.4,4.5675752376,25.7,31.8,14,400.60698,68542,72.705882353,33.062744141,1.0561456753,0.8619119879,4.4248861912,92.145675266,11256,11.446080158,,,11.726766344,16.101862862,40.0,10.501355014,0.291356426,6.5,17.5,
19043,Iowa,Clayton,79.397071812,3.3513653988,4.8644382308,91.407563025,57.286000573,12.6,1.0644948021,27.1,31.4,7,17.61908,64486,75.295086467,99.072933169,0.781112351,0.2760321842,2.3609561285,95.289833793,12308,15.536203442,,,7.7151335312,14.932059131,16.470588235,12.359550562,0.7741376107,8.4,19.7,
19045,Iowa,Clinton,77.050769458,3.6381993183,5.0694653043,91.565298507,62.916231857,17.9,8.3519334885,25.7,32.5,22,181.25324,61136,73.307604047,30.148514851,3.0920939064,0.7573795961,3.6078025203,89.979285344,32458,11.589287838,19.384853967,,22.171805713,11.167809219,28.333333333,11.758664955,0.6933357661,9.0,18.6,7.3504273504
19047,Iowa,Crawford,78.815693348,3.453250108,4.5015567445,92.266483516,56.459205021,15.1,11.377491575,30.2,33.1,3,62.023199999999996,67363,73.720630834,50.729198185,3.1693853501,2.7290206537,30.60224524,62.432549774,10648,19.475845717,,,26.999747666,,22.631578947,15.179968701,7.6823590274,7.0,19.1,
