FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
20001,Kansas,Allen,75.761484616,3.4838358214,5.2853893677,89.575645756,58.958485069,21.3,4.1826122851,28.6,35.7,8.0,190.79418,50995,72.796627183,53.337058917,1.9953891406,1.0493679943,4.2690197949,88.878289212,8542,11.41213795,,,25.445292621,19.294155479,,10.731707317,0.236386661,8.3,20.2,
20003,Kansas,Anderson,77.168054223,3.5488299361,4.7075522382,85.795454545,53.251533742,17.7,5.6260320729,28.2,33.5,3.0,51.440329999999996,59683,78.293838863,100.0,0.7973251029,0.7073045267,2.8935185185,92.399691358,5228,30.947916477,,,23.121387283,,,12.202852615,0.0,7.8,21.0,
20005,Kansas,Atchison,76.339359462,3.3593652785,5.3972734328,83.042763158,57.874481942,17.2,9.0620070265,26.7,33.1,8.0,198.65905,59085,70.188356164,33.282358698,4.3953315123,0.6083933449,3.4517010181,88.099081202,10037,21.121182786,,,13.930722892,13.605105625,,11.67218543,0.8277824484,7.9,19.0,
20007,Kansas,Barber,75.188221719,3.5546497703,4.9599753368,,57.02764977,17.6,3.2205164874,27.4,34.1,2.0,48.520140000000005,59845,80.745341615,100.0,0.9461426492,0.6065016982,5.6283357593,89.640950995,2848,,,,14.687882497,,,12.176165803,0.7808433108,7.1,19.5,
20009,Kansas,Barton,75.430608231,3.6959398527,4.7878247425,90.657320872,60.815862181,17.6,12.513001086,29.6,31.5,16.0,251.19617,56711,67.359522626,42.07821755,1.2519936204,0.4306220096,16.742424242,79.409888357,17360,14.74459092,14.350384199,,27.214334009,15.475085113,,10.20696143,1.9428045053,6.5,19.4,
20011,Kansas,Bourbon,74.827966005,3.4301614765,4.9806998789,97.052023121,61.700182815,24.2,11.182076537,27.4,34.3,6.0,82.79859,44954,71.046808511,48.19637883,2.9945490927,1.1453805285,3.380942524,88.849789554,9399,14.701846552,,,25.793650794,,,13.935810811,0.2444987775,8.0,20.0,
20013,Kansas,Brown,73.447927167,3.5290933484,5.0277089805,,63.395863396,17.4,13.682884983,26.6,33.4,8.0,331.05510000000004,56391,72.570960699,100.0,1.7086715079,0.9290901324,5.9803502777,81.204613413,6436,32.738095238,,,25.385764062,,,8.3888149134,0.123539982,7.7,19.9,
20015,Kansas,Butler,76.260144496,3.3302419337,4.9731357369,90.12794476,72.572743906,9.1,6.5182170661,23.2,34.4,53.0,136.2837,80214,78.154281099,46.101216978,2.2728604924,1.6031652989,5.8572684642,86.798065651,44550,13.000824806,16.849032667,,12.908124525,15.800378613,,13.307831689,0.2619690029,8.1,15.8,5.1308102616
20017,Kansas,Chase,82.845945638,3.434501189,4.7459981563,,56.0,15.1,31.688249923,25.9,33.2,,,58580,72.582159624,100.0,2.15855573,0.3139717425,7.2998430141,87.127158556,1817,,,,,,,7.8703703704,0.4493464052,7.7,18.1,
20019,Kansas,Chautauqua,76.005315028,3.8664994779,5.3021096535,,61.393323657,26.5,17.573231713,29.5,34.6,,58.56515,49457,81.330309902,100.0,1.4641288433,0.2635431918,5.0366032211,82.606149341,2411,,,,34.755134281,,,13.028169014,0.0,8.2,22.9,
20021,Kansas,Cherokee,72.297764903,3.6765769077,5.0155107433,88.406040268,59.914407989,19.9,17.927538844,25.9,33.2,4.0,162.4057,54965,71.498738882,100.0,0.9063285834,0.6286672255,3.5152975692,86.09597653,13410,25.061041537,20.425531915,,27.663465935,23.260517799,,10.24512885,0.0771519894,8.8,20.7,
20023,Kansas,Cheyenne,76.425636244,3.5503807694,5.0166951096,,73.6,19.2,8.3120766066,27.6,31.5,,154.85869000000002,56500,79.121789561,100.0,0.6968641115,1.2775842044,7.7429345722,88.966318235,1882,,,,24.27184466,,,9.0909090909,2.5131738954,5.1,19.8,
20025,Kansas,Clark,73.321175333,3.1186875357,4.5526152591,,79.310344828,16.6,33.325710428,23.8,31.2,5.0,,58914,73.729863693,100.0,0.5690636317,1.5519917227,13.347128815,81.169167098,1355,,,,,,,10.112359551,2.9572836802,6.3,16.6,
20027,Kansas,Clay,79.020269283,3.1509834199,4.5750017333,92.5,69.93281075,15.1,8.3594747304,25.1,31.6,11.0,87.0322,59021,71.400560224,49.106812862,1.1811513117,0.5221932115,3.7796841974,91.794106677,5667,,,,11.688311688,,,10.695187166,0.2104986186,7.1,17.7,
