FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
21001,Kentucky,Adair,73.649385601,4.9139406321,5.7389007133,96.0,53.276904474,31.9,3.403806555,31.9,39.3,5.0,272.72249999999997,44153,76.466264883,73.453949109,2.7639376934,0.6083809724,2.7324697121,91.902239471,12713,28.954089208,26.001490752,,20.057859209,12.449553372,13.333333333,13.090128755,0.061281337,7.9,23.4,
21003,Kentucky,Allen,73.665150266,4.9197406522,5.9452783087,93.0,56.590060892,21.5,8.6515194408,30.9,41.0,3.0,75.20564,61655,76.944728762,77.477171168,1.3066980024,0.4230317274,2.5992949471,93.945945946,14374,21.125656769,37.845935504,,31.286756057,23.703422774,11.818181818,14.779270633,0.399938471,7.9,23.7,17.539585871
21005,Kentucky,Anderson,75.026483625,4.3122133888,5.6526241697,88.0,63.483939287,16.6,2.3325396439,27.1,38.3,7.0,90.81902,66846,78.823529412,43.220694281,2.2498348745,0.7348084544,2.4562417437,92.602377807,16431,13.210953768,43.094160741,,25.776463131,14.805525074,18.4,9.9942889777,0.0267260579,8.6,19.7,
21007,Kentucky,Ballard,73.992929761,4.7594296011,5.5680036948,92.5,58.172231986,21.6,0.0074823204,29.9,38.9,,13.071900000000001,56605,80.398783373,100.0,3.6078431373,0.4705882353,1.7254901961,91.660130719,5559,34.150550004,,,32.047089601,,,9.5081967213,0.0,8.7,22.7,
21009,Kentucky,Barren,74.180770118,5.1138348001,6.0574278209,92.213235294,50.983032588,21.5,7.5933219132,32.6,37.7,31.0,225.17501,50658,66.246020919,62.101832078,3.9394479868,0.8605698488,3.8212868418,89.459134079,30860,22.032640709,15.778440639,,32.105149752,18.546161849,14.893617021,17.222541691,0.7764346123,8.2,24.7,7.6072534277
21011,Kentucky,Bath,70.596859721,5.0029819662,6.1718158424,87.5,44.651653765,29.8,0.9201715965,31.8,38.7,2.0,288.40907,48260,72.274979356,100.0,1.3874814873,0.5378439473,1.9097357549,94.699508925,8467,31.007751938,55.615879658,,37.078651685,,,10.235414534,0.1680954782,8.0,25.4,
21013,Kentucky,Bell,67.692374494,5.9599935526,6.5739489591,92.847003155,51.421052632,40.2,9.9935545792,37.9,42.0,12.0,42.43041,33923,63.092216582,59.268788646,2.6646300068,0.4667345553,1.4468771215,93.032926001,16982,30.552842778,51.743352969,,47.786512205,17.852291691,27.5,16.039980961,0.0,7.3,31.1,
21015,Kentucky,Boone,78.282046106,3.9202443974,4.7271072886,94.276209677,71.150267832,8.1,9.0562213244,23.1,34.4,81.0,141.63186,90265,76.161090608,11.465933161,4.8298620348,2.6298951062,4.8521492814,85.286103542,89976,8.8658425037,34.695820999,,14.686374834,9.2724145667,11.393939394,9.6644861785,1.3609337496,9.8,16.0,4.0787423878
21017,Kentucky,Bourbon,74.062855032,4.6122859994,5.7157598201,94.893617021,57.777777778,22.9,12.260506805,30.0,38.4,13.0,159.25944,56879,64.695673732,44.356112976,5.2903996417,0.5424774797,7.4901707062,84.516995969,13912,23.52488291,63.420007343,,26.787908577,11.984300566,13.80952381,12.640801001,0.5040428436,8.5,21.5,
21019,Kentucky,Boyd,72.4990704,5.0343178047,6.200981881,92.204238921,63.776641091,22.8,12.602038066,31.6,38.9,48.0,789.85658,55397,68.941887444,23.79146723,2.8185408439,0.6173352733,2.0868842237,92.567033881,34293,8.7137066606,83.609077962,,31.105078611,13.962225833,9.5744680851,11.007411474,0.2283305524,7.8,22.5,12.227074236
