FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
22001,Louisiana,Acadia,71.514626894,4.7338423779,6.4848836701,86.0,42.391819598,32.6,3.1856759817,33.3,35.3,21,125.12336,42981,68.388816159,61.687161317,17.275835331,0.3718454815,3.461158889,76.825743691,38069,19.246242925,35.310150013,,34.780698543,20.912914051,,11.747787611,0.4348391653,8.6,25.4,14.256137238
22003,Louisiana,Allen,71.905289093,4.4739819593,5.6348925034,99.5,39.567910561,23.8,11.243639793,32.7,38.5,4,112.00717,51423,76.008381351,70.549450549,21.25,0.6765232975,3.2392473118,70.371863799,15864,31.755572819,42.031618624,,43.305439331,20.803328533,,12.108174554,2.8546107561,8.5,24.3,
22005,Louisiana,Ascension,77.632235151,3.4743704972,4.9870088792,90.0,68.266453973,12.3,9.9343578448,24.3,35.3,57,120.34525,81284,83.268896612,10.836363636,24.752794003,1.4571739564,6.4909779393,65.692406752,83300,16.966639917,38.838696897,,17.369474506,13.623589721,,10.37928685,1.568571139,9.6,16.7,
22007,Louisiana,Assumption,74.288198834,4.7811415722,6.3519267346,93.0,43.579521611,26.7,0.5825324343,34.4,39.1,3,29.120559999999998,54403,82.911089866,64.499263273,28.421665696,0.6018248884,3.4750533877,65.759075908,14783,23.938303874,32.709770876,,24.351747463,12.840855935,,10.850111857,0.3959304365,8.6,25.3,
22009,Louisiana,Avoyelles,71.646364165,5.0209061691,6.187934365,95.0,48.315377081,32.8,11.565530051,36.2,38.7,11,185.80166,41587,70.212328767,83.165797496,28.951510929,0.5315991845,2.4334855875,64.860261671,26893,21.554161013,35.191795284,,46.358423814,26.395999761,,15.050936576,0.5249059769,8.4,27.5,
22011,Louisiana,Beauregard,73.975368802,4.1103035569,5.7455484706,93.0,52.051744248,17.8,20.597160929,28.4,37.5,16,73.83100999999999,64394,82.291896666,72.97053271,10.97894449,0.6426032267,4.153677878,80.732841127,24280,20.036064917,19.649523946,,33.400809717,14.504977356,,9.1600289645,0.2052665533,8.9,21.8,
22013,Louisiana,Bienville,68.645561421,5.0048044055,6.3185054036,,36.688963211,36.8,19.499213429,37.4,41.7,2,308.5199,41807,73.711627907,100.0,40.708804683,0.3876275611,2.4760699312,54.093821691,9118,19.231385621,,,43.808834178,30.327843994,,13.065755764,0.5575141428,9.7,27.4,
22015,Louisiana,Bossier,76.067476355,4.1462327638,5.7269445511,92.0,64.985887972,18.2,10.92777549,27.5,37.5,61,226.64686,63812,65.433392942,27.167445979,23.886104149,1.8719638603,7.145951298,64.278752437,86122,12.366372909,13.560807181,,23.953900041,15.823850773,,14.889112903,1.942521293,10.3,19.1,13.058312655
22017,Louisiana,Caddo,72.246969112,4.2441025116,5.8658538833,80.0,57.720437176,31.5,16.040535097,31.3,41.5,293,760.17902,47699,60.526065097,15.96565874,49.827311429,1.4932867591,3.3096823491,43.344613034,160866,17.934962534,12.240160388,,33.284508345,34.325381287,,18.595450049,0.4084103621,10.7,22.9,15.263944223
22019,Louisiana,Calcasieu,73.343367868,4.009084706,5.7087289556,94.581578947,61.647279616,21.1,13.031030974,29.1,40.7,162,281.10148,61797,70.792291778,25.040477893,24.385183136,1.5606319596,4.4230256203,67.247972018,139900,18.842971007,30.554157653,,33.63096587,17.001036768,,13.178195728,0.5964701204,6.8,20.8,7.9900497512
22021,Louisiana,Caldwell,72.085405717,4.8621174993,6.1696524791,97.5,33.156028369,28.8,3.871023687,35.1,37.1,3,146.53548,46464,69.639307015,100.0,16.192170819,0.4186728072,3.9355243877,77.611471635,6877,24.524654491,,,42.941757157,24.371420448,,17.692307692,0.1427316645,8.6,27.0,
22023,Louisiana,Cameron,80.185033318,4.1627629665,5.9482474852,97.5,53.835890594,19.5,5.8573058587,27.8,35.0,2,,63413,89.519852262,100.0,3.8759689922,0.4895960832,4.5695634435,88.147694818,3945,,,,22.794117647,,,5.3448275862,3.0700039108,8.2,21.4,
22025,Louisiana,Catahoula,72.559569578,4.8517064732,6.1287983223,87.5,40.223910436,36.9,13.608408867,33.9,40.0,1,23.348119999999998,41676,77.722772277,100.0,29.745505487,0.0817184217,2.0429605417,66.133551249,6294,23.853539269,,,47.2303207,,,15.169366716,0.1071556138,8.2,26.3,
22027,Louisiana,Claiborne,73.990429097,5.1862306776,6.0096225223,97.5,23.669775096,35.9,12.00543822,39.2,42.9,7,109.13852999999999,37788,72.055335968,100.0,49.461583236,0.6111757858,2.0008731083,45.881839348,10359,24.644930447,,,35.94351733,24.634054636,,11.703958692,0.044345898,9.7,29.3,36.656891496
22029,Louisiana,Concordia,71.124601087,5.2489925188,6.5360996296,84.130612245,37.724682157,42.5,20.781629476,40.6,40.4,4,540.95827,41101,72.754681054,34.136030395,38.794435858,0.640317951,2.3570324575,56.646058733,12394,30.871230219,,,47.790339157,29.170616854,,12.247946229,2.0196257417,8.3,29.5,
22031,Louisiana,De Soto,74.115060791,4.6691651331,5.9647963919,94.0,50.103672986,27.6,9.2570296612,32.7,38.0,5,245.78259000000003,52776,74.870542257,79.106370282,33.445052694,0.5027371243,3.5191598704,59.777306074,18435,21.988492689,20.723620051,,29.452290734,23.390445003,,11.415525114,0.4319911224,9.8,24.0,
22033,Louisiana,East Baton Rouge,73.863379881,4.0512600771,5.894106562,74.067141292,68.415045527,22.8,11.720667042,25.7,38.1,393,458.33480999999995,61376,59.801371755,6.8582099518,46.67291097,3.5397208708,4.7981995099,43.391988352,284666,17.244130974,46.058440209,,23.047657719,32.653053871,,16.420675413,1.6763027482,9.5,18.4,7.9582624624
22035,Louisiana,East Carroll,71.283905091,6.1733962507,6.5923677765,,25.0,48.2,21.806992531,47.0,45.7,3,500.71531,30688,61.402771945,100.0,67.711015737,0.5579399142,3.3762517883,26.78111588,4833,20.238408452,,,43.600562588,,,20.118343195,0.0,8.4,35.5,
22037,Louisiana,East Feliciana,71.383252712,4.1468657311,5.5998860861,87.5,39.917290272,23.8,0.4371358891,29.8,39.2,6,433.76012999999995,56830,82.398306366,100.0,40.799581918,0.3240135877,1.9545335772,54.962111314,14659,29.530974301,41.84465173,,26.640675763,31.226580065,,9.7004279601,0.3929378835,8.8,21.9,
22039,Louisiana,Evangeline,71.09077765,5.2295602277,6.6063376746,86.0,40.755320458,32.3,6.289346854,38.1,40.1,21,75.03282999999999,40933,64.594327177,74.970633694,26.861752017,0.5439879947,4.7301944601,65.972613018,20961,26.981999152,25.281637441,,38.062283737,23.488740461,,17.507059298,2.9630120642,8.4,28.5,16.280417149
22041,Louisiana,Franklin,72.358253537,4.9969433542,6.2351005921,82.5,35.306689464,35.4,13.032849081,36.5,39.3,11,160.55521,38584,74.767378216,73.996156569,30.945721981,0.4298736275,1.7712865134,65.594572198,13110,30.591482762,,,43.857634902,16.028530785,,17.121918721,0.1302012695,8.3,27.8,
22043,Louisiana,Grant,74.228441626,4.5278073948,5.9264409959,97.5,34.439178515,23.7,8.844325829,30.7,37.0,1,72.72726999999999,52832,81.842536092,100.0,15.131818182,0.6272727273,5.6545454545,75.781818182,15725,31.32892171,19.438089684,,43.275459964,17.905583856,,8.8589652729,2.1065675341,8.9,23.6,19.720930233
22045,Louisiana,Iberia,72.605785362,4.3520604928,5.672450539,84.0,45.969005746,33.2,5.8248367066,32.8,39.4,32,159.52697999999998,45077,68.538992357,32.437186289,32.318117289,2.6299998536,4.4930993604,58.218566599,45952,23.078976257,28.874473041,,33.082986779,22.22773166,,16.881419234,1.7422511234,8.6,23.5,10.374720358
