FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
24001,Maryland,Allegany,74.218229962,3.8143249809,5.5717884665,90.0,54.972942713,19.8,9.7444599284,27.8,34.7,36,393.95246,50582,70.104143908,34.985170176,7.5861863915,1.0896873653,2.2120802176,86.592236907,47914,11.101019275,51.392397768,,21.104401419,10.262491733,40.727272727,12.623310194,0.3333179731,7.2,19.9,5.1295752071
24003,Maryland,Anne Arundel,78.864046864,3.0742367311,4.4474797853,90.0,76.756809684,7.6,4.1371283192,20.6,33.7,397,264.96495999999996,112525,75.040143615,7.4823930194,18.886843782,4.647168482,9.4146836433,63.798404142,409052,8.0810003783,44.397599334,,10.401006887,8.3401887157,9.3554006969,12.234891141,1.4145499669,8.5,11.4,3.7935416355
24005,Maryland,Baltimore,77.02363451,3.0491342661,4.865486684,86.0,71.453828987,14.5,4.4240841728,22.4,34.2,734,406.89656,86198,66.525466281,7.1291404097,30.990083447,6.5781807481,6.5756989509,53.065078632,589611,9.0288711027,51.024831952,,11.814504246,13.449892665,15.809641533,15.230937545,1.9286769887,8.3,12.8,6.7667859949
24009,Maryland,Calvert,78.617151745,3.0684040006,4.9953176811,95.0,72.520670292,5.9,5.2296372326,19.1,34.9,45,235.79668999999998,118110,86.140487922,61.890648071,13.67197826,2.0449811257,5.1579203367,75.441193575,64176,12.250417134,36.490474913,,7.7633331802,6.6950305596,16.057692308,9.5515970516,0.3447028774,7.6,13.0,3.899424675
24011,Maryland,Caroline,75.633768745,3.8018641454,5.4998578447,90.0,48.932297986,19.5,4.0201799459,25.6,34.6,10,62.81219,65981,72.071922084,84.954795302,13.148685431,1.2143690366,8.9253133132,74.037627494,22837,21.101589079,53.847074309,,19.086096406,14.390128372,16.666666667,14.925986842,2.1473764939,7.4,18.4,
24013,Maryland,Carroll,78.253579154,3.0276692578,4.8586301436,95.0,73.958848551,5.9,3.0085234316,18.6,28.1,77,262.97025,105096,83.041157333,42.238751583,4.0991414962,2.5099112975,4.6330680813,86.49667722,120559,11.412581737,39.498486543,,5.9925681687,7.432558381,10.058479532,9.3617368593,0.6467792225,8.5,12.6,4.5934916815
24015,Maryland,Cecil,74.190678177,3.6359794989,5.4569578241,92.0,59.601492419,11.8,6.5409237665,25.4,36.5,41,252.52044,84513,75.143627027,48.348035671,7.736654533,1.5046406586,5.2057326904,82.805740314,72203,15.817164676,83.822566969,,16.742839042,12.602980896,19.090909091,12.387719533,0.9393837398,6.4,18.1,10.750237417
24017,Maryland,Charles,77.03648661,3.0008106917,4.5264035506,94.0,70.913561917,10.0,5.1839235776,21.4,40.4,64,199.29218999999998,112932,79.799003463,28.414867631,51.936485168,3.5137740885,7.4978542286,32.914956908,112613,14.583482483,30.419568445,,11.360654877,13.821040761,14.193548387,13.896149155,1.0371189446,8.2,12.7,10.242587601
24019,Maryland,Dorchester,74.795507987,3.9410212686,5.0666943753,80.0,51.782056534,22.6,4.9893125099,26.3,35.9,11,271.95502,54206,68.447336562,53.957763364,28.08164762,1.0939314307,6.4108048646,61.810181507,23327,12.884708517,55.052923518,,26.574633305,15.583023231,73.666666667,15.147004094,1.6523291673,5.9,18.8,
24021,Maryland,Frederick,79.947023987,2.711946205,4.5849371826,94.0,75.140347952,6.1,3.1136978411,18.0,31.3,157,290.16403,116796,76.421299216,27.541154952,11.19796293,6.3435500333,11.910658739,67.551440544,186771,7.5341001127,24.858832903,,8.6357493655,6.8586426137,4.5614035088,11.998939555,1.7175468933,8.5,12.2,3.6621507197
