FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
23001,Maine,Androscoggin,75.51059025,3.6604069935,5.3700325885,75.12907489,66.809421842,15.9,2.4671419852,30.7,35.0,82,513.16989,62848,66.448445172,45.3450184,5.1927483786,1.0847349654,2.1783176876,88.913760916,77350,12.141367751,45.141494183,,14.668776462,10.493604424,12.571428571,13.451693715,0.8504337592,5.3,18.6,9.9198396794
23003,Maine,Aroostook,76.649691394,3.7470535885,5.3057317758,87.636173184,62.415275855,16.5,4.856652675,32.5,34.6,75,643.8183,51562,73.519854978,85.631473065,1.0318935395,0.6155676158,1.7322132183,93.176715486,50230,12.286339497,34.376588049,,17.150715961,16.096243614,14.736842105,11.116742693,0.4718233943,6.0,21.8,7.117890054
23005,Maine,Cumberland,79.829386322,2.8565993088,4.6864135872,89.286774194,81.893460178,6.8,3.5127265914,18.9,29.8,506,805.9820900000001,88571,69.920582912,37.645552663,3.5986222195,2.5795980498,2.4576273943,89.122819571,222300,7.3073237774,31.391058001,,4.8621275593,7.2756571333,7.3622047244,13.822587835,0.9148228979,9.2,11.9,5.5457059783
23007,Maine,Franklin,77.268075157,3.5513250825,5.5138845883,82.12962963,61.26111817,16.3,5.5417093815,26.9,32.6,31,318.30413,52159,75.676115999,100.0,0.6333267704,0.5283192229,1.7359060182,94.782437488,21486,16.68661114,30.042727435,,10.076582023,18.696955735,5.0,10.865191147,0.4210083149,5.3,17.8,14.154511075
23009,Maine,Hancock,78.268425782,3.3113961834,5.2870903715,89.103585657,66.396727333,13.3,1.6490713217,22.9,31.1,59,446.20023999999995,63879,78.714517437,100.0,1.132255163,1.3315461808,1.8059646214,93.869596656,42391,16.638372767,25.862017117,,8.8572045798,12.700716683,4.3181818182,11.901306241,0.1643170572,3.4,16.5,6.3066614111
23011,Maine,Kennebec,76.783881328,3.3353115029,5.2915213244,86.842298289,63.685237818,14.4,1.9950000078,25.0,29.7,138,555.20153,63191,72.474369528,62.232898206,0.8355902501,0.9972916999,1.969093516,93.677712283,90019,12.175191642,40.839177483,,12.703231734,12.710890789,6.5740740741,11.465574707,0.4080526913,6.1,18.0,3.7546094536
23013,Maine,Knox,78.642451012,3.2257358287,5.1161817556,87.643008475,64.390973981,10.5,1.6617192242,22.6,31.5,44,536.87688,65615,79.212598425,64.222917231,0.7725196774,0.6510543193,1.8924302789,94.597220873,31106,11.78710348,31.455130911,,10.551344925,12.477042242,14.285714286,10.888825379,0.2348976153,5.5,15.7,9.6881959911
23015,Maine,Lincoln,80.041092342,3.1908715361,4.4735405386,85.325670498,62.773415592,11.9,0.924400504,23.2,29.1,39,212.61908,72657,82.799091368,91.296080824,0.7731602927,0.8642827558,1.8086428276,94.673477841,27325,14.878000397,36.10897308,,13.66172792,14.38575695,4.4444444444,11.362910948,0.2679070863,6.3,16.3,14.134849716
23017,Maine,Oxford,76.675969729,3.6993082735,5.5810401367,82.527982327,53.618803817,16.0,5.4968261182,26.3,33.5,39,287.41911,58842,80.34766855,82.768229572,0.5798806622,0.6689637785,1.7312379192,94.727288007,44069,16.080670539,28.042303818,,16.01288611,15.528325391,6.9230769231,12.5,0.09496506,4.5,20.3,12.956277577
23019,Maine,Penobscot,76.073743488,3.5245138724,5.1377640355,86.200374532,70.531926177,15.5,5.755577954,26.3,33.4,207,651.25176,60761,69.869832148,57.062135756,1.0058293864,1.2315879873,1.8646229116,92.929266642,110023,13.250397747,51.251949326,,10.264881128,13.559393434,3.6153846154,11.938168847,0.2653811339,4.3,18.8,4.9384124088
