FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
30001,Montana,Beaverhead,80.603466965,3.5298695053,5.0289445767,86.494252874,76.693897165,16.2,7.1374086501,23.2,32.0,14.0,205.78249,57497,66.423179937,52.737167858,0.3498302294,0.6379257125,5.7413314127,88.609939294,6523,,,,6.2604340568,21.142543025,,16.409036861,0.0220970059,3.8,17.0,
30003,Montana,Big Horn,65.047665368,4.7083567039,5.9271007805,69.587378641,55.472972973,26.1,23.667413124,29.2,36.3,7.0,108.94094000000001,49113,66.593042518,100.0,0.4279822582,0.7625865691,6.5987082717,25.6633725,7432,86.372568072,,,56.334157736,37.857564699,29.5,22.099447514,0.0331647459,4.9,26.7,13.051146384
30005,Montana,Blaine,68.472899835,4.5111071767,6.0258005214,,61.343115124,22.4,18.420228171,27.3,33.6,4.0,216.26298,53577,62.791721708,100.0,0.5046136101,0.2739331027,3.69088812,43.12283737,4353,34.099143259,,,35.267349261,,,19.166666667,0.2772643253,4.7,25.7,
30007,Montana,Broadwater,80.288746913,3.5662867616,4.9597409084,,70.772594752,10.0,3.8207479299,22.6,29.9,1.0,64.16014,67927,83.043175487,100.0,0.6544334659,0.449121006,3.3748235596,92.313614782,5080,,,,13.798701299,,,6.7761806982,0.0,4.2,18.3,
30009,Montana,Carbon,81.263106987,3.2520845991,4.7866594375,,60.358744395,11.4,3.3414548536,20.7,31.6,7.0,125.23482,67062,73.806451613,100.0,0.8855890509,0.7335182038,3.0593076304,92.63798193,8213,20.061253695,,,10.970927043,24.117396063,,10.828729282,0.5549065421,3.9,15.3,
30011,Montana,Carter,,3.6958890558,4.9727433021,,77.450980392,14.4,34.268155673,24.2,30.7,0.0,,50597,63.545150502,100.0,0.2894356006,0.0723589001,1.3024602026,94.93487699,994,,,,,,0.0,13.076923077,0.0,4.2,18.3,
30013,Montana,Cascade,76.165821528,3.8835935568,4.9563180067,82.595031056,64.624649099,16.9,9.8691567818,24.6,31.0,63.0,386.50075,59184,68.013419325,20.514369654,1.4305241327,1.1866044495,5.4546097285,83.99321267,57794,14.794109508,15.775231269,,22.502309621,21.923414206,50.632911392,13.1242741,0.0984463152,5.0,18.1,
30015,Montana,Chouteau,77.695022447,3.9107776357,5.2909463426,,54.855842185,24.1,22.463795793,25.0,32.7,,84.7745,51137,68.452380952,100.0,0.1865038996,0.6103763988,3.1875211936,76.687012547,4079,34.751526585,,,,,,8.4782608696,0.0,4.7,19.6,
30017,Montana,Custer,75.820034066,3.3828476538,4.6973242838,92.5,62.141623489,14.8,4.5418035142,22.3,32.5,8.0,374.00266,64743,67.293835068,22.246566108,0.7729388298,0.6482712766,3.7732712766,90.118018617,8580,15.85829999,,,20.435362061,,61.0,13.753877973,0.4658521579,4.7,16.4,
30019,Montana,Daniels,82.931583756,3.5855072416,5.0337635398,,73.720136519,10.9,5.2158852855,23.0,30.4,0.0,61.425059999999995,57141,80.672268908,100.0,0.1842751843,0.1842751843,4.4226044226,90.110565111,1180,,,,,,0.0,8.6549707602,0.0,4.5,17.9,
