FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
37001,North_Carolina,Alamance,75.954972557,3.3539757857,5.2270430447,87.52218256,62.121717581,15.0,11.111975905,23.0,32.0,67.0,183.72242,61034,66.033842957,26.44459353,21.347524567,2.0390920483,14.194258107,60.03923948,115744,13.688923939,27.781447433,,16.139908207,14.581078502,18.062015504,13.772821022,2.8277317666,8.3,17.1,6.2389750255
37003,North_Carolina,Alexander,74.593109846,3.5787142552,4.9974735061,87.0,52.943898207,20.9,7.5938642901,23.1,33.4,7.0,79.42594,67717,81.244095633,89.084622983,5.546121823,1.2187773883,5.4803900088,85.760845749,26366,19.542176615,14.339230342,,19.379844961,18.794872759,18.148148148,10.747330961,0.5024548508,8.4,18.4,
37005,North_Carolina,Alleghany,77.234187285,4.1586497214,5.3228335654,87.5,52.081488043,25.3,1.9906552446,27.2,33.0,11.0,241.39473,49524,80.514482479,100.0,1.6092981672,0.7957085382,10.058113545,86.240500671,8508,23.29885965,,,36.464088398,21.593608292,,13.3,1.5183146707,6.9,21.7,
37007,North_Carolina,Anson,71.83531132,4.0620576012,4.8710755541,88.0,35.697859544,32.6,4.6267575376,29.6,39.0,10.0,90.08197,48284,67.408661989,77.76921333,46.941716962,1.6214755427,5.2292586253,43.923970813,15790,25.046890108,25.494667365,,32.148179689,30.71278565,35.882352941,18.96991331,0.6352818471,8.4,22.1,
37009,North_Carolina,Ashe,76.300300129,3.7865854355,5.1853468542,85.0,63.957968476,20.6,10.580773209,23.0,30.7,13.0,169.67909,54379,79.76824833,100.0,0.7893766138,0.5201032829,5.6584286241,91.552932497,20539,16.923158284,13.566847558,,25.106382979,20.718334246,13.888888889,9.7181320993,0.9604541743,6.6,18.6,
37011,North_Carolina,Avery,75.892068941,3.60685599,5.0732380811,91.855828221,55.848623853,20.5,0.1933960905,23.1,31.1,4.0,495.13403,53894,78.552692486,100.0,4.0236753742,0.7398554436,5.3212679984,88.367195948,13603,17.851636671,,,19.640387275,18.175002556,31.111111111,11.796042618,0.8685955749,6.4,18.4,
37013,North_Carolina,Beaufort,75.058025974,3.8064059763,4.9912670795,85.721247563,62.038834951,28.2,9.1894394512,26.2,34.9,23.0,194.2537,54415,70.777988615,63.027411986,22.91290206,0.6189013372,8.5042464763,66.188561619,32694,18.299433633,33.204605334,,24.168202016,20.627239989,29.696969697,16.295746785,0.9908429209,6.6,18.7,
37015,North_Carolina,Bertie,73.459690409,4.2045985699,5.1629949217,82.5,49.200463499,34.9,24.485355139,31.5,41.2,5.0,63.8051,44434,74.928407789,100.0,59.918793503,0.8062645012,2.6276102088,34.651972158,13425,30.719203998,32.629976071,,31.960461285,18.198556961,,20.911360799,0.0234452846,7.0,23.1,
37017,North_Carolina,Bladen,71.74167437,4.0057766027,5.0186403734,91.87431694,54.891896096,27.5,7.2511461904,29.1,38.1,7.0,98.48536,46002,69.673282979,100.0,32.051891598,0.5128030972,8.6021870543,54.737485567,21347,40.020010005,52.544189664,,29.721079104,19.77432551,11.25,16.461366181,1.5471711382,7.0,20.7,
37019,North_Carolina,Brunswick,77.79173383,3.1647434958,4.3340906205,84.0,64.15521549,16.5,8.6126302836,18.7,32.8,63.0,116.94455,73536,83.736353936,36.381526486,8.9106517535,0.8303716093,5.272957717,82.631448283,111828,16.676578218,30.728729528,,22.756860907,14.352401185,16.052631579,14.760582345,0.4443387674,6.3,14.6,7.3479538775
