FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
39001,Ohio,Adams,71.374451486,4.565422275,5.8204032766,89.943396226,51.00081367,26.0,11.1845875,32.3,39.9,12,204.23048999999997,49068,71.459459459,100.0,0.5506929249,0.3646973012,1.177972283,95.842450766,18788,19.572293873,55.575020237,,34.700826982,18.086976653,9.0322580645,13.949013949,0.0193117299,8.4,24.8,
39003,Ohio,Allen,75.247579326,4.0358439079,5.3511446555,81.705516014,60.441363469,17.0,4.0023735402,30.6,37.2,66,270.97859,60384,67.494783356,30.975676575,11.862730554,0.918755872,3.7363398111,80.073183998,68467,12.499496548,26.47050173,,26.723352566,13.675560991,26.481481481,11.712370506,0.3147833519,7.4,21.9,8.0780942146
39005,Ohio,Ashland,76.007114355,4.009788173,5.5572451682,89.619565217,55.45152779,13.8,1.5133460761,28.0,36.6,23,247.21642,62037,77.907998828,63.380174271,0.896878174,0.7933922309,1.8723290086,94.760545026,35796,14.729512587,25.131626896,,14.123471171,8.2540754498,16.363636364,12.070226774,0.6320069239,9.0,21.1,
39007,Ohio,Ashtabula,74.246596272,4.695287448,6.4538549726,84.931795386,46.679955703,22.5,9.9565004906,31.4,39.2,28,218.52515999999997,52468,73.355988482,51.987209708,3.6860659286,0.5009586245,5.0291710475,88.122332859,68664,16.09943008,40.193616429,,24.233856717,16.036480938,17.0,14.709309854,0.5683975312,8.3,26.8,9.4769096082
39009,Ohio,Athens,75.805308828,4.206574884,6.1851259341,89.611005693,69.588666763,22.7,10.97970372,29.0,37.5,39,688.3806099999999,48265,60.658931893,48.696961445,2.6382271656,2.7874328151,2.0634463114,89.869275505,36121,10.932522286,30.073004812,,7.7821011673,9.2228517673,30.909090909,19.276841171,0.6602732751,6.4,21.0,3.322354289
39011,Ohio,Auglaize,77.231889283,3.5330865787,5.0959541426,93.532310178,65.343196929,10.5,2.1704784288,25.4,35.7,16,67.46757000000001,71669,77.288153569,38.70578605,0.6681466005,0.6093845216,1.9543832158,95.259858971,31516,11.220930776,11.638310408,,17.918260519,9.6045123745,28.62745098,8.5,0.1979514328,9.4,18.8,
39013,Ohio,Belmont,74.559294492,3.8557086589,5.284928204,88.938461538,54.817724316,22.6,6.9086881179,29.2,41.0,18,248.82076999999998,55573,74.524524525,61.509541784,4.4909859714,0.5434367797,1.3005846525,91.694271016,48858,9.5309097995,33.704417291,,22.114962703,14.058345123,25.862068966,7.1400853706,0.1764390813,8.7,22.2,15.719467956
39015,Ohio,Brown,73.423203666,4.4005323849,5.7889834304,88.318996416,50.384577938,21.8,2.7618252493,29.9,38.2,11,425.82417999999996,64034,74.578370091,95.796318344,0.9684065934,0.3846153846,1.3072344322,95.817307692,30495,17.360883636,50.571612468,,24.800611821,14.700072582,19.787234043,11.819202695,0.0509622152,9.0,24.3,7.2562358277
39017,Ohio,Butler,75.724303246,3.7769268824,5.1996448331,88.181970885,64.058039451,13.9,9.4298960949,27.3,34.4,203,282.42624,74841,69.493413406,9.610689702,9.6622213068,4.6828175686,5.6554760311,77.215127954,250309,9.1558391084,49.869889631,,15.130687225,11.706567853,17.777777778,12.143390059,2.0675565912,12.0,18.1,5.2953321728
39019,Ohio,Carroll,75.633715611,3.9094648556,5.0983211934,93.47,47.074468085,17.5,1.9024164015,27.9,37.1,7,52.5151,62482,76.574196389,100.0,0.6676919614,0.3601035298,1.4291608838,95.772534604,19215,18.377719903,17.390872276,,20.718965823,13.336494576,19.62962963,9.0828533451,0.5743509048,9.1,22.5,
39021,Ohio,Champaign,75.997196957,3.8911456409,5.4499914852,92.184115523,55.366231467,14.1,1.2145288629,26.8,37.3,6,108.5019,72784,76.313092493,70.617864338,2.0124518846,0.4701748947,1.8600325506,92.978377122,27213,12.138064972,32.605711148,,22.015540381,13.907632715,34.761904762,7.5624797144,0.0545732373,9.7,21.3,8.7257617729
39023,Ohio,Clark,72.943187277,4.0449594684,5.4039076165,81.041666667,57.360945602,20.4,8.0313503534,28.6,40.6,61,201.73402,57264,68.53993397,25.385107462,8.9015137468,0.7557609155,3.9961136534,82.943091722,93613,17.281667861,50.829512855,,30.356157268,20.670651096,29.927007299,12.431644185,0.7296019998,10.5,21.9,8.5145439141
39025,Ohio,Clermont,76.741214106,3.6081700537,5.2105410002,93.196969697,66.233124168,11.4,9.6611051958,24.8,34.9,138,123.33673,79492,73.775268401,26.269289217,1.9344892199,1.4634377742,2.3666421574,92.383007993,145158,9.5953675234,41.057289353,,16.335376226,11.517626324,16.216216216,11.752473376,0.2732891541,9.9,19.7,4.7775628627
39027,Ohio,Clinton,73.63408773,4.0935331071,5.5901851685,89.105851979,59.0596448,16.6,12.326188286,29.1,37.7,26,312.17234,65927,70.713849908,70.141367985,2.1256314937,0.6243446764,2.2757601754,92.319607282,28281,13.275330351,51.631147085,,23.686607956,11.430803157,57.111111111,11.857825568,0.3683427101,9.4,21.9,6.0970551638
39029,Ohio,Columbiana,74.452787328,4.120273797,5.6524150196,89.645537948,52.525862069,22.1,6.1277100292,29.2,38.9,30,130.33399,54167,73.190952947,55.49731539,2.3838186865,0.3472256768,2.0933032205,93.305210375,73589,12.386158676,47.977233817,,22.321888855,14.31223814,13.917525773,10.184962767,0.1375416244,9.4,22.5,5.9907834101
39031,Ohio,Coshocton,74.348496708,4.4587861117,5.5699686402,90.618622449,48.962997879,18.6,2.7829949699,33.0,39.0,13,95.70425,50731,71.660221182,66.311591828,1.1347789232,0.4621147904,1.309780974,95.168302754,25230,16.79615329,31.00294528,,21.998409754,18.595493327,11.794871795,12.379972565,0.3990562465,8.9,25.1,
39033,Ohio,Crawford,73.86542183,4.2038681359,5.3442367479,92.236547085,53.89391707,22.5,13.626245013,29.1,39.7,15,144.50171,55912,69.429766623,34.084473528,1.2330812581,0.7128751024,1.9989403208,94.537835364,29418,15.054521318,29.698360972,,29.460093897,12.026053242,30.0,9.648633575,0.6434289188,8.9,23.1,9.1135458167
39035,Ohio,Cuyahoga,75.673155392,4.0036719217,5.7891238932,81.484945108,69.957479683,24.1,3.3131970928,24.4,37.5,1390,480.64748999999995,60808,58.445642001,0.5655363582,29.499992314,3.5387175668,6.8629600474,57.72057723,889511,8.4156277634,43.207226058,,19.34741275,20.790647368,14.526129318,15.946777152,1.7555101243,10.9,18.7,7.3027228509
39037,Ohio,Darke,75.843685895,3.899727231,5.4206580159,93.742307692,54.140406162,12.9,3.493969159,26.5,37.3,24,75.68554,65643,71.773042899,71.729534897,0.7529740534,0.522036135,1.8960197171,95.249277106,35316,16.914937276,29.23691648,,21.006913668,9.7361882434,26.666666667,9.5654227681,0.180750113,9.7,21.6,6.6168224299
39039,Ohio,Defiance,76.371382565,3.7922903487,5.3051973528,96.43776824,60.473334761,13.2,5.7335315549,27.4,36.0,21,238.30099,63904,77.407941292,53.573107663,1.7492864064,0.5446879828,11.197527955,85.023699165,26294,16.864038375,27.190835811,,19.470228662,7.8810487049,43.170731707,9.4897627559,0.9201518805,8.8,19.4,
39041,Ohio,Delaware,81.177038004,2.8065966619,4.4050881145,95.805285659,85.367487025,4.5,4.7167885741,18.6,33.6,326,144.05911,121528,78.878607117,20.329341877,4.4556686817,8.9692261463,3.1586948068,81.184819882,143354,6.0490725798,15.38530874,,3.7789144209,5.3396341016,7.6691729323,8.8227069351,0.7637259618,10.0,11.1,1.9432349621
39043,Ohio,Erie,75.312886558,3.7123967954,4.9622139748,78.507980846,63.532780529,15.9,6.89552766,27.7,37.3,58,275.16409,67925,71.382736816,28.188886832,8.6602864391,0.8228077475,4.9341619576,82.083461967,54257,9.9440456202,33.656888219,,19.546200109,10.476295367,69.420289855,11.893358876,0.4161237443,8.8,20.1,10.827285922
39045,Ohio,Fairfield,76.723308335,3.8412032423,5.3258807281,93.458578431,67.828894674,10.3,5.9900952271,24.8,38.1,90,168.20342,82447,74.883776374,35.589380887,9.9338236197,2.8668246387,2.6881852448,81.984431976,107962,13.0848493,32.403255377,,13.254497562,9.8876609597,8.8888888889,10.995268968,0.8928630877,9.7,18.1,5.6891216377
39047,Ohio,Fayette,72.901129622,4.2246989744,5.8206766048,90.150429799,46.797101449,20.1,3.8719745508,30.5,38.9,9,162.97375,56901,64.500860585,48.088148941,2.2746974583,1.2621796872,2.4792815285,91.383196366,19802,16.933704547,40.692942681,,29.580797836,8.3665671975,49.0625,12.01533873,0.1722495052,9.2,24.4,
39049,Ohio,Franklin,75.899346492,3.5286190874,5.5414755626,82.671641284,71.92005847,20.8,6.5436190709,25.4,36.9,1342,427.66791,69762,53.461868922,1.3726321133,24.153061688,5.9931004221,6.3992071538,60.0,884031,9.9545054874,55.81920231,,18.014649884,16.16127767,19.695550351,15.134765569,2.5529447546,10.0,17.0,6.2488421473
39051,Ohio,Fulton,76.936720895,3.7833655524,5.1091927077,91.937602627,59.1522158,10.3,5.9241403141,26.7,36.3,16,156.50566,75383,81.694232023,82.152974504,0.7469588106,0.5430271988,9.3713689502,87.785444974,29212,18.913743199,22.140513185,,17.318864409,7.581860399,20.869565217,8.8661037394,0.8684616533,8.9,19.3,
39053,Ohio,Gallia,72.5511472,4.3840167067,5.6209913307,82.678571429,58.547766933,28.2,6.7033148177,30.9,41.5,22,502.27054,51449,75.891356277,80.366187543,2.1535709371,0.7327645521,1.5652951699,93.047337278,19986,15.313422694,78.777375138,,28.503937008,20.831933338,24.193548387,12.103873239,0.1348838905,8.4,23.1,
39055,Ohio,Geauga,80.006418259,3.3194531219,5.0993927656,95.498357065,67.883719685,6.6,4.0487556076,21.8,33.2,66,256.62781,101636,87.070015005,78.55383293,1.3177052237,0.7196053169,1.8938084614,95.004661199,66126,9.1102891606,17.346053773,,4.910352284,7.6525081095,9.2233009709,11.428976066,0.6410185564,9.1,16.4,7.029608405
39057,Ohio,Greene,77.548355568,3.3391561185,5.1344634792,89.780626781,78.600598319,10.7,6.2173362159,24.9,35.3,151,360.92511,82769,67.038111763,22.424776443,6.927031391,3.1640309636,3.3059077741,83.233604027,113708,7.7684158407,27.390727746,,10.864232144,9.2612601488,18.205128205,10.012895396,0.4069143903,10.3,15.9,3.2481060606
39059,Ohio,Guernsey,73.189352034,4.3377855063,5.332036359,87.209762533,48.221343874,21.0,12.510739541,30.3,36.5,14,262.48097,56004,72.607485308,62.4668297,1.5565121529,0.5092130821,1.3097800409,94.180796892,26855,12.482698613,37.950336809,,27.10688592,14.944139836,38.461538462,14.496768236,0.0884760009,8.6,23.9,7.4840764331
39061,Ohio,Hamilton,75.831727485,3.5526777393,5.5693240546,82.335804831,72.248014122,18.1,7.9209877923,25.7,38.3,906,470.76677,67033,59.167094703,2.3820215521,26.211309311,2.9702910294,4.0729082453,63.98125175,560476,7.7424327354,46.717638996,,20.358774567,17.179430723,33.337408313,15.27902725,1.2189995797,12.0,17.2,7.6585839868
39063,Ohio,Hancock,76.898167264,3.6444919049,4.881556512,91.322818086,69.128090128,11.5,3.8278323486,24.9,35.2,39,216.40105999999997,72658,68.851099129,31.808595836,1.9128785349,2.119928935,6.3303990062,87.618386076,51383,12.476960159,28.337893963,,16.365398871,9.0059068154,18.266666667,9.5096814491,0.6310266591,8.8,19.2,
