FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
45001,South_Carolina,Abbeville,73.323629932,4.3139462682,5.8200033199,89.0,54.457973291,23.5,8.8290117287,28.4,37.4,13,61.58647,50325,76.018711019,78.97921383,25.61175891,0.3572015109,2.0569880112,69.859582854,17149,23.215726333,25.94565069,,18.841345307,19.592956332,,14.382490881,0.3708175233,9.2,21.1,
45003,South_Carolina,Aiken,74.198702895,4.0219487597,5.3871994365,90.0,62.045542448,24.7,9.2278567624,24.8,41.4,58,167.67155,67728,75.303369463,37.019572532,24.540338788,1.2391616423,6.5099052541,65.143841516,120157,18.558979594,37.314665635,,21.60233721,24.996391366,,12.429502673,0.7096046043,10.2,17.1,7.7680094476
45005,South_Carolina,Allendale,69.5425891,4.9183427148,5.8548580063,77.5,41.035422343,51.2,1.2912218429,36.6,43.2,4,184.72093999999998,35249,66.863354037,100.0,71.28908827,0.9763821085,3.602058319,22.694286845,5670,37.54489063,,,33.354714561,44.411200972,,16.642335766,0.3108003108,8.6,25.7,
45007,South_Carolina,Anderson,73.737568599,3.8131405167,5.5065112592,88.543050699,62.911948794,20.8,12.318030335,27.1,33.7,136,180.837,62708,74.743776541,41.656603737,15.615919382,1.1942876501,4.5934507422,76.458743875,140512,23.285274521,30.302092311,,23.878001471,22.012516534,,12.475360844,0.8796864402,9.4,18.8,12.674726105
45009,South_Carolina,Bamberg,71.845309315,4.2062472254,5.8080953602,87.638888889,55.360281195,39.3,15.523045502,30.7,40.9,5,46.4828,37952,73.752711497,100.0,57.692903626,0.9296560273,2.8819336845,36.543229005,8978,32.280517699,,,16.288384513,25.781686409,,12.327416174,0.3623759256,8.4,21.2,
45011,South_Carolina,Barnwell,70.812131938,4.6395970244,5.6812200991,80.10261194,50.746268657,33.5,0.0137425108,34.4,39.2,5,191.04536000000002,45080,71.146008152,100.0,42.652101499,0.8621534241,3.0126383854,51.131576369,13769,29.070553557,30.521598047,,34.157585918,32.47125339,,16.089965398,0.2127218014,8.9,24.0,
45013,South_Carolina,Beaufort,81.280364266,3.2883938485,4.8563587674,89.0,63.478797542,18.2,13.102042243,17.9,34.2,133,185.36342,83687,75.546884238,18.601196043,15.981993268,1.5109155629,11.193098777,69.402814061,136528,14.341834981,20.534022632,,18.457728634,14.134867577,,14.603260137,2.1133370731,8.5,13.9,9.9819546016
45015,South_Carolina,Berkeley,77.209234635,3.8511065293,5.0496998805,84.0,67.763962653,12.4,9.0239465126,24.1,34.6,78,150.54035,79259,73.955242761,22.069859611,24.066874187,2.7399160401,7.735897551,62.333089912,154846,18.991738272,27.405276943,,18.537011609,17.461915037,,12.909102331,1.2007350875,8.2,16.3,7.9785035138
45017,South_Carolina,Calhoun,73.852986209,4.1328147558,5.6720061574,87.5,61.940058008,24.1,0.2724689817,29.4,36.7,3,21.158050000000003,55642,82.759200134,100.0,38.472388744,0.5007405318,4.4079272163,54.742929685,10500,40.167331224,,,21.953896817,24.82895608,,14.389067524,0.2146875925,8.2,20.3,
45019,South_Carolina,Charleston,78.076717852,3.0314429298,5.0880372456,85.0,78.237345588,15.0,5.9883202837,18.6,34.6,512,434.79402,79969,63.243982654,9.0599777089,23.812783373,1.9874594244,5.5924575283,66.69592324,295540,15.305942515,32.275953771,,15.582268015,20.392691025,,16.510617465,1.5874000765,7.1,13.6,6.9262634631
45021,South_Carolina,Cherokee,70.989590408,4.3349422655,5.8370859829,85.0,50.809950824,23.3,5.1500799034,30.6,36.2,19,76.62016,50403,70.833333333,66.127081258,19.944405837,0.7145275387,5.3616293366,71.787744338,38207,25.899504892,17.577987672,,32.496757953,19.30834015,,9.9615014437,0.9519844049,8.8,21.4,12.082092023
