FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
51001,Virginia,Accomack,74.099651928,4.1576767589,5.1228096518,85.0,44.583212315,22.6,0.8994451457,28.4,38.8,12.0,129.55319,56357.0,66.867808027,90.354053811,27.398993703,0.8978337501,9.6682835708,60.06447531,24396.0,19.678411034,27.607361963,,25.940560041,20.275625626,9.0,14.772727273,4.019877821,6.9,19.8,7.7569489334
51003,Virginia,Albemarle,81.905358302,3.057793021,4.778499479,,80.749882378,8.5,3.5266637922,16.6,30.3,158.0,211.29097,94727.0,67.234448457,40.374571823,9.357919919,5.8786037334,6.0593360923,76.008870728,76936.0,8.3932444873,11.69355685,,4.3924717107,10.182984596,7.7,12.907031619,1.6659335311,6.4,11.1,1.9061583578
51005,Virginia,Alleghany,73.563356326,4.0939061788,5.6681712256,87.5,49.388429752,18.8,7.8947574046,24.7,37.4,6.0,33.70408,52412.0,83.21445554,53.136701044,4.4826423997,0.3707448601,1.8200202224,91.027974385,11161.0,14.170862817,22.448200777,,19.503546099,22.79462047,27.692307692,9.2649310873,0.0825877495,6.7,19.3,
51007,Virginia,Amelia,73.354136939,3.9694742373,5.612979533,87.5,36.662412253,14.9,6.1539265812,25.9,36.9,1.0,74.32181,65835.0,84.404716622,100.0,19.063545151,0.5871423263,3.8201412114,74.30694909,9801.0,31.77176914,43.117660486,,11.865793781,24.442407577,13.333333333,15.094339623,0.882072473,7.7,19.0,
51009,Virginia,Amherst,75.767939277,3.9580542082,5.5262335717,93.0,56.871699729,17.2,3.8668218081,24.7,36.8,7.0,50.65054,61271.0,75.703527547,62.366243971,18.132894362,0.6078065149,2.9187375352,74.845674127,22321.0,14.908381221,30.673224391,,18.099547511,18.377110991,,10.238486842,0.265332169,7.4,18.2,
51011,Virginia,Appomattox,77.591913168,3.9690873815,5.3561257384,92.5,60.047468354,16.1,2.0415933563,25.2,37.4,2.0,47.7669,62375.0,77.781178271,100.0,17.560305708,0.4000477669,2.4301409123,76.773346071,11491.0,19.870301125,,,25.247682966,15.03213118,,9.0909090909,0.0327911857,7.3,18.9,
51013,Virginia,Arlington,84.717971149,2.5882614777,4.0384830989,91.0,91.848568631,7.1,0.0781377444,14.2,28.4,180.0,267.94872,131020.0,42.243004139,0.0,9.964957265,11.268376068,15.598290598,59.873504274,173124.0,2.8630150838,11.268780126,,6.6818526955,3.1291969297,6.7045454545,15.537958658,3.5874901917,8.0,7.9,6.9119144603
51015,Virginia,Augusta,78.56189156,3.8211561997,5.4484573753,92.0,51.994609164,10.1,7.5045913262,23.0,34.7,41.0,81.98401,77487.0,78.729704552,84.264457264,4.6538737446,0.7327321172,3.8801496208,88.993646239,57106.0,16.994695767,14.36875449,,12.265613986,14.726533532,15.652173913,8.9673462622,0.779929982,7.1,17.6,8.7057457922
51017,Virginia,Bath,75.730972396,4.5450530308,5.9541463316,,66.962305987,15.3,10.482476842,26.7,36.5,,24.69746,59763.0,71.128608924,100.0,3.7046184243,0.5433440356,2.3956532477,91.553469993,3217.0,,,,32.626427406,,,11.202185792,0.40302267,6.1,21.7,
51019,Virginia,Bedford,77.839784589,3.5563978528,5.1209554834,89.0,68.583856936,9.9,1.4753635376,20.7,33.8,60.0,113.79379,71135.0,84.250999692,70.734439103,6.8993667128,1.4508707698,2.7533148625,86.89516129,58099.0,15.598247192,22.181393577,,12.93911739,15.670019714,12.894736842,7.8599840891,0.4276924288,7.6,15.3,
51021,Virginia,Bland,75.743079398,3.879996365,5.3430960559,92.5,41.762452107,16.7,5.1961147263,23.6,36.1,,81.32726,55722.0,85.1901566,100.0,4.1802212101,0.5692908263,1.0735198439,93.005855563,4995.0,,,,14.783526927,,,8.3870967742,0.0,6.8,19.2,
