FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
6001,California,Alameda,82.203733125,2.9852217523,5.0707797597,86.571078893,78.648858028,10.3,1.117399283,18.2,29.9,1847.0,750.95289,121190,54.189355738,0.4905629199,9.8753404702,34.467098466,22.221526498,28.761317547,1193888,6.5183258939,18.104422778,92.848973572,7.3861493603,7.9522135726,,23.318358268,7.3510200555,9.4,9.2,4.5383570513
6003,California,Alpine,,3.6167546738,5.5417637012,,57.272727273,26.6,16.785138519,16.9,32.2,0.0,336.13444999999996,71646,82.75862069,100.0,0.5042016807,1.8487394958,13.193277311,62.100840336,1068,,,85.517241379,,,,10.126582278,1.7391304348,3.6,13.1,
6005,California,Amador,78.816769487,3.6366344998,5.505525309,88.883381924,57.73402127,12.0,0.0956320635,18.2,33.8,19.0,292.18584,74356,79.009209273,69.229628898,2.6514053897,2.0259828069,15.956727519,75.299430117,31901,22.304533671,25.599947148,85.900285805,10.383100609,21.596861926,,18.12057932,1.0522004045,6.4,13.3,
6007,California,Butte,76.553001245,3.7667003028,5.7574983538,87.160340633,71.272948884,18.7,6.4508673972,20.0,33.7,122.0,854.7874400000001,63353,58.118796433,21.016670447,1.7187402015,5.5310342832,19.101026034,68.110447027,138986,17.771321723,38.266959682,89.767039931,11.863930278,12.899838207,,20.886981402,2.5343230768,7.1,14.6,7.9750729668
6009,California,Calaveras,78.620318565,3.9589632763,5.8072538197,92.42997543,59.707563764,16.2,5.9895027663,19.6,32.4,18.0,227.64856,73175,82.067682289,81.974741676,0.8461654103,2.1905805038,14.943195241,77.535811696,35412,24.710279789,23.838074461,85.475055239,12.520193861,18.719580681,,18.101415094,0.5798027757,5.5,14.7,
6011,California,Colusa,79.507424274,4.2564311711,5.4993333023,93.846153846,51.047957371,13.7,12.356254156,26.0,33.8,6.0,228.16464000000002,72963,63.051668461,42.703420486,1.0586839463,1.6701651912,61.732225974,32.577347814,14021,25.078535414,15.379410046,80.287944026,17.816091954,,,16.507503411,14.634986226,7.0,14.4,
6013,California,Contra Costa,81.558972184,3.0749585602,4.6407106229,89.640535228,71.945035385,10.0,2.8674706151,17.5,31.7,1178.0,401.99970999999994,119667,67.163561685,1.0001483798,8.5804595814,20.241303547,26.95048947,39.808689279,808485,8.6335796665,19.121661064,94.686650169,7.754407905,8.0833648168,,20.315089129,5.9230655226,7.8,9.6,4.9784053156
6015,California,Del Norte,74.614696887,4.3502819983,5.799220601,83.87394958,49.898083979,22.5,14.445116634,23.4,35.0,17.0,505.87106000000006,57297,68.121720881,43.697509282,2.8875267705,3.5078650026,20.766560815,61.310095266,19672,20.10599468,29.804482594,89.569779643,26.54508612,17.244104672,,18.561958185,1.6374494317,6.1,17.4,
6017,California,El Dorado,81.127153894,3.2002237049,5.424733266,93.859306302,72.709055332,6.5,4.258567239,16.6,31.6,146.0,425.13211,104859,76.120494747,36.672333081,0.9203409362,5.569801605,14.067252889,75.318459766,140802,13.095201361,20.725782355,91.791461631,6.3595553655,9.8054146752,,17.617679256,1.2442808941,7.0,11.2,6.3928490609
6019,California,Fresno,76.637940556,4.1358421723,5.1877773578,87.650734204,58.02567539,25.1,5.3493111124,25.1,32.7,685.0,480.69819,68693,54.176274339,11.265012581,4.6385405688,11.907032181,54.9854707,26.673824604,624392,16.599465681,16.724183701,85.331833804,22.311505224,11.706426828,,25.966236153,10.202054758,11.7,13.9,8.8204926496
6021,California,Glenn,76.244868451,4.3385965463,5.6172924541,89.272486772,46.270757107,19.2,8.7453033087,25.3,33.7,5.0,183.49271,63247,60.624101827,41.211052322,0.7798440312,2.99940012,44.602844137,48.537351353,18475,17.701442415,33.925667692,85.855060563,18.114874816,15.534309641,,21.781693588,8.0118917698,7.8,15.7,9.7532989099
6023,California,Humboldt,76.4417762,4.0669044447,6.2382124278,90.129100084,68.227153023,20.5,4.5402601268,20.0,34.8,83.0,588.84527,57660,56.821726764,31.534555154,1.2858306792,3.113843419,13.225686986,72.056884675,93612,18.480697646,33.427963967,88.775116983,10.890929596,14.559423035,,24.667405765,1.7226741583,6.8,15.6,11.305425503
6025,California,Imperial,77.448199817,4.5076216012,5.5468453497,82.711376641,56.838611249,27.5,7.6487355607,30.0,34.7,45.0,196.40429,55523,57.676930929,18.40547128,2.2634055721,2.1061702282,86.067046046,9.1190903851,110201,12.075159582,20.87439709,87.41281048,23.279001214,6.6225896533,,26.425606292,19.772766936,10.8,14.2,6.3922782735
6027,California,Inyo,77.034281314,3.6368617511,5.3819687466,86.675,67.646418463,13.5,7.7716449439,18.3,33.0,13.0,507.53285999999997,64332,65.970187285,42.085612116,0.9189015921,1.7950635752,24.751576023,59.215728176,13867,11.767290072,45.409136318,82.532806727,24.0,,,15.021998743,0.9329608939,5.2,13.1,
6029,California,Kern,74.924741666,4.277881936,5.4651475065,84.710835265,51.385375702,23.6,7.8299011918,27.5,34.8,439.0,241.67455999999999,65981,59.630124793,13.35287357,5.1288712685,5.7533609574,56.751605706,30.439315015,553334,18.944934453,41.004149326,87.978695419,25.538305288,15.413207012,,24.007969147,9.9658082645,12.9,16.1,11.479944675
6031,California,Kings,77.328676491,4.3015810555,5.2491528659,88.913503423,50.055554391,21.3,6.8228258687,25.8,35.2,57.0,235.97701999999998,63683,54.879111804,10.913788807,6.2471810225,4.4554552526,57.288813644,29.238271419,95084,14.981739239,16.555029135,86.702298481,26.359473383,8.5465365489,,20.593968582,10.241010731,12.3,15.1,9.8876667447
6033,California,Lake,74.634465498,4.3117214948,6.078908659,78.404441454,55.677343135,22.8,1.8896755599,23.6,32.4,29.0,379.81552,51848,69.543549666,40.787524023,1.7377659808,1.5324602953,24.746667449,65.793139857,48945,27.03498723,80.958958868,83.486238532,24.917365878,17.77728737,,20.246961976,3.0970073686,3.1,16.3,12.241054614
6035,California,Lassen,76.492909301,4.1596496059,5.6055252568,87.466960352,39.735566329,17.0,9.3014496691,22.2,35.0,9.0,317.68325,60308,68.694677871,72.51756798,7.0993846977,1.8291867309,20.271535581,64.158640984,23744,20.649021695,30.933993259,85.871148459,24.956597222,16.055178437,,14.612868048,2.3074391047,6.0,17.0,
6037,California,Los Angeles,80.055852613,3.5446901294,5.0732126297,86.377807176,66.254232144,18.1,1.4529508488,21.8,34.0,7411.0,445.90458,82455,46.152871776,0.8909518655,7.9087242666,15.790795275,49.033518504,25.19995087,6909650,8.9175955497,18.818116929,90.209042688,12.058662604,7.9431762186,,31.870469812,12.49158869,13.4,11.0,7.0649995113
6039,California,Madera,77.365887046,4.4520648121,5.6527776612,85.28822314,49.919055328,31.3,5.4188903903,25.8,35.3,75.0,187.82448000000002,71273,65.48327519,38.607404563,2.9677515974,2.9596395767,60.839531749,31.026607428,99045,19.294565212,18.33516685,88.945892332,23.267719559,10.899044433,,24.471672662,12.40309548,10.0,15.7,8.273381295
6041,California,Marin,84.703879478,2.8489316198,4.4296695536,91.489707476,79.474116053,8.1,1.1658245282,13.3,27.7,388.0,906.18628,135960,64.06772797,6.0128621041,2.4306884672,7.0983290237,17.108562679,69.713457648,191565,5.1680808332,20.995306325,94.773838336,4.6574404988,5.1658268985,,21.83508103,4.2665596146,6.4,8.9,3.9604736883
6043,California,Mariposa,78.512311572,3.7932667548,5.557167069,87.5,73.058984911,21.3,2.6113538803,18.6,32.3,4.0,334.90012,66513,73.765960247,100.0,1.1809635723,1.8448883666,14.764982374,76.645123384,13371,28.808718341,33.00330033,83.427668817,19.630484988,18.486424032,,20.905035054,2.3953544641,7.1,13.7,
6045,California,Mendocino,77.247675093,3.9944440383,5.6831664205,85.406380753,58.448126385,22.6,5.9221340266,21.4,32.3,71.0,662.70898,63621,60.896489857,48.464536413,0.7362195516,2.4336455676,27.955180825,62.197743448,65163,21.788051043,59.065179941,85.603495674,19.136522754,16.145941115,,23.679203864,4.4291829561,6.0,15.1,12.254901961
6047,California,Merced,76.885047459,4.2915198365,5.1780663445,91.26159373,49.015115023,26.0,7.7115431857,27.2,34.3,120.0,239.98841000000002,65253,53.354277429,16.798955911,2.9291689367,7.9834076976,63.199017978,24.023323012,168503,20.073051384,18.141008996,89.167472209,20.612035424,9.9221256932,,21.8990222,13.696567067,9.6,15.2,10.196734611
6049,California,Modoc,75.799244181,4.1630069288,5.8259006616,87.5,58.454356846,28.0,17.175960327,22.2,33.5,4.0,399.48301999999995,51166,75.139582721,100.0,0.8459640465,1.4451885795,16.014569381,75.314299142,6511,19.46124779,,79.253599765,23.943661972,,,12.378303199,2.5507105551,5.8,16.9,
6051,California,Mono,98.902937928,3.5197392459,5.2428090048,95.625,70.656052704,10.6,17.237467154,18.0,31.9,11.0,246.57111999999998,79105,68.390279554,46.60856385,0.8013561412,2.1806133457,27.346278317,65.20265064,9628,10.14888413,,89.713137219,11.097410604,,,16.361886429,3.9558707644,8.5,12.4,
6053,California,Monterey,81.298455227,3.8328829392,5.25100633,86.118230218,51.405452171,16.4,5.0809179784,23.5,31.1,283.0,457.19381,91450,52.193200125,14.253305545,2.2494674928,6.8144749548,60.824797047,28.128162122,279734,11.133286457,19.964800521,91.802890672,22.030898566,9.0082098803,,29.397289168,16.897849449,5.5,12.4,7.5543184103
6055,California,Napa,81.353002523,3.3099431008,4.8897809003,90.909247559,66.265833868,9.3,2.6299629965,18.3,31.3,134.0,672.37528,98580,65.1712788,14.725508807,1.9932985853,9.3924050633,35.96798213,49.973194341,98232,8.6160208754,14.149240332,92.602299972,7.9637466262,7.098301333,,22.408992472,7.4891447845,5.9,10.7,2.3600439078
6057,California,Nevada,79.977868852,3.4133766422,5.4920766761,89.688102894,71.745785169,11.8,8.6130407022,16.4,30.4,75.0,1072.40965,80069,74.852106725,48.204731957,0.5533125434,1.7342340141,10.397583412,83.601028418,79007,14.135950721,31.699070161,90.295786551,8.0230279275,13.337102226,,19.821581327,1.1772140287,6.3,12.0,7.0323106163
6059,California,Orange,81.777468014,3.0891471769,4.4722929492,91.383668413,73.393974637,11.0,1.1212585853,17.0,32.1,3156.0,381.82474,106047,56.54758667,0.2498282862,1.7541660531,23.314284409,34.024131882,38.002826874,2197677,7.1033226185,20.956098603,93.606968487,8.5382567016,4.9097592544,,26.173076923,8.8332123078,9.4,9.7,4.6719943796
6061,California,Placer,81.770060302,3.1914302007,4.7669632455,89.945914622,80.106643959,5.5,5.1065319918,15.4,31.3,503.0,377.23926,106114,73.816188859,14.581248657,1.9170743851,9.7481401339,15.493139799,68.361929473,286915,8.0034458472,17.139386888,92.713243344,5.3381630999,7.3762076658,,15.959235494,1.7479872761,7.2,10.2,6.0535907792
6063,California,Plumas,77.467381788,3.6625166543,5.6680069927,82.5,73.291457286,18.0,1.0710775193,17.9,32.8,15.0,279.05535,66725,74.321322804,100.0,0.9198491034,1.1472275335,10.459407783,81.933750194,15236,22.680708545,31.201788903,84.353405726,14.424584509,12.600409513,,15.006002401,0.5966332836,12.2,13.9,
6065,California,Riverside,78.530495952,3.8109271077,4.8467662166,90.36025204,57.67928387,13.3,6.9654696598,22.2,35.5,1136.0,269.6954,86350,68.51165904,5.4734852792,6.2949138648,7.8022492403,52.0314871,31.311668773,1594000,12.722317809,26.758768956,91.731868753,13.524085737,8.6315228911,,24.476687737,7.4549817772,12.7,12.4,8.2723100102
6067,California,Sacramento,78.42732168,3.5960919869,5.2860491697,86.968541653,67.945616527,15.4,4.2269674461,19.8,33.7,1415.0,438.65269,83985,58.288641071,2.3992227399,9.6627948155,18.259983625,24.47813333,41.449933688,1077155,11.930464027,23.573841121,92.613716977,12.528660334,9.920590243,,21.197399182,6.2511966948,8.4,12.7,6.9452172593
6069,California,San Benito,80.422762074,3.5972202787,5.0407052604,87.004514673,58.071360768,8.3,2.6969636936,21.3,32.5,18.0,122.81922,106560,65.922828934,22.735130589,1.2030364462,5.433640628,62.448393732,29.364151586,42300,18.450482365,17.567427922,93.073745718,12.375275366,8.5609108809,,22.267536705,9.0644045462,4.9,11.0,
6071,California,San Bernardino,76.07008169,4.1048259976,5.2230022834,87.606287903,57.353819216,18.2,8.5285613952,26.2,36.9,1292.0,296.49134000000004,78779,61.083178771,5.3814674554,7.9603638857,8.9019882789,56.234933827,24.689149074,1388742,15.18348069,20.246868591,90.583063607,17.27904258,11.098886118,,25.30737865,7.5472801103,15.6,12.5,8.7634894891
6073,California,San Diego,80.814367636,3.4466826661,4.7613608082,86.643521254,74.063325501,12.6,2.7630608032,17.4,35.0,2773.0,499.17466,98365,54.241239448,4.3946372953,4.6844705831,13.139214604,35.005072938,43.381708365,2257620,8.2562374907,22.326391965,93.66518239,10.456168187,6.725618506,,25.225412464,6.0371442595,13.8,10.6,5.3425700276
