FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
35001,New_Mexico,Bernalillo,75.992843351,3.5937323711,5.3475137439,74.940071556,70.838065317,17.0,6.0333507998,21.1,32.3,716.0,539.0270499999999,65034,63.373948309,3.9814086606,2.6984065617,3.1156506688,50.908241984,37.1055809,469743,16.272185607,53.312237738,86.493534214,17.256038253,24.597024645,7.3715124816,17.766851356,3.3479414716,8.1,13.6,8.1748338273
35003,New_Mexico,Catron,79.622157696,4.2557835926,5.6981210311,,30.641821946,35.7,44.098763899,25.7,33.3,,52.26026,44247,87.321317589,100.0,0.8361640972,0.3396916645,19.597596028,73.556310426,2925,,,61.71535115,,55.413942148,,10.03236246,0.3857812069,3.7,21.0,
35005,New_Mexico,Chaves,72.93632088,4.1451605144,5.2370286469,68.61160221,53.657218352,22.9,16.333986217,28.9,35.6,40.0,148.68376,47855,67.388316151,25.056402228,1.6026543963,1.3052868814,60.360910258,35.036153629,41749,16.939607001,30.419427187,75.012886598,35.148215366,29.674507743,24.25,15.207275804,4.157531198,6.1,17.7,7.8334159643
35006,New_Mexico,Cibola,71.54690335,4.6204050329,5.693690751,72.0,56.02152021,38.4,21.920997951,29.2,37.4,13.0,371.05751,45674,71.061053668,63.300456352,1.1428571429,0.7235621521,38.371057514,17.747680891,18386,29.157919291,24.933614252,67.811422944,30.149907361,18.682928287,10.0,16.94411415,3.405925054,4.2,22.6,
35007,New_Mexico,Colfax,75.325881489,3.7385646044,5.0938293353,77.137096774,60.481642321,26.3,14.63506183,25.2,31.8,5.0,1028.9074,49966,71.706613804,54.557197061,0.8574228319,0.9880777397,48.734280581,46.431487833,9233,18.781988073,38.634544802,74.878356461,24.293505206,24.784785446,25.0,12.111017662,0.5223691971,4.0,16.6,
35009,New_Mexico,Curry,74.181746019,3.9516975155,4.6991327925,79.442930153,63.103350369,22.2,12.932073875,25.9,33.0,20.0,658.50374,52463,59.341785811,18.823043568,5.6572414373,1.8892535555,45.569300682,44.035597071,29818,15.621700277,29.503382597,87.181008902,45.989201697,18.775893386,16.037735849,16.460794844,4.2358598683,5.7,17.7,14.465849387
35011,New_Mexico,De Baca,71.481427473,4.1767631033,5.2429124941,,60.278745645,30.9,7.7929088912,26.5,33.8,1.0,1122.2681599999999,45208,67.746288799,100.0,0.8269344359,0.413467218,44.890726521,50.620200827,1139,,,74.898785425,,,,6.3063063063,0.6779661017,4.5,18.5,
35013,New_Mexico,Dona Ana,76.922466913,3.6125143768,4.9440070534,79.439169617,65.822689988,31.6,16.507741703,23.3,33.4,137.0,349.248,52011,64.064463395,22.486233894,1.6871364798,1.4193796818,69.122894997,26.104049038,134344,13.00434529,20.575976035,83.504739597,25.534191498,14.441541918,20.528455285,18.937295392,8.5742607771,7.3,15.7,8.319875977
35015,New_Mexico,Eddy,73.004954877,3.5955484449,4.8808923125,66.089159068,60.742467719,16.2,10.171611164,24.2,32.6,18.0,140.72848,65063,73.413205303,22.022338479,1.2897350993,1.0231788079,52.652317881,43.033112583,39653,24.271547127,28.123224721,81.517861076,38.10953811,32.116329445,25.441176471,10.928074246,3.2058383892,6.7,15.9,8.7119033928
35017,New_Mexico,Grant,75.29336288,3.6548291622,5.2952805377,84.494680851,57.325875135,27.2,10.706927381,24.9,34.6,18.0,624.86455,47099,71.484236628,40.422210396,0.8524163837,0.9824460016,49.819403309,46.073827927,20381,15.994551533,30.527266955,83.421891605,24.841341795,27.021697693,34.583333333,16.398434102,1.1365335726,4.6,16.0,
