FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
51001,Virginia,Accomack,74.09965193,4.157676759,5.122809652,85,44.58321232,22.6,0.899445146,28.4,38.8,12,129.55319,56357,66.86780803,90.35405381,27.3989937,0.89783375,9.668283571,60.06447531,24396,19.67841103,27.60736196,80.57816447,25.94056004,20.27562563,9,14.77272727,4.019877821,6.9,19.8,7.756948933
51003,Virginia,Albemarle,81.9053583,3.057793021,4.778499479,,80.74988238,8.5,3.526663792,16.6,30.3,158,211.29097,94727,67.23444846,40.37457182,9.357919919,5.878603733,6.059336092,76.00887073,76936,8.393244487,11.69355685,90.05473417,4.392471711,10.1829846,7.7,12.90703162,1.665933531,6.4,11.1,1.906158358
51005,Virginia,Alleghany,73.56335633,4.093906179,5.668171226,87.5,49.38842975,18.8,7.894757405,24.7,37.4,6,33.70408,52412,83.21445554,53.13670104,4.4826424,0.37074486,1.820020222,91.02797439,11161,14.17086282,22.44820078,78.31669044,19.5035461,22.79462047,27.69230769,9.264931087,0.08258775,6.7,19.3,
51007,Virginia,Amelia,73.35413694,3.969474237,5.612979533,87.5,36.66241225,14.9,6.153926581,25.9,36.9,1,74.32181,65835,84.40471662,100,19.06354515,0.587142326,3.820141211,74.30694909,9801,31.77176914,43.11766049,79.06047927,11.86579378,24.44240758,13.33333333,15.09433962,0.882072473,7.7,19,
51009,Virginia,Amherst,75.76793928,3.958054208,5.526233572,93,56.87169973,17.2,3.866821808,24.7,36.8,7,50.65054,61271,75.70352755,62.36624397,18.13289436,0.607806515,2.918737535,74.84567413,22321,14.90838122,30.67322439,79.00911613,18.09954751,18.37711099,,10.23848684,0.265332169,7.4,18.2,
51011,Virginia,Appomattox,77.59191317,3.969087382,5.356125738,92.5,60.04746835,16.1,2.041593356,25.2,37.4,2,47.7669,62375,77.78117827,100,17.56030571,0.400047767,2.430140912,76.77334607,11491,19.87030113,,78.24024484,25.24768297,15.03213118,,9.090909091,0.032791186,7.3,18.9,
51013,Virginia,Arlington,84.71797115,2.588261478,4.038483099,91,91.84856863,7.1,0.078137744,14.2,28.4,180,267.94872,131020,42.24300414,0,9.964957265,11.26837607,15.5982906,59.87350427,173124,2.863015084,11.26878013,93.98847475,6.681852696,3.12919693,6.704545455,15.53795866,3.587490192,8,7.9,6.91191446
51015,Virginia,Augusta,78.56189156,3.8211562,5.448457375,92,51.99460916,10.1,7.504591326,23,34.7,41,81.98401,77487,78.72970455,84.26445726,4.653873745,0.732732117,3.880149621,88.99364624,57106,16.99469577,14.36875449,84.53220655,12.26561399,14.72653353,15.65217391,8.967346262,0.779929982,7.1,17.6,8.705745792
51017,Virginia,Bath,75.7309724,4.545053031,5.954146332,,66.96230599,15.3,10.48247684,26.7,36.5,,24.69746,59763,71.12860892,100,3.704618424,0.543344036,2.395653248,91.55346999,3217,,,73.07086614,32.62642741,,,11.20218579,0.40302267,6.1,21.7,
51019,Virginia,Bedford,77.83978459,3.556397853,5.120955483,89,68.58385694,9.9,1.475363538,20.7,33.8,60,113.79379,71135,84.25099969,70.7344391,6.899366713,1.45087077,2.753314863,86.89516129,58099,15.59824719,22.18139358,85.03537373,12.93911739,15.67001971,12.89473684,7.859984089,0.427692429,7.6,15.3,
51021,Virginia,Bland,75.7430794,3.879996365,5.343096056,92.5,41.76245211,16.7,5.196114726,23.6,36.1,,81.32726,55722,85.1901566,100,4.18022121,0.569290826,1.073519844,93.00585556,4995,,,63.62416107,14.78352693,,,8.387096774,0,6.8,19.2,
51023,Virginia,Botetourt,78.29359074,3.363942128,4.806711538,93,64.71449488,7.7,10.8473376,19.9,34.6,19,49.80226,81122,86.69866832,59.43862365,3.078951223,0.981397393,2.220594698,91.87344368,24891,9.830530208,26.75439466,85.69216476,9.028309105,14.33803103,17.5,7.175398633,0.129882178,7.2,15.6,
51025,Virginia,Brunswick,74.54497885,4.407381077,5.476443287,92.5,40.95398699,28.1,10.06511364,29.4,40.9,4,87.93417,49080,73.21978913,100,52.81075309,1.13058225,2.782488537,41.5049306,12066,22.85171871,39.41254564,78.32927818,26.07003891,,,11.40065147,0.176355323,7.8,21.6,
51027,Virginia,Buchanan,72.00818412,4.956667664,6.337766588,93,48.06070826,29.7,1.112529988,29.4,40,5,51.67425,39652,81.62530024,100,4.350971476,0.454733361,1.10066143,93.18933444,15445,26.15308271,30.92800287,71.15025354,33.23345138,19.19975424,12.94117647,10.82224909,0.092740481,7.2,26.1,30.3630363
51029,Virginia,Buckingham,75.93381945,4.382989387,5.31571967,87.5,44.33421517,22.6,5.008766289,28.5,38.8,2,58.88588,55965,75.48321465,100,32.38134495,0.459309858,2.608644447,62.01271935,12595,37.6862328,,68.83689386,13.84083045,17.57942972,25,14.53781513,0.373041532,7.4,22.6,27.0234987
51031,Virginia,Campbell,77.06201341,3.879058676,5.252317066,91,60.7179714,15.9,2.23197036,25.4,37.7,8,25.38946,63516,74.10861707,56.85507038,15.05050688,1.135271395,3.356848806,78.04900165,40012,18.14872622,15.69280726,81.51635504,16.48669495,14.14765802,,9.112502699,1.577239167,7.7,18.2,9.710817565
51033,Virginia,Caroline,75.73504193,3.639855005,4.929453569,89,53.33166646,14.2,1.518267401,24.6,37.6,3,46.93807,72210,81.69842803,100,25.65947993,1.076446475,6.965610039,62.38695747,21511,22.3972526,38.74425563,83.79731273,20.40816327,18.16412585,14,9.426229508,1.018878212,7.9,17,
