County,boundary,Average Life Expectancy,Days of Poor Physical Health,Days of Poor Mental Health,Students Graduating from High School,Some College,Children in Poverty,Limited Access to Healthy Foods,Air Pollution,Physically Inactive,Smokers,Insufficient Sleep,Primary Care Doctor Rate,Mental Health Providers,Median Household Income,Income Level,Homeowners,Rural Living,Mostly Rural,Non-Hispanic Black,Asian,Hispanic,Non-Hispanic white,Majority Minority,Population,Motor Vehicle Death Rate,Drug Overdose Death Rate,Broadband Access,Teen Births Rate,Firearm Death Rate,Juvenile Arrest Rate,Severe Housing Problems,Proficient in English,Youth Not in School or Employment
Alpine,[object Object],,4.4,4.8,,52,25,17,8.3,24,16,35,0,357,64542,low,81,100,Yes,0.4,1.9,13,60.9,No,1119,,,87,,,0,20,98,
Amador,[object Object],79.7,4,4.4,87,58,13,0,13.6,23,14,33,60,257,68141,high,77,60.4,Yes,2.6,1.7,14.9,76.8,No,40083,20,23,84,14,19,3,18,99,10
Butte,[object Object],77.6,4.3,4.7,87,69,19,6,13.8,23,15,35,62,774,54718,low,59,18.9,No,1.6,5.2,17.9,69.9,No,212744,15,28,88,14,14,9,23,97,6
Calaveras,[object Object],79.5,4,4.6,91,59,16,6,14.7,21,15,32,46,194,66329,high,80,75.4,Yes,0.9,1.8,13.3,79.5,No,46308,25,21,84,13,19,7,20,99,
Colusa,[object Object],79.6,4.4,4.4,89,51,13,12,11.8,30,14,33,28,209,59422,low,63,31.7,No,1.1,1.6,60.4,33.8,Yes,21558,23,,80,24,,8,18,86,
Contra Costa,[object Object],82.2,3.4,3.8,89,72,8,3,13.5,22,10,33,102,381,106484,high,67,0.8,No,8.7,18.9,26.3,41.8,Yes,1152333,8,16,93,9,8,,20,94,5
Del Norte,[object Object],76.3,4.7,4.9,90,42,23,14,11.6,27,18,36,58,468,47442,low,68,33.7,No,3.4,3.2,20.4,61.7,No,27968,21,19,84,34,17,187,20,98,19
El Dorado,[object Object],81.9,3.5,4.2,94,70,9,4,12,19,12,30,79,382,87792,high,76,34.7,No,0.9,5,13.3,76.7,No,192925,13,18,89,8,10,7,18,99,5
Fresno,[object Object],78,4.6,4.5,88,57,23,5,17.1,29,14,38,69,421,61401,low,54,10.8,No,4.6,11.5,54.1,27.9,Yes,1000918,16,14,83,27,10,12,27,89,10
Glenn,[object Object],77.3,4.6,4.7,92,44,17,9,13.8,28,15,34,14,113,57779,low,58,40.9,No,0.9,3,43.1,50,No,28283,17,25,74,22,19,0,21,90,11
Humboldt,[object Object],77.2,4.4,4.9,87,67,19,5,7.8,22,15,32,63,533,56071,low,57,29.8,No,1.2,2.9,12.5,73.2,No,134977,20,27,86,13,16,15,24,98,9
Imperial,[object Object],79,4.9,4.5,88,54,25,8,13.5,33,13,34,25,177,47599,low,58,17.4,No,2.4,2.1,85.4,9.6,Yes,180267,12,25,82,31,6,12,27,80,7
Inyo,[object Object],78.7,3.9,4.4,83,63,15,8,7.5,22,14,33,94,499,55981,low,65,46.4,No,1,1.7,23.7,60.5,No,18046,10,41,83,27,12,58,18,98,
