FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
18001,IN,Adams,77.9,4.8,5.4,93.0,47,21.0,5.0,36,36,14.0,16.0,58602.0,78,53.7,0.5,0.4,4.5,93.6,35839,38.0,18.0,73,24.0,10.0,16.0,17,1,9.2,24,11.0,high,low,No,No
18003,IN,Allen,76.6,4.2,4.8,90.0,67,16.0,12.0,29,36,274.0,801.0,61039.0,69,11.9,11.5,4.9,7.9,72.5,382187,263.0,313.0,87,25.0,287.0,40.0,12,2,9.1,20,9.0,high,high,No,No
18005,IN,Bartholomew,78.0,3.9,4.6,86.0,65,11.0,10.0,29,35,61.0,138.0,70545.0,71,33.7,2.2,8.4,7.8,79.9,84447,89.0,68.0,85,26.0,45.0,10.0,13,1,7.5,19,7.0,high,high,No,No
18007,IN,Benton,76.8,4.6,5.3,98.0,64,17.0,1.0,33,38,2.0,2.0,59663.0,74,100.0,0.7,0.2,5.9,91.7,8741,16.0,,83,22.0,,18.0,12,0,8.7,23,,high,high,Yes,No
18009,IN,Blackford,75.0,4.7,5.5,93.0,61,19.0,8.0,34,38,8.0,3.0,49105.0,72,50.6,0.8,0.6,1.9,95.0,11782,16.0,11.0,77,32.0,,9.0,11,0,8.9,25,,low,low,No,No
18011,IN,Boone,78.2,3.3,4.2,96.0,80,5.0,2.0,25,33,146.0,95.0,92302.0,79,34.4,2.2,3.6,3.4,89.1,69347,43.0,58.0,90,11.0,41.0,19.0,10,1,9.7,16,,high,high,No,No
18013,IN,Brown,78.3,4.1,4.9,98.0,67,15.0,1.0,29,36,6.0,12.0,70930.0,85,100.0,0.6,0.4,2.0,95.0,15112,22.0,,83,15.0,11.0,,13,0,9.1,20,,high,high,Yes,No
18015,IN,Carroll,80.3,4.3,5.1,93.0,56,10.0,0.0,31,35,3.0,16.0,62388.0,79,81.4,0.8,0.2,4.7,93.2,20228,19.0,13.0,78,19.0,12.0,10.0,8,0,9.0,21,,high,high,Yes,No
18017,IN,Cass,75.8,4.7,5.1,94.0,47,15.0,3.0,36,37,15.0,96.0,50419.0,73,44.7,1.9,2.1,16.7,78.1,37388,42.0,25.0,77,35.0,24.0,28.0,12,3,8.9,23,,low,low,No,No
18019,IN,Clark,74.9,4.2,5.0,88.0,60,10.0,4.0,34,38,48.0,265.0,65555.0,73,20.5,8.1,1.2,5.8,82.1,119266,95.0,156.0,80,26.0,86.0,23.0,10,1,9.2,21,3.0,high,high,No,No
18021,IN,Clay,75.6,4.4,5.2,92.0,57,17.0,6.0,33,37,11.0,12.0,56422.0,78,60.9,0.7,0.4,1.7,95.7,26246,35.0,,82,33.0,15.0,20.0,9,0,9.3,23,17.0,high,low,Yes,No
18023,IN,Clinton,75.8,4.5,5.0,93.0,47,13.0,1.0,34,37,5.0,15.0,59503.0,70,49.8,0.7,0.5,16.6,81.3,32206,41.0,31.0,78,30.0,24.0,19.0,10,4,9.1,21,,high,high,No,No
18025,IN,Crawford,74.2,5.1,5.7,83.0,43,23.0,5.0,36,39,,5.0,46884.0,82,100.0,0.6,0.2,1.7,95.6,10629,16.0,11.0,63,32.0,,,10,0,9.3,27,,low,low,Yes,No
18027,IN,Daviess,76.4,4.9,5.5,97.0,42,15.0,3.0,36,38,15.0,27.0,53101.0,70,60.3,2.1,0.5,5.5,90.8,33505,34.0,,74,22.0,,20.0,13,2,9.8,25,15.0,low,low,Yes,No
18029,IN,Dearborn,77.3,4.1,5.0,96.0,64,10.0,8.0,29,34,23.0,65.0,73459.0,81,53.1,0.7,0.5,1.4,96.0,49824,45.0,44.0,85,17.0,36.0,20.0,12,0,9.8,22,11.0,high,high,No,No
18031,IN,Decatur,75.8,4.2,5.1,98.0,64,12.0,4.0,30,37,15.0,9.0,61561.0,70,53.8,0.6,1.3,2.1,94.8,26584,26.0,22.0,82,31.0,10.0,27.0,10,0,9.1,22,15.0,high,high,No,No
18033,IN,DeKalb,76.4,4.2,5.1,90.0,55,11.0,9.0,31,36,21.0,27.0,62411.0,79,42.3,0.5,0.5,3.0,94.6,43670,31.0,30.0,80,27.0,21.0,16.0,8,0,8.9,22,,high,high,No,No
18035,IN,Delaware,74.2,4.7,5.3,90.0,65,21.0,13.0,32,38,125.0,341.0,46612.0,64,22.8,7.1,1.4,2.6,86.4,113454,106.0,144.0,82,16.0,82.0,14.0,16,0,8.4,23,5.0,low,low,No,No
18037,IN,Dubois,79.2,4.0,4.8,95.0,63,7.0,4.0,29,36,35.0,51.0,64120.0,79,49.2,0.8,0.7,8.7,89.1,42542,31.0,11.0,84,20.0,22.0,15.0,10,1,8.9,20,,high,high,No,No
18039,IN,Elkhart,78.1,4.5,5.0,89.0,48,13.0,9.0,32,38,106.0,314.0,66801.0,70,20.6,5.6,1.3,17.1,73.7,206161,180.0,83.0,84,33.0,118.0,21.0,12,3,8.2,20,7.0,high,high,No,No
18041,IN,Fayette,72.3,5.0,5.6,91.0,51,18.0,8.0,36,39,13.0,21.0,53616.0,69,36.8,1.5,0.4,1.5,95.3,22892,35.0,57.0,78,44.0,11.0,15.0,13,1,9.2,26,,low,low,No,No
18043,IN,Floyd,75.3,4.0,4.8,94.0,67,17.0,5.0,28,37,50.0,127.0,70610.0,74,20.3,5.5,1.3,3.7,87.1,78936,56.0,92.0,80,20.0,56.0,18.0,10,0,10.0,19,,high,high,No,No
18045,IN,Fountain,74.8,4.4,5.2,93.0,57,13.0,3.0,33,37,3.0,12.0,55627.0,74,66.0,0.4,0.5,2.8,94.9,16511,17.0,17.0,84,32.0,12.0,,10,1,9.0,23,,high,low,Yes,No
18047,IN,Franklin,77.4,4.3,5.1,95.0,55,10.0,3.0,30,37,16.0,7.0,71828.0,81,88.9,0.3,0.7,1.3,96.7,22761,21.0,27.0,77,20.0,19.0,,8,1,9.4,22,,high,high,Yes,No
18049,IN,Fulton,74.7,4.3,5.1,91.0,59,20.0,4.0,31,37,9.0,18.0,55895.0,76,64.9,0.8,0.7,5.5,91.4,20018,33.0,16.0,81,28.0,10.0,15.0,8,1,8.8,22,,high,low,Yes,No
18051,IN,Gibson,77.0,4.2,5.1,91.0,62,12.0,2.0,31,38,12.0,10.0,59074.0,75,53.6,2.7,0.5,1.9,92.7,33825,51.0,10.0,84,29.0,26.0,13.0,10,0,9.7,22,,high,low,No,No
18053,IN,Grant,73.2,4.7,5.3,95.0,58,24.0,8.0,33,38,28.0,176.0,49788.0,70,28.9,7.2,0.9,4.7,84.4,65225,71.0,66.0,78,26.0,52.0,24.0,13,0,8.9,23,6.0,low,low,No,No
18055,IN,Greene,75.7,4.6,5.3,96.0,58,16.0,6.0,33,37,10.0,22.0,55213.0,78,74.8,0.3,0.4,1.9,96.0,32203,53.0,12.0,75,32.0,23.0,24.0,13,0,8.1,23,,high,low,Yes,No
18057,IN,Hamilton,81.6,3.0,4.0,74.0,87,5.0,5.0,21,33,479.0,555.0,96359.0,77,5.6,4.5,6.8,4.4,82.1,344238,110.0,123.0,95,5.0,124.0,8.0,9,1,8.2,13,4.0,high,high,No,No
18059,IN,Hancock,79.0,3.8,4.7,95.0,72,6.0,8.0,27,34,65.0,81.0,77916.0,80,30.4,3.3,1.0,2.8,91.1,79553,61.0,56.0,88,12.0,41.0,5.0,9,1,9.6,18,,high,high,No,No
18061,IN,Harrison,76.9,4.3,5.1,93.0,53,12.0,0.0,30,40,18.0,11.0,62082.0,83,85.8,0.7,0.5,2.2,95.1,40682,57.0,41.0,75,23.0,35.0,28.0,9,0,9.7,22,,high,high,Yes,No
18063,IN,Hendricks,79.2,3.5,4.4,97.0,75,6.0,7.0,26,35,85.0,188.0,86905.0,78,17.8,8.1,3.2,4.5,82.0,173251,82.0,104.0,91,9.0,92.0,11.0,9,1,10.1,17,3.0,high,high,No,No
18065,IN,Henry,75.2,4.6,5.3,92.0,54,13.0,7.0,33,38,21.0,47.0,54002.0,74,42.9,2.7,0.5,2.1,93.2,48033,59.0,27.0,78,25.0,39.0,14.0,11,0,7.9,24,13.0,low,low,No,No
18067,IN,Howard,74.1,4.4,5.1,86.0,61,16.0,10.0,34,38,50.0,172.0,59309.0,72,21.5,7.9,1.4,3.7,84.0,82732,108.0,100.0,82,32.0,56.0,19.0,12,0,8.0,22,6.0,high,high,No,No
18069,IN,Huntington,76.7,4.2,5.1,95.0,60,11.0,10.0,31,38,21.0,32.0,59252.0,75,51.0,0.7,0.6,2.7,94.4,36395,31.0,21.0,79,25.0,17.0,28.0,10,0,8.9,22,,high,low,No,No
18071,IN,Jackson,75.2,4.5,5.2,89.0,56,11.0,10.0,35,37,27.0,41.0,62415.0,71,43.7,1.3,2.6,8.1,86.5,44222,63.0,49.0,77,43.0,30.0,14.0,13,2,9.1,23,,high,high,No,No
18073,IN,Jasper,77.0,4.2,5.0,94.0,51,11.0,4.0,31,36,9.0,15.0,70662.0,78,68.0,0.8,0.5,6.3,91.2,33440,39.0,19.0,84,17.0,20.0,17.0,10,1,9.1,21,,high,high,Yes,No
18075,IN,Jay,75.5,4.8,5.4,90.0,49,23.0,11.0,34,37,6.0,18.0,42504.0,75,55.7,0.5,0.4,3.4,94.3,20416,40.0,26.0,70,33.0,10.0,,12,0,9.3,25,,low,low,No,No
18077,IN,Jefferson,75.4,4.4,5.2,88.0,50,16.0,3.0,33,39,19.0,37.0,55588.0,69,45.1,2.0,0.9,3.1,92.3,32110,50.0,20.0,77,28.0,27.0,6.0,12,0,9.2,23,,high,low,No,No
18079,IN,Jennings,73.7,4.5,5.3,96.0,52,16.0,10.0,33,39,11.0,28.0,60526.0,78,60.2,0.8,0.4,2.8,94.4,27515,52.0,32.0,81,40.0,28.0,41.0,13,0,9.0,23,,high,high,Yes,No
18081,IN,Johnson,77.7,3.7,4.6,93.0,69,8.0,6.0,28,36,130.0,160.0,76868.0,73,13.9,2.6,4.4,3.8,87.1,160607,77.0,126.0,89,17.0,82.0,21.0,10,1,9.9,19,,high,high,No,No
