FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
27001,MN,Aitkin,78.8,3.7,4.4,85.0,65,16.0,11.0,23,32,13.0,13.0,49822.0,84,100.0,0.4,0.3,1.3,93.8,15848,21.0,,77,13.0,11.0,32.0,16,0,6.1,21,,low,low,Yes,No
27003,MN,Anoka,81.0,3.1,3.8,85.0,73,7.0,7.0,21,31,181.0,672.0,84779.0,81,13.5,7.8,5.4,5.0,78.4,359921,188.0,151.0,91,9.0,143.0,15.0,10,2,8.2,17,5.0,high,high,No,No
27005,MN,Becker,77.7,3.6,4.3,88.0,71,16.0,13.0,24,31,27.0,77.0,60159.0,79,75.5,0.6,0.5,2.3,86.1,34456,34.0,,84,18.0,28.0,33.0,12,0,5.6,20,4.0,high,high,Yes,No
27007,MN,Beltrami,76.5,4.1,4.6,72.0,68,18.0,16.0,23,31,47.0,175.0,58138.0,68,67.1,0.7,0.8,2.5,71.9,47442,47.0,42.0,83,30.0,34.0,26.0,16,0,6.3,22,7.0,high,high,Yes,No
27009,MN,Benton,78.0,3.4,4.2,91.0,71,8.0,8.0,23,32,12.0,7.0,70143.0,66,40.0,5.2,1.1,3.0,88.0,40958,26.0,12.0,85,11.0,27.0,23.0,15,1,7.1,19,,high,high,No,No
27011,MN,Big Stone,80.3,3.6,4.3,,69,14.0,10.0,24,32,9.0,3.0,54796.0,71,100.0,0.4,0.4,2.3,95.1,4923,,,82,,,28.0,11,0,6.9,21,,low,high,Yes,No
27013,MN,Blue Earth,80.4,3.5,4.1,86.0,76,11.0,17.0,23,29,64.0,265.0,67193.0,61,26.9,4.5,2.5,4.1,86.5,68241,28.0,17.0,87,7.0,24.0,47.0,15,1,8.3,18,,high,high,No,No
27015,MN,Brown,80.0,3.3,4.0,87.0,71,8.0,4.0,22,33,25.0,52.0,61978.0,77,34.9,0.5,0.8,4.7,93.0,24846,22.0,,83,13.0,16.0,20.0,7,1,7.5,19,,high,high,No,No
27017,MN,Carlton,78.4,3.5,4.2,91.0,71,9.0,4.0,22,32,27.0,59.0,67695.0,80,55.2,1.7,0.6,1.8,88.1,35769,23.0,17.0,79,17.0,18.0,17.0,12,1,4.6,20,7.0,high,high,No,No
27019,MN,Carver,83.2,2.6,3.4,93.0,86,3.0,4.0,18,27,93.0,221.0,107932.0,82,18.8,2.1,3.5,4.4,88.0,106565,39.0,32.0,92,4.0,30.0,14.0,10,1,7.8,13,4.0,high,high,No,No
