FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
28001,MS,Adams,72.5,4.9,5.2,83.0,41,40.0,15.0,47,40,25.0,34.0,36519.0,62,37.2,52.7,0.6,9.5,36.0,30275,51.0,11.0,75,44.0,56.0,50.0,15,7,8.9,23,21.0,low,low,No,Yes
28003,MS,Alcorn,73.5,4.5,5.5,94.0,53,22.0,8.0,40,35,16.0,104.0,46368.0,67,66.4,12.4,0.5,3.5,82.3,36889,67.0,12.0,72,40.0,44.0,19.0,11,0,8.6,22,,low,low,Yes,No
28005,MS,Amite,75.9,4.8,5.6,,40,26.0,7.0,42,40,2.0,2.0,42649.0,82,100.0,39.1,0.2,1.6,58.0,12205,30.0,,65,29.0,11.0,17.0,10,0,9.0,23,,low,low,Yes,No
28007,MS,Attala,73.7,4.9,5.7,83.0,55,28.0,15.0,46,38,8.0,7.0,40985.0,73,64.3,43.5,0.5,2.1,52.8,18004,48.0,,74,34.0,23.0,20.0,16,0,9.4,23,,low,low,Yes,No
28009,MS,Benton,73.4,4.7,5.6,88.0,51,30.0,17.0,42,41,1.0,5.0,38972.0,81,100.0,35.0,0.2,2.9,60.2,8351,34.0,,58,50.0,,,14,1,8.7,24,,low,low,Yes,No
28011,MS,Bolivar,69.7,5.1,5.7,82.0,62,41.0,28.0,46,40,17.0,24.0,36034.0,56,54.0,63.8,1.1,2.3,32.1,30142,61.0,,67,38.0,34.0,47.0,19,1,8.8,22,,low,low,No,Yes
28013,MS,Calhoun,73.1,4.8,5.6,93.0,52,26.0,1.0,43,39,2.0,1.0,42107.0,73,100.0,27.8,0.2,6.1,64.4,14241,47.0,,68,37.0,12.0,8.0,14,1,9.1,23,,low,low,Yes,No
28015,MS,Carroll,75.0,4.5,5.5,78.0,65,22.0,20.0,40,38,2.0,,46814.0,84,100.0,32.8,0.2,1.6,64.1,9732,22.0,,61,35.0,17.0,13.0,12,0,9.0,23,,low,low,Yes,No
28017,MS,Chickasaw,73.0,4.9,5.6,84.0,54,32.0,6.0,44,40,10.0,4.0,40471.0,71,85.3,44.3,0.5,5.0,48.8,16951,40.0,,62,48.0,20.0,,17,1,9.5,24,,low,low,Yes,No
28019,MS,Choctaw,73.6,4.5,5.5,73.0,60,27.0,6.0,40,38,2.0,10.0,43449.0,81,100.0,29.5,0.4,1.7,67.0,8063,21.0,,71,36.0,11.0,,9,0,9.3,22,,low,low,Yes,No
28021,MS,Claiborne,71.0,5.3,5.7,78.0,48,43.0,9.0,48,45,4.0,4.0,34551.0,70,100.0,85.6,0.8,1.6,10.9,8911,24.0,,69,31.0,,,17,0,8.8,24,,low,low,Yes,Yes
28023,MS,Clarke,73.1,4.4,5.4,91.0,54,33.0,6.0,38,37,4.0,6.0,38314.0,85,100.0,34.4,0.2,1.2,63.0,15299,46.0,,69,43.0,17.0,18.0,12,0,9.5,22,,low,low,Yes,No
28025,MS,Clay,75.7,4.8,5.5,83.0,57,34.0,11.0,44,40,10.0,35.0,36536.0,70,55.5,58.7,0.4,1.6,38.3,19352,27.0,,77,27.0,15.0,17.0,14,0,9.7,22,,low,low,No,Yes
28027,MS,Coahoma,68.6,5.4,5.8,78.0,62,53.0,16.0,47,44,13.0,115.0,30047.0,55,32.0,77.4,0.4,1.7,19.8,21564,44.0,,67,54.0,36.0,52.0,17,0,8.9,24,,low,low,No,Yes
28029,MS,Copiah,74.0,4.6,5.4,83.0,57,31.0,14.0,41,41,9.0,17.0,41476.0,79,65.6,51.4,0.4,3.5,43.5,27933,57.0,,57,35.0,29.0,23.0,17,1,9.4,22,,low,low,Yes,Yes
28031,MS,Covington,70.6,4.8,5.6,85.0,58,31.0,,43,39,8.0,15.0,42221.0,75,100.0,35.8,0.5,2.4,60.0,18518,53.0,16.0,55,43.0,26.0,25.0,14,0,9.6,24,,low,low,Yes,No
