FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
48001,TX,Anderson,73.2,4.6,4.7,94.0,40,28.0,16.0,34,38,22.0,30.0,50879.0,72,67.1,21.1,0.9,18.3,58.0,57805,75.0,25.0,74,41.0,40.0,8.0,13,2,9.6,22,11.0,low,low,Yes,No
48003,TX,Andrews,76.4,4.2,4.4,93.0,40,12.0,8.0,34,36,7.0,3.0,76600.0,75,16.5,1.5,0.8,57.7,38.8,18879,44.0,,89,50.0,10.0,25.0,14,7,7.9,17,,high,high,No,Yes
48005,TX,Angelina,75.1,4.6,4.9,93.0,58,25.0,10.0,35,37,54.0,125.0,49943.0,66,43.1,15.0,1.1,22.9,59.7,86796,111.0,32.0,85,37.0,58.0,21.0,17,3,10.2,20,14.0,low,low,No,No
48007,TX,Aransas,74.9,4.6,4.8,91.0,50,31.0,16.0,36,37,7.0,20.0,51461.0,82,27.3,1.4,2.0,28.7,66.1,23814,34.0,12.0,85,34.0,44.0,19.0,18,2,9.5,21,,low,low,No,No
48009,TX,Archer,80.3,4.0,4.7,95.0,62,11.0,5.0,27,35,,,69566.0,84,89.0,0.9,0.6,8.2,87.9,8730,15.0,,78,18.0,,,10,1,8.2,19,,high,high,Yes,No
48011,TX,Armstrong,75.9,3.8,4.7,,75,12.0,21.0,26,34,0.0,,62256.0,83,100.0,0.9,0.5,10.1,86.5,1869,,,85,,,0.0,10,0,6.5,18,,high,high,Yes,No
48013,TX,Atascosa,76.8,4.3,4.3,93.0,41,22.0,6.0,35,36,9.0,23.0,60594.0,78,60.7,0.9,0.7,65.3,32.2,51724,66.0,17.0,83,42.0,35.0,19.0,16,5,9.5,16,20.0,high,high,Yes,Yes
48015,TX,Austin,78.2,4.0,4.4,95.0,59,18.0,2.0,30,36,5.0,11.0,60593.0,78,66.3,8.7,0.9,28.3,60.8,29972,40.0,,81,25.0,34.0,13.0,14,4,9.8,16,,high,high,Yes,No
48017,TX,Bailey,77.4,4.0,4.1,98.0,35,23.0,2.0,33,36,2.0,2.0,48259.0,77,28.8,1.1,1.0,63.8,33.1,6697,17.0,,73,58.0,,29.0,15,9,6.5,16,,low,low,No,Yes
48019,TX,Bandera,78.7,4.0,4.5,92.0,59,21.0,10.0,29,35,5.0,28.0,64389.0,87,100.0,1.1,0.6,20.2,76.2,23861,31.0,,85,18.0,22.0,18.0,11,2,8.8,17,,high,high,Yes,No
48021,TX,Bastrop,78.1,4.1,4.4,94.0,52,16.0,6.0,32,37,24.0,58.0,74612.0,79,63.9,6.5,0.9,40.8,49.9,91601,169.0,33.0,83,31.0,75.0,26.0,16,4,9.7,17,6.0,high,high,Yes,No
48023,TX,Baylor,73.4,4.0,4.7,,50,22.0,1.0,29,36,5.0,,44392.0,74,100.0,2.2,0.5,14.7,80.1,3518,,,79,41.0,,,6,0,7.5,19,,low,low,Yes,No
48025,TX,Bee,75.2,4.6,4.4,92.0,44,26.0,11.0,37,39,7.0,14.0,46316.0,65,43.0,8.2,0.7,59.7,30.4,32513,44.0,,68,45.0,17.0,25.0,21,2,9.7,19,,low,low,No,Yes
48027,TX,Bell,77.5,4.0,4.4,75.0,69,21.0,11.0,30,38,280.0,886.0,53639.0,54,15.2,22.4,3.2,25.9,43.9,369927,370.0,120.0,88,34.0,324.0,17.0,15,2,9.7,17,9.0,low,high,No,Yes
48029,TX,Bexar,78.1,4.0,4.1,90.0,63,21.0,10.0,29,37,1531.0,4095.0,60477.0,58,4.5,7.5,3.4,60.9,26.6,2026823,1507.0,779.0,84,28.0,1321.0,21.0,18,6,8.2,14,8.0,high,high,No,Yes
48031,TX,Blanco,79.2,3.8,4.4,98.0,56,15.0,1.0,27,35,5.0,4.0,66383.0,78,100.0,1.2,0.9,20.3,75.9,12269,14.0,,88,15.0,14.0,,13,2,9.0,16,,high,high,Yes,No
48033,TX,Borden,,3.2,4.0,,80,9.0,15.0,22,33,0.0,0.0,69499.0,70,100.0,0.8,0.1,17.7,79.5,706,,,82,,,0.0,5,2,7.4,13,,high,high,Yes,No
48035,TX,Bosque,75.6,4.3,4.8,89.0,55,19.0,10.0,31,36,10.0,4.0,58056.0,76,81.2,1.8,0.7,19.3,76.6,18603,35.0,16.0,75,25.0,,14.0,13,2,9.1,19,,high,high,Yes,No
48037,TX,Bowie,74.5,4.3,4.9,94.0,55,23.0,9.0,31,39,67.0,101.0,50326.0,64,35.4,25.1,1.3,8.1,62.7,93481,101.0,23.0,73,43.0,82.0,20.0,16,1,9.4,21,10.0,low,low,No,No
48039,TX,Brazoria,79.0,3.6,4.0,94.0,67,10.0,7.0,29,37,240.0,306.0,83576.0,73,22.5,14.9,7.2,31.8,44.3,380518,321.0,122.0,90,22.0,218.0,23.0,13,3,10.6,16,9.0,high,high,No,Yes
48041,TX,Brazos,80.0,4.1,4.4,86.0,71,20.0,12.0,28,35,195.0,264.0,53570.0,47,12.1,10.8,6.1,26.5,54.8,232555,147.0,43.0,83,16.0,85.0,27.0,25,4,9.9,16,4.0,low,high,No,No
48043,TX,Brewster,81.3,3.8,4.0,96.0,64,17.0,16.0,29,35,8.0,12.0,48537.0,58,34.9,1.5,1.9,45.0,49.8,9237,10.0,,75,22.0,17.0,9.0,17,3,6.4,14,,low,low,No,No
48045,TX,Briscoe,,4.7,4.9,,45,23.0,48.0,34,37,1.0,,50062.0,71,100.0,3.5,0.3,25.1,68.4,1487,,,70,,,0.0,8,4,6.6,20,,low,low,Yes,No
48047,TX,Brooks,72.1,5.5,4.8,93.0,40,45.0,10.0,44,38,,2.0,33513.0,60,31.8,0.6,1.2,91.1,6.8,6964,13.0,,64,73.0,,47.0,25,8,10.4,19,,low,low,No,Yes
48049,TX,Brown,74.5,4.2,4.7,94.0,53,22.0,13.0,30,36,22.0,71.0,48752.0,71,40.4,3.7,0.8,23.1,70.6,37633,48.0,20.0,79,31.0,28.0,19.0,11,2,8.2,18,10.0,low,low,No,No
48051,TX,Burleson,76.3,4.2,4.6,96.0,52,20.0,5.0,31,37,8.0,1.0,64836.0,78,76.7,12.0,0.5,21.4,64.3,18514,40.0,,76,34.0,12.0,,13,3,9.6,19,,high,high,Yes,No
48053,TX,Burnet,78.5,3.9,4.4,96.0,49,16.0,7.0,29,35,19.0,35.0,63813.0,79,55.7,1.7,1.0,22.5,73.2,49653,80.0,15.0,84,29.0,33.0,20.0,14,3,9.2,17,,high,high,No,No
48055,TX,Caldwell,76.5,4.6,4.6,91.0,42,19.0,7.0,36,37,12.0,35.0,66128.0,69,42.3,5.6,1.1,54.5,37.6,43979,74.0,,77,36.0,30.0,36.0,20,6,9.7,18,17.0,high,high,No,Yes
48057,TX,Calhoun,77.7,4.4,4.4,95.0,50,21.0,28.0,36,37,11.0,5.0,58470.0,74,44.7,2.3,5.5,49.8,41.3,21001,26.0,,79,48.0,11.0,32.0,18,6,9.4,18,,high,high,No,Yes
48059,TX,Callahan,75.7,4.1,4.8,95.0,57,19.0,9.0,28,36,1.0,2.0,54862.0,83,72.2,1.5,0.7,10.1,85.5,14110,25.0,,76,29.0,13.0,28.0,13,1,7.7,19,,low,high,Yes,No
