FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
24001,Maryland,Allegany,73.48711096,4.6556076859,6.4083189289,91.0,52.93974437,22.3,9.7444599284,25.2,42.5,36,407.29564999999997,54759,70.323662341,34.985170176,7.7148335885,1.1936438096,2.0676943202,86.340731051,16430,11.016159073,58.521455429,83.835107158,20.687439769,9.2367020355,,11.663341194,0.3618817853,6.3,15.8,4.8938679245
24003,Maryland,Anne Arundel,78.817704558,3.5334430645,4.9857624643,89.0,76.251570504,6.9,4.1371283192,19.7,38.7,397,283.39237,116956,74.962656864,7.4823930194,19.203743134,4.7181044835,10.731572769,62.061078203,165552,8.3923071338,41.723302606,94.855144408,9.7414729524,8.2829510854,,12.063288824,1.7905581873,7.1,11.1,4.449081492
24005,Maryland,Baltimore,76.889873471,3.5983291841,5.3381080043,85.0,71.341361242,10.3,4.4240841728,21.6,37.2,734,435.5377,86807,66.331466511,7.1291404097,31.109159077,6.5453774877,7.9506051239,51.581088264,220813,9.1254794515,50.922191367,90.507373899,11.500277976,13.764888522,,15.495671856,2.0528980473,7.5,12.2,6.3905143209
24009,Maryland,Calvert,78.668802593,3.5557117101,5.0979600251,96.0,72.829422188,6.4,5.2296372326,18.1,36.9,45,251.24567,124486,87.155442736,61.890648071,13.974748754,2.0870281226,5.4967908116,74.623131492,23139,11.867076415,33.739030376,92.904285501,7.3797334071,7.5091021045,,9.3282442748,0.3949767065,6.2,10.7,5.6027904949
24011,Maryland,Caroline,74.462060408,4.9211224792,6.2939576708,85.0,50.815650681,16.3,4.0201799459,31.4,41.3,10,68.46664,63491,71.857811346,84.954795302,13.240853749,1.3068198732,9.4007680171,73.393266454,8153,20.595201318,47.851182821,86.281914457,19.124931205,12.57326923,,15.419974927,2.4102154828,6.5,19.0,
24013,Maryland,Carroll,78.239522776,3.7793336336,5.4149397709,93.0,75.185739097,5.8,3.0085234316,20.2,35.1,77,271.74067,113885,83.854962433,42.238751583,4.3342636677,2.7315598481,5.3142284546,85.336760285,41456,10.667042953,35.502730237,91.47699529,5.3793067254,7.1332848426,,9.3712741435,0.717359244,7.9,11.9,4.1056953364
24015,Maryland,Cecil,73.702899116,3.9863641856,5.4718147802,89.0,59.820491899,12.8,6.5409237665,23.9,38.8,41,268.75615,87592,75.306183411,48.348035671,8.1828677417,1.5519721402,5.6855174502,81.694299341,25737,16.72897403,90.307622348,90.680075675,16.307804125,13.707966259,,13.046289113,0.8513578039,5.6,15.5,11.554384644
24017,Maryland,Charles,76.714927876,3.5007433879,4.9116258248,93.0,70.747790619,9.0,5.1839235776,23.6,40.8,64,215.15005,105141,81.230585226,28.414867631,52.647217877,3.544161002,8.2483878283,31.457845127,44130,15.802325998,35.768506228,92.868652303,10.672192721,14.130503046,,13.974888201,1.0796051514,7.1,13.4,9.7594659915
24019,Maryland,Dorchester,74.159078955,4.6639084588,5.8396265918,82.0,51.482735274,23.2,4.9893125099,28.3,40.7,11,273.73095,63087,66.323926749,53.957763364,28.422397275,1.1527114572,6.3688068372,61.279235986,7385,11.977907415,57.691515226,85.567397178,27.895900663,18.01298177,,14.742857143,1.7141375847,4.4,17.5,
24021,Maryland,Frederick,80.01802129,3.6753797365,5.0340206986,93.0,75.579503321,7.3,3.1136978411,19.5,35.4,157,312.21135,114089,77.03694245,27.541154952,11.555569189,6.7391296938,13.196723826,65.416798743,74978,7.9593563859,24.156476279,92.599723005,8.0,6.9770721533,,11.581211904,1.8811547052,7.7,11.1,4.1046080694
24023,Maryland,Garrett,76.813367064,4.28642181,5.5601983853,94.0,55.300047252,14.6,4.1647705888,25.5,38.2,14,270.90736,65991,81.018702746,84.211622579,1.1364036168,0.5418147275,1.4741582521,95.581043521,6349,17.244097592,25.541894512,83.15161162,17.146356399,15.937911441,,10.774818402,0.255633057,4.6,17.3,
