FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
16000,Idaho,,78.030124221,4.2492124133,4.9187996224,79.874370021,66.636209532,11.3,7.9204628566,21.0,33.2,1174.0,269.70682,74859,72.373133705,30.757824726,0.8228628318,1.7440090883,13.826762612,80.264169151,491401,13.840171793,18.10523589,91.03226913,13.683599886,16.474550458,,13.150205448,98.2911523963,7.2,12.4,
16001,Idaho,Ada,79.739077472,3.7935390559,5.1373617755,79.582111644,76.36260001,7.5,6.2386902184,17.6,30.6,454.0,413.97213000000005,90513,71.354346721,5.5658256005,1.3221568482,3.089162202,10.087235288,82.208728103,143861,7.9048645115,19.603510799,94.411286223,7.87995788,13.081448165,,12.193934147,98.8418880256,7.8,11.5,
16003,Idaho,Adams,79.195380724,4.3162258404,5.2745625707,,58.064516129,19.7,8.5972666131,23.3,33.0,3.0,101.97838,59829,83.105022831,100.0,0.2447481134,0.8974097491,5.425249847,88.415255966,868,32.80839895,,77.168949772,,,,12.759643917,99.7750281215,8.2,15.4,
16005,Idaho,Bannock,75.216144295,4.4586727965,5.700199926,80.440237226,69.763064206,12.2,11.606818609,22.4,36.9,65.0,470.13274,67371,68.632273545,17.016019674,0.8783185841,1.8495575221,10.133849558,81.868362832,24437,11.45349798,27.384413392,87.480503899,15.130002662,20.610571185,,11.696818465,99.6924301636,6.7,13.9,
16007,Idaho,Bear Lake,77.934091674,4.3914675609,5.5202738128,82.5,58.167613636,12.1,6.0621533403,21.4,34.2,5.0,59.11913,67519,85.008665511,100.0,0.3694945315,0.5025125628,4.0644398463,92.950044339,1408,,,89.601386482,15.075376884,,,7.399103139,98.9554431206,5.5,13.5,
16009,Idaho,Benewah,73.907858584,4.7675695244,5.5943685251,80.208333333,51.167411823,17.3,9.2419423693,24.7,35.4,3.0,279.67981000000003,60872,75.716440422,100.0,0.5882920243,0.5111389719,3.9540939338,84.858713473,2013,30.06117449,,82.830568125,23.193096009,24.867889338,,13.884992987,99.8722180811,10.5,17.2,
16011,Idaho,Bingham,75.107775813,4.5264047874,5.208181421,88.722641509,56.702809266,13.4,11.527894951,25.7,33.9,14.0,142.87132,73409,80.635892311,59.701616936,0.4107550352,0.8433376327,17.843039984,74.678043457,12174,21.200814111,15.753316758,89.50590293,18.309752591,19.242997222,,10.70971867,97.5875315553,6.7,14.7,
16013,Idaho,Blaine,85.255488342,3.5420573225,4.3868607349,86.0,55.610651974,7.5,2.830154318,18.1,27.9,20.0,255.58085,94471,75.483608226,24.270764667,0.3594105667,1.3338125474,22.10374985,74.957070405,5445,12.308071018,13.687754934,95.489716962,8.9003164557,11.796427368,,13.242009132,95.5515416282,,9.6,
16015,Idaho,Boise,79.067264434,3.8751549572,4.893501246,,69.389067524,15.5,13.848592848,21.9,32.6,1.0,129.15346,74433,87.996594779,100.0,0.9040742045,1.4911353763,5.3305154397,88.55230715,1555,33.105883651,,90.15323496,16.56626506,45.048427059,,10.687022901,99.5476867408,,13.6,
16017,Idaho,Bonner,78.77125024,4.340859417,5.1543870441,80.374371859,62.307176392,14.4,2.9258774978,21.3,30.6,24.0,249.30062999999998,68030,77.646818715,72.778603269,0.3216168383,0.9172740594,4.1315393838,91.455268617,10437,16.652070407,9.4772613423,87.366702383,13.538748833,23.930676608,,15.83001328,99.6485954402,12.7,14.5,
