FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%)
29000,Missouri,,75.219418849,4.2328459027,5.5041241285,90.538780678,67.038934324,14.7,7.236190737,24.2,37.7,4342.0,261.88818,68484,67.935000889,30.532519306,11.419047551,2.3281369933,5.3416828111,77.895892227,1596432,15.904820934,33.636628829,88.132366186,18.966864187,22.404576723,,12.808260266,99.1419125777,7.5,17.8,
29001,Missouri,Adair,75.863343056,4.9337782555,6.1249073301,87.282608696,63.41991342,16.9,11.53291578,27.8,39.4,44.0,322.42656,56954,60.588037257,33.451844829,3.7497014569,2.7107714354,3.1884404108,87.767693655,5082,16.368736842,,81.932443048,8.1702280481,14.237014656,,12.888637648,99.163970928,7.4,20.5,
29003,Missouri,Andrew,78.483972949,4.2744863557,5.6129258778,96.473684211,61.672555948,9.7,4.6210286664,25.1,37.5,2.0,22.06653,75926,76.960573477,60.41356493,1.2577922436,0.6675125503,2.769349589,93.120759089,4245,16.153131688,20.525834562,82.136200717,14.057331863,11.247328759,,8.3575581395,99.8188299924,7.8,18.7,
29005,Missouri,Atchison,73.874383158,4.7526400757,5.7938259011,,53.031674208,14.6,1.5394525964,27.0,38.5,2.0,58.7429,56797,73.638344227,100.0,0.587429019,0.4895241825,2.2713922068,95.085177208,1105,,,84.40087146,,,,9.6842105263,99.7390082313,7.5,21.3,
29007,Missouri,Audrain,73.874298639,5.1587916936,6.0660810926,89.205223881,52.0820089,19.1,9.389153239,32.5,41.7,10.0,233.66402000000002,55957,72.739406073,54.526880859,5.6038370091,0.6477002542,3.2794949578,87.513322948,6292,16.405127451,17.508181708,84.173061951,25.389025389,12.788541467,,9.4130675526,99.4772540718,7.8,26.2,
29009,Missouri,Barry,74.536059091,5.1041936363,6.1596775159,90.695701357,43.549007047,20.2,8.4664092213,29.9,37.6,26.0,119.09826,53303,74.902694611,82.515781549,0.6096696441,2.6258329789,10.520345952,83.470863462,7805,30.177321944,15.172204521,81.788922156,32.336182336,16.936617532,,14.775239499,98.2520362405,8.3,21.2,
29011,Missouri,Barton,75.355600525,5.4647852771,6.0485333772,91.748251748,54.326030449,22.0,27.283198642,31.3,39.8,4.0,76.71979999999999,50185,69.627118644,100.0,0.6990026426,0.6734293752,3.1369874691,91.935896343,2693,17.020448854,,81.853107345,26.583268178,,,11.504424779,99.8275079437,8.1,25.3,
29013,Missouri,Bates,74.728057653,5.066243143,5.9897422723,89.336734694,45.852107077,16.4,8.6535333193,27.1,40.5,2.0,73.88253,56178,72.334728033,100.0,1.5576899397,0.3878832656,2.8383204039,92.507080409,3773,24.611706382,28.85170225,80.820083682,22.511848341,13.577564925,,13.533834586,99.7960257929,7.4,20.8,
29015,Missouri,Benton,73.744727041,5.0894741945,6.0129263773,92.630718954,50.045221586,24.0,5.1778123646,28.3,38.7,5.0,87.58272,50946,83.725202057,100.0,0.7541845076,0.4573764111,2.2528221098,93.776761386,3317,28.593842793,,80.761694832,25.900189514,28.432168968,,14.131812421,99.9056257537,7.1,22.5,
29017,Missouri,Bollinger,73.296317336,5.3317483582,6.184658168,93.93442623,41.955017301,20.7,11.604181361,30.1,40.1,2.0,47.42033,53134,80.087471057,100.0,0.654400607,0.2655538695,1.7071320182,95.030349014,2312,21.992791252,,79.907383586,26.660430309,,,11.920529801,100.0,8.2,26.0,
