FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
06001,CA,Alameda,82.8,3.2,3.6,87.0,77,9.0,1.0,20,33,1853.0,11497.0,113518.0,54,0.4,10.0,33.2,22.2,30.0,1662323,711.0,761.0,91,9.0,640.0,0.0,23,8,14.4,10,4.0,high,high,No,Yes
06003,CA,Alpine,,4.4,4.8,,52,25.0,17.0,24,35,0.0,4.0,64542.0,81,100.0,0.4,1.9,13.0,60.9,1119,,,87,,,0.0,20,2,8.3,16,,high,low,Yes,No
06005,CA,Amador,79.7,4.0,4.4,87.0,58,13.0,0.0,23,33,24.0,103.0,68141.0,77,60.4,2.6,1.7,14.9,76.8,40083,55.0,27.0,84,14.0,38.0,3.0,18,1,13.6,14,10.0,high,high,Yes,No
06007,CA,Butte,77.6,4.3,4.7,87.0,69,19.0,6.0,23,35,136.0,1647.0,54718.0,59,18.9,1.6,5.2,17.9,69.9,212744,242.0,184.0,88,14.0,159.0,9.0,23,3,13.8,15,6.0,low,low,No,No
06009,CA,Calaveras,79.5,4.0,4.6,91.0,59,16.0,6.0,21,32,21.0,90.0,66329.0,80,75.4,0.9,1.8,13.3,79.5,46308,81.0,29.0,84,13.0,43.0,7.0,20,1,14.7,15,,high,high,Yes,No
06011,CA,Colusa,79.6,4.4,4.4,89.0,51,13.0,12.0,30,33,6.0,45.0,59422.0,63,31.7,1.1,1.6,60.4,33.8,21558,35.0,,80,24.0,,8.0,18,14,11.8,14,,high,low,No,Yes
06013,CA,Contra Costa,82.2,3.4,3.8,89.0,72,8.0,3.0,22,33,1181.0,4387.0,106484.0,67,0.8,8.7,18.9,26.3,41.8,1152333,644.0,560.0,93,9.0,466.0,,20,6,13.5,10,5.0,high,high,No,Yes
06015,CA,Del Norte,76.3,4.7,4.9,90.0,42,23.0,14.0,27,36,16.0,131.0,47442.0,68,33.7,3.4,3.2,20.4,61.7,27968,41.0,16.0,84,34.0,23.0,187.0,20,2,11.6,18,19.0,low,low,No,No
06017,CA,El Dorado,81.9,3.5,4.2,94.0,70,9.0,4.0,19,30,152.0,737.0,87792.0,76,34.7,0.9,5.0,13.3,76.7,192925,170.0,105.0,89,8.0,96.0,7.0,18,1,12.0,12,5.0,high,high,No,No
06019,CA,Fresno,78.0,4.6,4.5,88.0,57,23.0,5.0,29,38,691.0,4209.0,61401.0,54,10.8,4.6,11.5,54.1,27.9,1000918,1071.0,414.0,83,27.0,521.0,12.0,27,11,17.1,14,10.0,high,low,No,Yes
06021,CA,Glenn,77.3,4.6,4.7,92.0,44,17.0,9.0,28,34,4.0,32.0,57779.0,58,40.9,0.9,3.0,43.1,50.0,28283,34.0,21.0,74,22.0,27.0,0.0,21,10,13.8,15,11.0,high,low,No,No
06023,CA,Humboldt,77.2,4.4,4.9,87.0,67,19.0,5.0,22,32,85.0,719.0,56071.0,57,29.8,1.2,2.9,12.5,73.2,134977,186.0,110.0,86,13.0,107.0,15.0,24,2,7.8,15,9.0,high,low,No,No
06025,CA,Imperial,79.0,4.9,4.5,88.0,54,25.0,8.0,33,34,45.0,319.0,47599.0,58,17.4,2.4,2.1,85.4,9.6,180267,158.0,137.0,82,31.0,52.0,12.0,27,20,13.5,13,7.0,low,low,No,Yes
06027,CA,Inyo,78.7,3.9,4.4,83.0,63,15.0,8.0,22,33,17.0,90.0,55981.0,65,46.4,1.0,1.7,23.7,60.5,18046,13.0,22.0,83,27.0,11.0,58.0,18,2,7.5,14,,high,low,No,No
06029,CA,Kern,76.5,4.8,4.6,88.0,49,25.0,8.0,33,34,445.0,2079.0,58583.0,59,10.2,5.2,5.6,55.2,32.1,901362,1090.0,851.0,84,32.0,646.0,6.0,24,10,19.0,15,10.0,high,low,No,Yes
06031,CA,Kings,79.2,4.6,4.5,91.0,51,18.0,7.0,31,36,55.0,334.0,60319.0,54,10.9,6.3,4.4,55.6,30.9,152692,149.0,67.0,83,31.0,74.0,8.0,22,10,17.6,14,12.0,high,low,No,Yes
06033,CA,Lake,74.8,4.6,4.9,78.0,54,22.0,2.0,27,35,28.0,259.0,52345.0,68,33.1,1.7,1.4,22.8,67.9,64479,112.0,137.0,81,30.0,61.0,7.0,20,3,9.2,17,,low,low,No,No
06035,CA,Lassen,78.3,4.4,4.6,91.0,38,16.0,9.0,26,35,9.0,95.0,63803.0,69,70.5,7.6,1.7,19.6,64.7,30016,36.0,26.0,82,24.0,20.0,14.0,14,2,9.4,17,21.0,high,low,Yes,No
06037,CA,Los Angeles,81.3,4.0,4.1,86.0,65,17.0,1.0,25,36,7413.0,40582.0,75624.0,46,0.6,8.0,15.7,48.5,25.8,9943046,5910.0,4276.0,87,15.0,3840.0,4.0,32,13,14.7,11,7.0,high,high,No,Yes
06039,CA,Madera,79.1,4.8,4.7,87.0,49,19.0,5.0,31,34,68.0,273.0,68744.0,66,32.9,3.1,2.6,59.5,32.6,157761,206.0,64.0,85,30.0,79.0,26.0,24,13,14.2,14,7.0,high,high,No,Yes
