FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
21001,KY,Adair,74.7,5.6,5.8,98.0,49,33.0,3.0,39,43,7.0,45.0,42429.0,77,75.5,2.9,0.5,2.4,92.5,19555,37.0,,74,21.0,12.0,,12,0,8.4,29,,low,low,Yes,No
21003,KY,Allen,74.7,5.4,5.7,96.0,55,23.0,9.0,36,41,3.0,13.0,49980.0,75,78.7,1.2,0.3,2.3,94.7,21303,30.0,19.0,73,29.0,26.0,,13,0,8.3,27,,low,high,Yes,No
21005,KY,Anderson,75.4,4.8,5.3,93.0,63,13.0,2.0,31,43,6.0,16.0,65443.0,75,41.7,2.1,0.8,2.2,93.1,22833,21.0,31.0,81,32.0,16.0,,11,0,9.0,23,,high,high,No,No
21007,KY,Ballard,76.5,5.2,5.5,98.0,60,22.0,0.0,33,43,,1.0,48623.0,79,100.0,3.5,0.5,1.5,92.0,7769,19.0,,78,36.0,,,10,0,9.3,25,,low,high,Yes,No
21009,KY,Barren,75.3,5.6,5.8,90.0,49,25.0,8.0,38,43,35.0,72.0,45298.0,66,63.3,3.9,0.8,3.5,90.0,44300,66.0,20.0,82,39.0,41.0,,16,0,8.6,28,,low,low,Yes,No
21011,KY,Bath,72.0,5.5,5.8,93.0,41,33.0,1.0,37,44,1.0,37.0,41778.0,72,100.0,1.2,0.5,1.7,95.1,12481,24.0,14.0,76,42.0,12.0,,12,0,8.4,28,,low,low,Yes,No
21013,KY,Bell,70.6,6.7,6.5,97.0,41,38.0,10.0,44,44,13.0,8.0,30202.0,63,62.5,2.5,0.4,1.2,93.9,25482,44.0,32.0,66,53.0,22.0,,18,0,7.6,34,,low,low,Yes,No
21015,KY,Boone,78.9,4.1,4.7,94.0,72,8.0,9.0,27,40,84.0,162.0,82393.0,76,13.3,4.0,2.5,4.5,86.6,135396,82.0,139.0,91,17.0,62.0,,11,2,10.1,18,,high,high,No,No
21017,KY,Bourbon,75.2,5.1,5.4,91.0,55,22.0,12.0,35,42,16.0,26.0,52368.0,63,44.7,5.6,0.5,6.9,84.8,19901,36.0,33.0,79,27.0,14.0,,12,2,8.9,25,,low,high,No,No
21019,KY,Boyd,73.8,5.0,5.4,95.0,63,22.0,13.0,34,46,51.0,362.0,54694.0,68,25.3,2.6,0.6,2.0,93.0,46516,30.0,98.0,83,36.0,39.0,,12,0,7.9,25,,low,high,No,No
21021,KY,Boyle,76.7,4.9,5.3,95.0,60,18.0,7.0,33,42,20.0,76.0,53374.0,69,34.8,7.8,1.0,3.4,85.2,30367,29.0,26.0,81,25.0,24.0,,13,1,8.7,23,,low,high,No,No
21023,KY,Bracken,73.7,5.2,5.6,92.0,52,20.0,0.0,36,43,2.0,2.0,55112.0,76,100.0,0.7,0.1,1.8,95.5,8286,15.0,,74,26.0,10.0,,13,0,8.8,26,,low,high,Yes,No
21025,KY,Breathitt,68.4,6.3,6.3,88.0,47,37.0,12.0,41,46,7.0,31.0,33852.0,72,81.5,0.5,0.6,1.3,96.2,12550,40.0,16.0,68,53.0,17.0,,14,0,7.9,31,,low,low,Yes,No
21027,KY,Breckinridge,76.0,5.4,5.7,90.0,51,23.0,4.0,38,43,5.0,20.0,50292.0,82,100.0,2.2,0.4,2.0,93.6,20537,44.0,11.0,75,32.0,16.0,,12,1,9.2,27,,low,high,Yes,No
21029,KY,Bullitt,78.1,4.6,5.2,92.0,58,11.0,10.0,32,41,15.0,78.0,71835.0,81,30.4,1.4,0.6,2.5,93.6,82182,88.0,100.0,84,20.0,69.0,,11,0,10.0,24,9.0,high,high,No,No
21031,KY,Butler,73.0,5.4,5.7,93.0,48,22.0,5.0,35,42,1.0,10.0,44933.0,72,100.0,0.7,0.3,3.5,94.3,12703,28.0,,74,44.0,13.0,,11,2,8.9,27,,low,low,Yes,No
21033,KY,Caldwell,74.3,5.2,5.6,98.0,57,23.0,1.0,34,42,5.0,8.0,47670.0,74,54.6,5.5,0.5,1.8,90.5,12687,20.0,,78,43.0,11.0,,9,0,9.1,25,,low,low,No,No
21035,KY,Calloway,76.8,5.0,5.3,95.0,68,18.0,6.0,33,40,17.0,30.0,47438.0,63,48.7,4.0,1.8,2.8,89.5,39300,44.0,20.0,83,16.0,35.0,,17,0,8.9,23,,low,low,No,No
21037,KY,Campbell,77.3,4.3,4.9,97.0,75,12.0,9.0,27,39,60.0,142.0,64151.0,70,15.3,3.0,1.1,2.2,92.0,94020,54.0,150.0,84,21.0,43.0,,13,0,8.7,21,3.0,high,high,No,No
21039,KY,Carlisle,74.7,5.4,5.7,,46,23.0,3.0,36,43,2.0,,46935.0,82,100.0,1.4,0.4,2.4,92.7,4692,13.0,,83,39.0,,,12,0,9.2,27,,low,low,Yes,No
21041,KY,Carroll,71.3,5.6,5.8,88.0,45,24.0,,38,43,3.0,7.0,52640.0,66,52.2,1.7,0.6,6.8,88.5,10730,18.0,15.0,72,56.0,,,16,0,9.1,28,,low,high,No,No
21043,KY,Carter,73.5,5.8,6.0,97.0,48,23.0,4.0,41,45,5.0,54.0,44720.0,79,79.4,0.7,0.3,1.4,96.5,26542,43.0,39.0,63,42.0,13.0,,13,0,6.3,29,16.0,low,low,Yes,No
21045,KY,Casey,74.5,6.0,6.1,98.0,39,33.0,6.0,40,46,1.0,19.0,35069.0,77,100.0,1.0,0.4,2.9,94.4,16066,29.0,14.0,74,44.0,18.0,,8,1,8.5,30,16.0,low,low,Yes,No
21047,KY,Christian,73.8,5.3,5.4,91.0,65,22.0,15.0,34,44,45.0,360.0,46950.0,47,28.6,21.2,1.6,8.2,65.1,71478,86.0,39.0,78,57.0,72.0,,16,1,8.2,26,9.0,low,low,No,No
21049,KY,Clark,74.1,4.9,5.3,97.0,63,21.0,5.0,32,42,17.0,33.0,58340.0,69,27.5,4.6,0.7,3.2,89.6,36463,43.0,71.0,82,36.0,20.0,,12,1,8.9,24,13.0,high,high,No,No
21051,KY,Clay,70.7,6.8,6.5,88.0,33,48.0,14.0,44,47,7.0,13.0,26866.0,69,78.6,3.7,0.2,2.1,92.7,19631,31.0,19.0,72,52.0,22.0,,17,0,8.0,34,,low,low,Yes,No
21053,KY,Clinton,74.1,6.2,6.2,93.0,44,32.0,1.0,42,44,5.0,17.0,37428.0,70,100.0,0.6,0.4,3.0,94.6,10110,20.0,12.0,59,45.0,,,11,1,7.7,31,,low,low,Yes,No
21055,KY,Crittenden,73.2,5.3,5.7,93.0,46,27.0,5.0,36,43,4.0,1.0,46844.0,83,70.8,1.0,0.2,1.4,95.7,8847,19.0,,68,39.0,,,12,0,9.3,26,,low,low,Yes,No
21057,KY,Cumberland,74.9,5.6,5.9,,47,31.0,1.0,37,43,3.0,15.0,38275.0,72,100.0,2.8,0.1,1.4,93.7,6523,15.0,,67,40.0,,,12,0,7.9,28,,low,low,Yes,No
21059,KY,Daviess,76.5,4.8,5.3,90.0,66,16.0,6.0,33,41,55.0,316.0,54948.0,67,27.0,4.8,2.1,3.4,87.3,101978,88.0,45.0,85,33.0,89.0,,14,1,9.1,23,8.0,low,high,No,No
21061,KY,Edmonson,76.1,5.6,5.9,98.0,52,22.0,2.0,37,43,1.0,7.0,44459.0,84,100.0,1.9,0.4,1.6,94.3,12235,26.0,,80,31.0,,,14,0,8.7,29,,low,low,Yes,No
21063,KY,Elliott,77.5,6.3,6.1,93.0,30,36.0,,42,44,1.0,17.0,35030.0,78,100.0,3.6,0.2,1.3,93.8,7372,10.0,10.0,67,54.0,,,12,0,7.8,32,,low,low,Yes,No
21065,KY,Estill,72.2,6.1,6.2,98.0,41,29.0,0.0,40,44,3.0,11.0,39719.0,70,76.1,0.4,0.1,1.3,96.8,14109,13.0,30.0,71,40.0,17.0,,15,1,8.3,31,,low,low,Yes,No
21067,KY,Fayette,78.1,4.4,4.7,88.0,77,16.0,7.0,28,39,412.0,1464.0,60215.0,55,3.1,15.3,4.3,7.3,70.3,324735,193.0,381.0,89,17.0,227.0,,17,2,8.7,17,4.0,high,high,No,No
21069,KY,Fleming,74.6,5.5,5.8,98.0,59,24.0,3.0,37,44,6.0,5.0,44691.0,73,80.5,1.4,0.3,1.5,95.6,14603,15.0,,74,33.0,,,13,0,8.4,28,,low,low,Yes,No
21071,KY,Floyd,70.3,6.1,6.2,93.0,45,41.0,3.0,39,45,20.0,967.0,35087.0,71,83.9,1.1,0.3,1.0,96.8,34974,59.0,42.0,74,57.0,32.0,,16,0,7.9,31,18.0,low,low,Yes,No
21073,KY,Franklin,75.6,4.5,5.0,91.0,68,18.0,9.0,29,40,18.0,77.0,59911.0,62,27.6,10.3,2.2,3.8,81.2,51118,35.0,57.0,82,28.0,45.0,,11,2,9.1,21,,high,high,No,No
21075,KY,Fulton,69.1,6.0,5.9,,40,38.0,0.0,40,46,1.0,,36421.0,66,64.4,23.8,0.7,2.7,69.6,5952,12.0,,74,33.0,,,14,0,8.8,30,,low,low,Yes,No
21077,KY,Gallatin,72.8,5.3,5.6,93.0,43,20.0,,35,44,4.0,6.0,55650.0,73,100.0,1.4,0.4,5.2,91.1,8779,16.0,15.0,74,37.0,,,12,0,9.2,26,,high,high,Yes,No
21079,KY,Garrard,76.1,5.1,5.6,93.0,61,18.0,,34,41,4.0,5.0,54951.0,85,77.9,2.1,0.3,2.2,93.8,17719,23.0,20.0,81,35.0,19.0,,13,0,8.8,26,,low,high,Yes,No
21081,KY,Grant,73.6,5.2,5.5,93.0,49,18.0,2.0,37,42,10.0,20.0,56274.0,70,65.0,0.9,0.4,3.1,94.3,25387,40.0,45.0,80,40.0,15.0,,15,0,9.1,26,,high,high,Yes,No
21083,KY,Graves,74.9,5.2,5.5,94.0,57,24.0,8.0,37,41,10.0,37.0,44475.0,74,69.4,4.0,0.5,7.3,85.7,36818,67.0,13.0,78,40.0,38.0,,12,2,9.3,26,19.0,low,low,Yes,No
21085,KY,Grayson,73.7,5.7,5.9,90.0,44,25.0,10.0,38,44,15.0,34.0,42297.0,74,73.6,1.2,0.3,1.4,95.7,26480,61.0,15.0,71,42.0,30.0,,12,0,8.9,29,20.0,low,low,Yes,No
21087,KY,Green,74.7,5.6,5.9,98.0,47,26.0,4.0,36,42,2.0,18.0,41322.0,72,100.0,2.0,0.3,2.2,93.7,10995,20.0,,74,37.0,11.0,,13,1,8.6,28,,low,low,Yes,No
21089,KY,Greenup,73.8,5.0,5.4,98.0,65,18.0,7.0,33,41,22.0,61.0,55777.0,78,39.3,0.8,0.6,1.1,96.0,34865,44.0,67.0,81,33.0,33.0,,12,0,8.4,24,,high,high,No,No
21091,KY,Hancock,75.9,5.0,5.5,93.0,58,19.0,5.0,33,41,,6.0,57111.0,81,89.3,1.4,0.4,1.8,95.0,8742,,,79,39.0,10.0,,7,0,9.4,25,,high,high,Yes,No
21093,KY,Hardin,76.0,4.7,5.1,91.0,70,14.0,9.0,33,44,67.0,465.0,56557.0,61,34.2,11.9,2.3,5.9,75.8,111309,130.0,76.0,80,28.0,83.0,,13,1,8.1,23,11.0,high,high,No,No
21095,KY,Harlan,69.1,6.6,6.5,96.0,50,37.0,3.0,43,47,8.0,12.0,30745.0,69,54.2,2.0,0.4,1.1,95.0,25566,52.0,31.0,73,51.0,25.0,,14,0,7.7,32,24.0,low,low,No,No
21097,KY,Harrison,74.5,5.3,5.6,92.0,53,19.0,5.0,34,41,9.0,12.0,55934.0,70,65.9,1.9,0.4,2.6,93.5,18920,31.0,22.0,71,34.0,12.0,,13,0,8.8,26,,high,high,Yes,No
21099,KY,Hart,74.8,5.8,6.0,98.0,34,28.0,5.0,39,44,6.0,18.0,41608.0,74,87.2,4.4,0.5,2.1,91.2,19013,39.0,11.0,73,37.0,13.0,,10,0,8.7,29,12.0,low,low,Yes,No
21101,KY,Henderson,75.4,5.0,5.4,91.0,53,19.0,3.0,34,40,23.0,59.0,54701.0,64,38.2,8.2,0.6,2.8,86.0,44740,40.0,13.0,79,42.0,39.0,,12,0,9.9,26,,low,high,No,No
21103,KY,Henry,74.9,5.2,5.6,86.0,46,18.0,1.0,34,43,8.0,7.0,53170.0,71,100.0,2.7,0.4,3.5,91.0,16067,23.0,25.0,76,29.0,11.0,,14,0,9.1,26,,low,high,Yes,No
21105,KY,Hickman,74.6,5.6,5.8,,60,34.0,1.0,39,44,1.0,,46553.0,80,100.0,9.3,0.5,2.3,85.7,4364,10.0,,79,31.0,,,12,0,8.8,28,,low,low,Yes,No
21107,KY,Hopkins,74.2,5.2,5.6,90.0,59,24.0,7.0,37,43,46.0,48.0,47631.0,68,47.1,6.5,0.6,2.2,88.0,44662,61.0,15.0,77,43.0,44.0,,12,0,9.4,26,10.0,low,low,No,No
21109,KY,Jackson,71.9,6.1,6.1,93.0,27,34.0,4.0,39,43,3.0,6.0,35889.0,77,100.0,0.3,0.1,1.0,97.6,13340,26.0,,71,52.0,25.0,,13,0,8.2,31,,low,low,Yes,No
21111,KY,Jefferson,75.2,4.4,4.8,82.0,70,15.0,6.0,32,40,720.0,2624.0,62067.0,62,1.4,22.1,3.2,6.2,65.8,767452,706.0,1142.0,87,24.0,883.0,,15,2,10.2,22,8.0,high,high,No,No
21113,KY,Jessamine,77.2,4.8,5.2,93.0,62,16.0,8.0,33,41,42.0,67.0,67610.0,67,25.9,4.4,1.4,3.8,88.1,54057,58.0,75.0,86,22.0,34.0,,14,1,9.1,23,,high,high,No,No
21115,KY,Johnson,71.9,5.6,5.8,95.0,60,28.0,2.0,36,44,16.0,40.0,40455.0,71,73.0,0.3,0.5,0.9,97.0,22002,40.0,13.0,80,32.0,27.0,,14,0,7.9,26,,low,low,Yes,No
21117,KY,Kenton,76.4,4.4,4.9,92.0,71,14.0,7.0,29,39,147.0,320.0,66015.0,68,7.0,4.8,1.4,3.6,87.9,167949,97.0,279.0,89,25.0,99.0,,12,1,10.3,21,6.0,high,high,No,No
21119,KY,Knott,71.2,6.4,6.3,98.0,54,36.0,1.0,40,44,5.0,6.0,33253.0,73,100.0,0.9,0.2,1.0,96.8,14512,27.0,29.0,68,32.0,24.0,,14,0,7.6,31,,low,low,Yes,No
21121,KY,Knox,72.1,6.4,6.3,89.0,47,36.0,18.0,42,43,8.0,27.0,31568.0,67,62.9,1.3,0.4,1.5,95.4,31022,44.0,24.0,65,50.0,26.0,,14,0,8.0,31,15.0,low,low,Yes,No
21123,KY,Larue,74.6,5.3,5.6,98.0,56,20.0,7.0,36,43,1.0,6.0,50980.0,76,76.0,3.0,0.3,3.3,91.2,14431,27.0,,72,37.0,14.0,,12,1,8.9,26,,low,high,Yes,No
21125,KY,Laurel,74.3,5.6,5.9,84.0,51,25.0,11.0,37,41,24.0,40.0,50743.0,70,56.8,0.8,0.6,1.6,95.6,61238,85.0,42.0,77,41.0,62.0,,15,0,8.3,27,7.0,low,high,No,No
21127,KY,Lawrence,72.2,6.1,6.2,98.0,40,30.0,6.0,39,45,5.0,57.0,38213.0,75,77.1,0.4,0.3,1.5,96.4,15436,23.0,13.0,65,39.0,13.0,,15,0,8.0,31,,low,low,Yes,No
21129,KY,Lee,69.2,6.8,6.4,93.0,42,41.0,0.0,46,44,2.0,10.0,30575.0,69,100.0,2.8,0.3,1.5,94.2,7268,17.0,16.0,65,46.0,12.0,,18,0,8.0,36,37.0,low,low,Yes,No
21131,KY,Leslie,70.3,6.5,6.4,98.0,53,32.0,5.0,42,45,2.0,6.0,39098.0,85,100.0,0.4,0.3,0.8,97.2,9637,32.0,10.0,74,37.0,19.0,,18,0,7.6,33,,low,low,Yes,No
21133,KY,Letcher,70.4,6.3,6.3,97.0,56,29.0,,41,47,15.0,18.0,36259.0,74,100.0,0.6,0.3,0.9,97.3,21213,44.0,21.0,74,43.0,28.0,,16,0,7.4,32,,low,low,Yes,No
21135,KY,Lewis,71.3,6.2,6.3,98.0,41,32.0,1.0,39,43,2.0,4.0,39288.0,77,100.0,0.5,0.1,0.9,97.4,13262,36.0,14.0,72,44.0,13.0,,12,0,8.3,32,,low,low,Yes,No
21137,KY,Lincoln,73.1,5.6,5.9,88.0,46,23.0,9.0,38,42,6.0,22.0,43748.0,78,81.7,2.1,0.3,1.8,94.1,24466,47.0,30.0,73,43.0,18.0,,12,0,8.6,28,,low,low,Yes,No
21139,KY,Livingston,74.7,5.3,5.6,98.0,57,20.0,7.0,34,41,3.0,3.0,52994.0,85,95.4,0.5,0.4,2.4,94.8,9041,20.0,,77,32.0,,,10,0,9.5,27,,low,high,Yes,No
21141,KY,Logan,74.8,5.2,5.6,91.0,52,21.0,3.0,34,43,8.0,15.0,51905.0,71,75.0,6.1,0.4,3.0,88.4,27416,44.0,,70,41.0,12.0,,13,0,8.7,27,15.0,low,high,Yes,No
21143,KY,Lyon,75.4,4.8,5.1,98.0,39,19.0,1.0,34,42,4.0,3.0,51970.0,84,100.0,5.5,0.5,2.6,89.5,8133,10.0,,76,23.0,13.0,,12,0,9.2,24,,low,high,Yes,No
21145,KY,McCracken,75.6,4.8,5.3,91.0,65,21.0,15.0,32,41,67.0,159.0,50650.0,65,27.8,10.8,1.0,2.8,82.8,65644,80.0,40.0,85,32.0,56.0,,15,0,9.8,23,,low,high,No,No
21147,KY,McCreary,71.9,6.5,6.2,93.0,44,41.0,2.0,44,49,2.0,18.0,31453.0,68,100.0,5.4,0.6,2.7,89.3,17071,37.0,,61,55.0,12.0,,20,0,7.8,33,,low,low,Yes,No
