FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
32001,NV,Churchill,74.2,4.3,4.8,73.0,66,15.0,6.0,26,37,11.0,54.0,61650.0,69,34.7,2.3,3.1,15.1,71.7,25363,40.0,21.0,85,29.0,28.0,,14,2,7.5,19,,high,high,No,No
32003,NV,Clark,78.4,4.1,4.4,86.0,58,18.0,5.0,27,39,1288.0,5204.0,62496.0,55,1.3,12.0,10.7,31.8,40.9,2315963,1519.0,1541.0,85,22.0,1795.0,,20,6,10.1,17,10.0,high,high,No,Yes
32005,NV,Douglas,81.1,3.7,4.4,91.0,68,11.0,12.0,23,35,27.0,72.0,84317.0,74,31.6,0.7,2.0,13.1,80.2,49088,31.0,26.0,90,11.0,51.0,,16,1,7.3,16,,high,high,No,No
32007,NV,Elko,78.5,4.1,4.6,83.0,53,13.0,4.0,27,38,20.0,44.0,73914.0,69,37.9,0.9,1.4,25.0,66.2,53006,63.0,18.0,87,30.0,80.0,,9,2,6.9,19,10.0,high,high,No,No
32009,NV,Esmeralda,,4.8,4.9,,51,16.0,44.0,30,40,1.0,0.0,35395.0,50,100.0,3.4,0.9,19.6,66.8,886,,,62,,,,5,3,5.9,21,,low,low,Yes,No
32011,NV,Eureka,79.0,4.2,4.8,,39,13.0,6.0,26,37,,,68806.0,73,100.0,1.1,1.3,14.2,79.0,2065,,,88,,,,5,0,4.9,20,,high,high,Yes,No
32013,NV,Humboldt,77.0,4.4,4.7,86.0,50,13.0,5.0,28,38,8.0,17.0,72907.0,69,37.9,0.9,1.1,27.7,64.4,16962,19.0,12.0,85,32.0,25.0,,11,4,6.4,19,,high,high,No,No
32015,NV,Lander,75.6,4.5,4.8,78.0,56,11.0,4.0,28,39,2.0,3.0,80894.0,76,39.0,0.8,1.2,23.0,69.5,5514,13.0,,90,39.0,,,12,5,5.2,20,,high,high,No,No
32017,NV,Lincoln,81.8,3.9,4.6,88.0,44,17.0,15.0,24,37,2.0,2.0,60180.0,73,100.0,2.6,0.8,7.6,85.0,5159,,,73,13.0,,,10,0,4.9,19,,high,high,Yes,No
32019,NV,Lyon,76.2,4.4,4.9,86.0,53,13.0,10.0,27,38,11.0,90.0,63162.0,73,36.9,1.1,1.7,18.6,73.2,58319,78.0,48.0,88,25.0,74.0,,12,2,9.0,21,12.0,high,high,No,No
32021,NV,Mineral,71.6,5.0,5.3,,42,21.0,33.0,29,40,5.0,4.0,50069.0,73,31.9,3.9,3.6,14.0,60.3,4518,,,74,34.0,,,14,0,7.1,23,,low,low,No,No
32023,NV,Nye,74.1,4.7,5.1,80.0,48,22.0,34.0,29,39,15.0,82.0,52783.0,72,35.3,3.4,2.0,15.7,74.4,48054,68.0,44.0,75,29.0,71.0,,14,3,7.1,23,,low,low,No,No
32027,NV,Pershing,77.7,4.3,4.5,,40,19.0,4.0,27,38,1.0,5.0,65000.0,68,100.0,4.1,1.3,24.7,64.1,6573,10.0,,80,33.0,,,13,3,6.1,20,,high,high,Yes,No
32029,NV,Storey,82.9,3.7,4.4,,75,11.0,0.0,22,36,,8.0,73271.0,96,92.6,1.6,2.3,8.2,83.6,4207,,,86,,,,8,0,7.4,16,,high,high,Yes,No
32031,NV,Washoe,78.2,3.9,4.4,86.0,64,11.0,7.0,21,35,365.0,1652.0,75232.0,58,4.3,2.4,5.9,25.4,61.7,477082,367.0,394.0,87,23.0,381.0,,18,3,8.1,16,8.0,high,high,No,No
32033,NV,White Pine,79.7,4.4,4.7,68.0,40,13.0,12.0,27,38,7.0,33.0,57923.0,72,53.3,4.4,1.1,16.7,71.6,9466,12.0,,79,35.0,10.0,,9,1,4.9,20,,high,low,No,No
32510,NV,Carson City,74.4,4.2,4.6,80.0,61,16.0,3.0,26,39,42.0,168.0,58382.0,58,4.8,1.9,2.7,24.9,66.0,56034,64.0,42.0,85,28.0,50.0,,17,3,7.1,17,16.0,high,low,No,No
