FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
50001,VT,Addison,81.3,3.4,4.3,87.0,68,8.0,2.0,18,30,42.0,117.0,73049.0,75,78.4,1.3,1.8,2.5,92.3,36851,24.0,11.0,85,7.0,14.0,10.0,14,0,6.7,15,,high,high,Yes,No
50003,VT,Bennington,77.7,3.8,4.6,81.0,69,14.0,3.0,21,34,36.0,175.0,65528.0,73,64.5,1.3,1.3,2.3,93.4,35338,25.0,35.0,82,16.0,25.0,28.0,15,0,6.0,18,10.0,high,high,Yes,No
50005,VT,Caledonia,78.4,3.9,4.8,90.0,63,11.0,2.0,23,31,25.0,117.0,52203.0,75,74.4,0.8,0.9,1.8,94.5,29705,21.0,30.0,80,12.0,28.0,7.0,15,0,5.9,19,,low,low,Yes,No
50007,VT,Chittenden,81.7,3.3,4.2,87.0,81,7.0,2.0,17,29,306.0,1147.0,80539.0,63,26.0,2.4,4.8,2.6,87.9,164306,61.0,76.0,87,4.0,55.0,15.0,17,2,6.5,13,3.0,high,high,No,No
50009,VT,Essex,79.8,4.3,5.1,,54,18.0,10.0,27,35,1.0,4.0,50956.0,83,100.0,0.5,0.7,1.4,95.2,6123,12.0,,76,11.0,,,15,0,5.8,23,,low,low,Yes,No
50011,VT,Franklin,78.8,3.8,4.7,81.0,63,10.0,2.0,23,34,27.0,129.0,62763.0,78,71.7,0.7,0.9,1.8,93.3,49685,42.0,28.0,82,18.0,29.0,26.0,14,0,6.9,18,10.0,high,high,Yes,No
50013,VT,Grand Isle,80.5,3.4,4.3,,66,11.0,0.0,20,31,5.0,2.0,79994.0,86,100.0,0.9,0.7,2.0,92.4,7169,,,87,13.0,,13.0,17,0,6.8,16,,high,high,Yes,No
50015,VT,Lamoille,80.4,3.7,4.6,92.0,70,9.0,0.0,23,32,22.0,132.0,57909.0,72,100.0,1.0,0.7,2.0,94.3,25341,16.0,13.0,85,12.0,14.0,14.0,21,0,5.9,17,,high,low,Yes,No
50017,VT,Orange,79.8,3.7,4.7,88.0,62,12.0,3.0,22,33,26.0,103.0,60624.0,81,97.2,0.6,0.6,1.4,95.7,28837,19.0,15.0,81,10.0,28.0,16.0,17,0,6.3,17,,high,low,Yes,No
50019,VT,Orleans,77.9,4.1,4.9,81.0,57,16.0,4.0,25,36,19.0,78.0,56721.0,78,85.3,0.7,0.5,1.5,94.9,26897,28.0,17.0,81,22.0,21.0,18.0,18,0,6.2,21,,high,low,Yes,No
50021,VT,Rutland,77.2,3.7,4.6,84.0,64,13.0,5.0,22,32,45.0,197.0,62289.0,72,61.0,0.7,0.9,1.7,95.1,57764,37.0,61.0,81,11.0,46.0,23.0,19,0,7.5,19,9.0,high,high,Yes,No
50023,VT,Washington,79.8,3.5,4.4,84.0,72,9.0,6.0,19,29,61.0,335.0,70061.0,70,52.8,0.9,1.0,2.1,93.8,58328,40.0,49.0,86,11.0,39.0,17.0,15,0,6.2,16,5.0,high,high,No,No
50025,VT,Windham,78.8,3.8,4.6,82.0,62,14.0,4.0,19,30,42.0,329.0,59017.0,68,68.2,1.4,1.3,2.5,92.5,42015,33.0,64.0,70,15.0,24.0,18.0,19,0,6.3,18,6.0,high,low,Yes,No
50027,VT,Windsor,79.1,3.5,4.4,82.0,71,9.0,1.0,20,32,62.0,319.0,60842.0,76,75.6,0.9,1.0,2.1,94.1,54988,41.0,70.0,84,12.0,38.0,17.0,17,0,6.6,16,,high,low,Yes,No
