FIPS,State,County,Average Life Expectancy (years),Days of Poor Physical Health (days/month),Days of Poor Mental Health (days/month),Students Graduating from High School (%),Some College (%),Children in Poverty (%),Limited Access to Healthy Foods (%),Physically Inactive (%),Insufficient Sleep (%),"Primary Care Doctor Rate (doctors/100,000)","Mental Health Providers (providers/ 100,000)",Median Household Income ($),Homeowners (%),Rural Living (%),Non-Hispanic Black (%),Asian (%),Hispanic (%),Non-Hispanic White (%),Population,"Motor Vehicle Death Rate (deaths/100,000 people)","Drug Overdose Death Rate (deaths/100,000 people)",Broadband Access (%),Teen Birth Rate (births/per teens),"Firearm Death Rate (deaths/ 100,000 people)","Juvenile Arrest Rate (arrests/ 1,000 juveniles)",Severe Housing Problems (%),Proficient in English (%),Air Pollution (fine particulate matter in micrograms/cubic meter of air),Smokers (%),Youth Not in School or Employment (%),Income Level,Income Level – State,Mostly Rural,Majority Minority
56001,WY,Albany,80.8,3.6,3.9,88.0,85,10.0,9.0,23,35,29.0,224.0,59179.0,52,11.9,1.3,3.6,9.8,82.5,38950,29.0,11.0,89,8.0,30.0,10.0,21,1,5.0,15,,high,low,No,No
56003,WY,Big Horn,76.4,3.8,4.3,79.0,64,15.0,6.0,28,35,4.0,23.0,54684.0,75,100.0,0.7,0.5,9.3,87.3,11575,25.0,,79,13.0,13.0,4.0,11,1,5.4,18,21.0,low,low,Yes,No
56005,WY,Campbell,77.4,3.6,4.1,80.0,60,8.0,8.0,27,36,23.0,101.0,85022.0,75,29.1,0.5,0.8,8.7,87.2,46676,67.0,18.0,91,31.0,35.0,15.0,13,0,4.9,20,,high,high,No,No
56007,WY,Carbon,78.5,3.8,4.0,79.0,57,12.0,19.0,28,37,8.0,44.0,66589.0,71,41.6,1.1,1.0,18.5,76.9,14711,30.0,,82,35.0,20.0,10.0,11,2,5.0,18,,high,high,No,No
56009,WY,Converse,79.1,3.6,4.1,83.0,66,11.0,3.0,28,34,8.0,36.0,79304.0,76,55.4,0.5,0.7,8.3,88.5,13804,16.0,,80,30.0,19.0,11.0,7,0,3.2,19,,high,high,No,No
56011,WY,Crook,78.8,3.5,4.2,93.0,62,10.0,6.0,27,34,3.0,5.0,67443.0,79,100.0,0.8,0.2,2.6,94.2,7593,11.0,,80,26.0,,10.0,12,1,4.8,18,,high,high,Yes,No
56013,WY,Fremont,73.0,3.9,4.4,72.0,63,19.0,6.0,27,33,34.0,95.0,52010.0,70,51.4,0.5,0.5,7.5,69.4,39317,83.0,27.0,80,41.0,59.0,10.0,13,0,7.2,20,12.0,low,low,No,No
56015,WY,Goshen,77.9,3.6,4.0,88.0,70,14.0,6.0,27,33,10.0,76.0,51398.0,72,46.0,0.9,0.9,10.9,85.5,13235,22.0,,78,18.0,,11.0,10,1,5.0,17,,low,low,No,No
56017,WY,Hot Springs,72.3,3.8,4.3,,73,13.0,2.0,27,34,4.0,12.0,48864.0,71,31.5,0.7,0.6,4.5,90.7,4425,12.0,,81,19.0,12.0,,9,0,4.7,20,,low,low,No,No
56019,WY,Johnson,79.9,3.4,4.0,93.0,66,10.0,11.0,25,31,11.0,25.0,62671.0,71,49.0,0.7,0.7,5.1,90.8,8588,,,84,13.0,,9.0,15,0,4.6,17,,high,low,No,No
56021,WY,Laramie,78.0,3.4,3.8,83.0,72,9.0,12.0,26,35,72.0,447.0,69450.0,73,19.8,2.2,1.4,15.4,78.0,100595,98.0,42.0,89,26.0,116.0,8.0,12,1,4.8,17,5.0,high,high,No,No
56023,WY,Lincoln,79.0,3.5,4.1,87.0,61,9.0,5.0,25,32,14.0,27.0,73062.0,80,82.7,0.5,0.6,4.9,92.0,20253,26.0,,88,16.0,18.0,3.0,9,1,6.7,17,,high,high,Yes,No
56025,WY,Natrona,76.6,3.5,4.1,80.0,66,10.0,9.0,26,34,63.0,365.0,65901.0,71,14.4,1.1,0.9,9.0,86.1,80815,95.0,42.0,86,31.0,88.0,7.0,11,1,5.3,19,,high,high,No,No
56027,WY,Niobrara,78.7,4.4,4.8,58.0,59,16.0,9.0,32,36,2.0,1.0,52837.0,76,100.0,0.9,0.6,4.2,90.9,2275,,,78,32.0,,0.0,16,0,4.0,23,,low,low,Yes,No
56029,WY,Park,80.5,3.2,3.9,90.0,74,12.0,8.0,22,32,38.0,116.0,63093.0,74,44.2,0.6,0.8,5.8,90.9,29331,40.0,,87,14.0,39.0,6.0,9,0,4.1,15,,high,high,No,No
56031,WY,Platte,76.7,3.7,4.2,80.0,55,13.0,4.0,28,33,3.0,24.0,60178.0,76,58.6,0.6,0.7,8.6,87.9,8578,20.0,,74,18.0,12.0,23.0,9,1,4.6,20,,high,low,No,No
56033,WY,Sheridan,79.1,3.2,3.9,88.0,66,10.0,9.0,23,33,21.0,167.0,59947.0,68,35.5,0.7,0.8,4.7,91.3,30863,33.0,,83,20.0,31.0,4.0,13,0,7.3,17,,high,low,No,No
56035,WY,Sublette,81.2,3.4,3.9,92.0,66,7.0,4.0,23,33,4.0,9.0,82442.0,83,100.0,0.8,0.8,7.3,88.8,9856,16.0,,88,15.0,14.0,,6,0,5.5,17,,high,high,Yes,No
56037,WY,Sweetwater,76.5,3.5,3.9,80.0,62,8.0,5.0,25,35,19.0,105.0,70583.0,75,10.9,1.1,1.0,16.2,79.2,42673,58.0,28.0,87,27.0,54.0,13.0,10,1,5.4,17,,high,high,No,No
